adv_form_lower,SUM,never,nothing,no,none,nobody,hardly,scarcely,neither,barely,rarely
SUM,136,46,26,24,20,8,4,4,2,1,1
more,47,5,10,16,8,2,3,2,0,0,1
too,18,14,3,0,1,0,0,0,0,0,0
as,16,9,1,0,5,1,0,0,0,0,0
so,9,8,0,0,1,0,0,0,0,0,0
less,6,0,0,4,0,0,0,2,0,0,0
particularly,4,0,4,0,0,0,0,0,0,0,0
really,4,1,1,0,0,2,0,0,0,0,0
very,3,0,1,0,2,0,0,0,0,0,0
immediately,3,0,0,0,0,2,0,0,1,0,0
that,3,3,0,0,0,0,0,0,0,0,0
longer,3,0,0,3,0,0,0,0,0,0,0
fundamentally,2,0,1,0,0,0,0,0,1,0,0
any,2,1,0,0,0,0,1,0,0,0,0
quite,2,1,0,0,0,1,0,0,0,0,0
remotely,2,1,1,0,0,0,0,0,0,0,0
ultimately,1,0,1,0,0,0,0,0,0,0,0
substantially,1,0,1,0,0,0,0,0,0,0,0
terminally,1,0,0,0,1,0,0,0,0,0,0
technically,1,0,1,0,0,0,0,0,0,0,0
all,1,1,0,0,0,0,0,0,0,0,0
seriously,1,1,0,0,0,0,0,0,0,0,0
always,1,1,0,0,0,0,0,0,0,0,0
overly,1,0,0,0,1,0,0,0,0,0,0
half,1,0,0,0,0,0,0,0,0,1,0
even,1,0,1,0,0,0,0,0,0,0,0
especially,1,0,0,1,0,0,0,0,0,0,0
politically,1,0,0,0,1,0,0,0,0,0,0
