prev_form_lower,SUM,never,nothing,no,none,nobody,hardly,scarcely,neither,barely,rarely
SUM,136,46,26,24,20,8,4,4,2,1,1
no,23,0,0,23,0,0,0,0,0,0,0
never,21,21,0,0,0,0,0,0,0,0,0
been,20,12,0,0,5,1,1,0,0,0,1
nothing,17,0,17,0,0,0,0,0,0,0,0
be,13,9,1,0,0,0,1,2,0,0,0
is,10,0,5,0,3,2,0,0,0,0,0
none,7,0,0,0,7,0,0,0,0,0,0
was,7,0,1,0,1,4,0,0,1,0,0
scarcely,2,0,0,0,0,0,0,2,0,0,0
hardly,2,0,0,0,0,0,2,0,0,0,0
are,2,0,0,0,2,0,0,0,0,0,0
or,2,0,1,0,1,0,0,0,0,0,0
were,1,0,0,0,1,0,0,0,0,0,0
seemed,1,1,0,0,0,0,0,0,0,0,0
schedule,1,0,1,0,0,0,0,0,0,0,0
`,1,0,0,0,0,0,0,0,1,0,0
quite,1,1,0,0,0,0,0,0,0,0,0
not,1,0,0,1,0,0,0,0,0,0,0
",",1,1,0,0,0,0,0,0,0,0,0
got,1,1,0,0,0,0,0,0,0,0,0
barely,1,0,0,0,0,0,0,0,0,1,0
's,1,0,0,0,0,1,0,0,0,0,0
