adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
more,91,0.52,0.78,0,0,0,1,4,47,1.5097889930986736,4,1,2.5,-1.5,1.373466514315854,1.272134203168686
too,91,0.2,0.9,0,0,0,0,8,18,4.535608240631331,8,0,0.0,0.0,1.1020300769451077,1.0650195058517555
as,91,0.18,0.69,0,0,0,0,4,16,3.9398141347869022,4,0,0.0,0.0,1.0927432478526944,1.0562971561230412
so,91,0.1,0.34,0,0,0,0,2,9,3.388838291466036,2,0,0.0,0.0,1.067577087258629,1.0479846449136276
less,91,0.07,0.25,0,0,0,0,1,6,3.784715851166911,1,0,0.0,0.0,1.0467624417318127,1.0340909090909092
particularly,91,0.04,0.33,0,0,0,0,3,4,7.516371021532485,3,0,0.0,0.0,1.023114090281144,1.0139275766016713
really,91,0.04,0.21,0,0,0,0,1,4,4.689527339366586,1,0,0.0,0.0,1.030936907722388,1.0224719101123596
very,91,0.03,0.18,0,0,0,0,1,3,5.44603151471411,1,0,0.0,0.0,1.023114090281144,1.0167597765363128
immediately,91,0.03,0.31,0,0,0,0,3,3,9.539392014169461,3,0,0.0,0.0,1.0153506328960396,1.0083102493074791
that,91,0.03,0.18,0,0,0,0,1,3,5.44603151471411,1,0,0.0,0.0,1.023114090281144,1.0167597765363128
longer,91,0.03,0.18,0,0,0,0,1,3,5.44603151471411,1,0,0.0,0.0,1.023114090281144,1.0167597765363128
fundamentally,91,0.02,0.15,0,0,0,0,1,2,6.707789833055627,1,0,0.0,0.0,1.0153506328960396,1.011111111111111
any,91,0.02,0.15,0,0,0,0,1,2,6.707789833055627,1,0,0.0,0.0,1.0153506328960396,1.011111111111111
quite,91,0.02,0.15,0,0,0,0,1,2,6.707789833055627,1,0,0.0,0.0,1.0153506328960396,1.011111111111111
remotely,91,0.02,0.15,0,0,0,0,1,2,6.707789833055627,1,0,0.0,0.0,1.0153506328960396,1.011111111111111
ultimately,91,0.01,0.1,0,0,0,0,1,1,9.539392014169453,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
substantially,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
terminally,91,0.01,0.1,0,0,0,0,1,1,9.539392014169456,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
technically,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
all,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
seriously,91,0.01,0.1,0,0,0,0,1,1,9.539392014169453,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
always,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
overly,91,0.01,0.1,0,0,0,0,1,1,9.539392014169453,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
half,91,0.01,0.1,0,0,0,0,1,1,9.539392014169456,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
even,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
especially,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
politically,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
