bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_late,2,4.0,5.66,0,2.0,4.0,6.0,8,8,1.4142135623730951,8,4.0,12.0,-4.0,3.0000000000000004,1.8
as_bad,2,2.0,1.41,1,1.5,2.0,2.5,3,4,0.7071067811865476,2,1.0,4.0,0.0,2.82842712474619,2.6666666666666665
as_good,2,2.0,2.83,0,1.0,2.0,3.0,4,4,1.4142135623730951,4,2.0,6.0,-2.0,2.23606797749979,1.6666666666666667
more_toxic,2,2.0,2.83,0,1.0,2.0,3.0,4,4,1.4142135623730951,4,2.0,6.0,-2.0,2.23606797749979,1.6666666666666667
immediately_available,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
as_popular,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
more_effective,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
particularly_exciting,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
more_important,2,1.5,0.71,1,1.25,1.5,1.75,2,3,0.47140452079103173,1,0.5,2.5,0.5,2.449489742783178,2.4
more_different,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
more_dramatic,2,1.0,0.0,1,1.0,1.0,1.0,1,2,0.0,0,0.0,1.0,1.0,2.0,2.0
so_vulnerable,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
too_careful,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
more_aware,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
more_sinister,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
quite_sure,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_big,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
more_special,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
more_spiritual,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
overly_impressive,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
seriously_sick,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
remotely_enough,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
quite_believable,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
particularly_remarkable,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
really_sure,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
really_strange,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
really_scared,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
really_close,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
politically_motivated,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_broad,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
remotely_easy,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_sick,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_fascinating,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
