bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_late,10,0.8,2.53,0,0,0,0,8,8,3.162277660168379,8,0,0,0,1.2457309396155174,1.0975609756097562
as_bad,10,0.4,0.97,0,0,0,0,3,4,2.41522945769824,3,0,0,0,1.2311444133449163,1.1428571428571428
as_good,10,0.4,0.84,0,0,0,0,2,4,2.1081851067789197,2,0,0,0,1.2457309396155174,1.1538461538461537
more_toxic,10,0.4,1.26,0,0,0,0,4,4,3.162277660168379,4,0,0,0,1.174618943088019,1.0869565217391304
immediately_available,10,0.3,0.67,0,0,0,0,2,3,2.249828525701843,2,0,0,0,1.1962311988513155,1.1320754716981132
as_popular,10,0.3,0.95,0,0,0,0,3,3,3.1622776601683795,3,0,0,0,1.148698354997035,1.0810810810810811
more_effective,10,0.3,0.95,0,0,0,0,3,3,3.1622776601683795,3,0,0,0,1.148698354997035,1.0810810810810811
particularly_exciting,10,0.3,0.95,0,0,0,0,3,3,3.1622776601683795,3,0,0,0,1.148698354997035,1.0810810810810811
more_important,10,0.3,0.67,0,0,0,0,2,3,2.249828525701843,2,0,0,0,1.1962311988513155,1.1320754716981132
more_different,10,0.2,0.42,0,0,0,0,1,2,2.1081851067789197,1,0,0,0,1.148698354997035,1.1111111111111112
more_dramatic,10,0.2,0.42,0,0,0,0,1,2,2.1081851067789197,1,0,0,0,1.148698354997035,1.1111111111111112
so_vulnerable,10,0.2,0.63,0,0,0,0,2,2,3.162277660168379,2,0,0,0,1.1161231740339044,1.0714285714285714
too_careful,10,0.2,0.63,0,0,0,0,2,2,3.162277660168379,2,0,0,0,1.1161231740339044,1.0714285714285714
more_aware,10,0.2,0.63,0,0,0,0,2,2,3.162277660168379,2,0,0,0,1.1161231740339044,1.0714285714285714
more_sinister,10,0.2,0.63,0,0,0,0,2,2,3.162277660168379,2,0,0,0,1.1161231740339044,1.0714285714285714
quite_sure,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
so_big,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
more_special,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
more_spiritual,10,0.1,0.32,0,0,0,0,1,1,3.162277660168379,1,0,0,0,1.0717734625362931,1.0526315789473684
