bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_late,22,0.36,1.71,0,0,0,0,8,8,4.690415759823431,8,0,0,0,1.1050315033964666,1.0421052631578946
as_bad,22,0.18,0.5,0,0,0,0,2,4,2.7559459528877004,2,0,0,0,1.1195762911579943,1.0819672131147542
as_good,22,0.18,0.66,0,0,0,0,3,4,3.6547425158474383,3,0,0,0,1.0991312225591843,1.0602409638554218
more_toxic,22,0.18,0.85,0,0,0,0,4,4,4.690415759823431,4,0,0,0,1.0758986531131334,1.0377358490566038
immediately_available,22,0.14,0.64,0,0,0,0,3,3,4.69041575982343,3,0,0,0,1.0650410894399627,1.035294117647059
as_popular,22,0.14,0.47,0,0,0,0,2,3,3.4287918800378887,2,0,0,0,1.0848520434800557,1.056
more_effective,22,0.14,0.64,0,0,0,0,3,3,4.69041575982343,3,0,0,0,1.0650410894399627,1.035294117647059
particularly_exciting,22,0.14,0.64,0,0,0,0,3,3,4.69041575982343,3,0,0,0,1.0650410894399627,1.035294117647059
more_important,22,0.14,0.47,0,0,0,0,2,3,3.4287918800378887,2,0,0,0,1.0848520434800557,1.056
more_different,22,0.09,0.43,0,0,0,0,2,2,4.690415759823431,2,0,0,0,1.0512047866122314,1.03125
more_dramatic,22,0.09,0.29,0,0,0,0,1,2,3.236694374850748,1,0,0,0,1.0650410894399627,1.0476190476190477
so_vulnerable,22,0.09,0.43,0,0,0,0,2,2,4.690415759823431,2,0,0,0,1.0512047866122314,1.03125
too_careful,22,0.09,0.43,0,0,0,0,2,2,4.690415759823431,2,0,0,0,1.0512047866122314,1.03125
more_aware,22,0.09,0.29,0,0,0,0,1,2,3.236694374850748,1,0,0,0,1.0650410894399627,1.0476190476190477
more_sinister,22,0.09,0.43,0,0,0,0,2,2,4.690415759823431,2,0,0,0,1.0512047866122314,1.03125
quite_sure,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_big,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_special,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
more_spiritual,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
overly_impressive,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
seriously_sick,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
remotely_enough,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
quite_believable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
particularly_remarkable,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
really_sure,22,0.05,0.21,0,0,0,0,1,1,4.69041575982343,1,0,0,0,1.0320082797342096,1.0232558139534884
really_strange,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
really_scared,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
really_close,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
politically_motivated,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_broad,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
remotely_easy,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_sick,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_fascinating,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
so_foolish,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
very_serious,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
very_little,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
very_close,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
ultimately_serious,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_severe,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_persistent,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_hot,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_high,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_happy,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_early,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_busy,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
too_big,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
that_low,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
that_close,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
that_black,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
terminally_ill,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
technically_possible,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
substantially_new,22,0.05,0.21,0,0,0,0,1,1,4.690415759823431,1,0,0,0,1.0320082797342096,1.0232558139534884
