neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
never,91,0.51,1.07,0,0,0,1,8,46,2.113719797930414,8,1,2.5,-1.5,1.3223220867494638,1.219657483246463
nothing,91,0.29,0.58,0,0,0,0,3,26,2.0398801707725656,3,0,0.0,0.0,1.200583931018526,1.1446540880503144
no,91,0.26,0.65,0,0,0,0,4,24,2.4530624598853508,4,0,0.0,0.0,1.1726285198569841,1.119540701250769
none,91,0.22,0.47,0,0,0,0,2,20,2.123571415223786,2,0,0.0,0.0,1.1572162734160507,1.1142857142857143
nobody,91,0.09,0.38,0,0,0,0,2,8,4.372221339827668,2,0,0.0,0.0,1.0527986418024873,1.0340909090909092
hardly,91,0.04,0.21,0,0,0,0,1,4,4.689527339366588,1,0,0.0,0.0,1.030936907722388,1.0224719101123596
scarcely,91,0.04,0.21,0,0,0,0,1,4,4.689527339366587,1,0,0.0,0.0,1.030936907722388,1.0224719101123596
neither,91,0.02,0.15,0,0,0,0,1,2,6.707789833055627,1,0,0.0,0.0,1.0153506328960396,1.011111111111111
barely,91,0.01,0.1,0,0,0,0,1,1,9.539392014169456,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
rarely,91,0.01,0.1,0,0,0,0,1,1,9.539392014169454,1,0,0.0,0.0,1.007646085139043,1.0055248618784531
