neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
never,27,1.7,3.42,0,0,0,1,14,46,2.005817118297347,14,1,2.5,-1.5,1.7583366817867911,1.406657018813314
nothing,27,0.96,2.05,0,0,0,1,10,26,2.1259017739064494,10,1,2.5,-1.5,1.538507888840402,1.3472442730777954
no,27,0.89,3.17,0,0,0,0,16,24,3.562120425122784,16,0,0.0,0.0,1.273232563905699,1.1245865490628446
none,27,0.74,1.79,0,0,0,1,8,20,2.414738399591463,8,1,2.5,-1.5,1.37271438544234,1.221105527638191
nobody,27,0.3,0.67,0,0,0,0,2,8,2.25720001840265,2,0,0.0,0.0,1.1893563371911051,1.125
hardly,27,0.15,0.6,0,0,0,0,3,4,4.0602434561337475,3,0,0.0,0.0,1.080059738892306,1.0485436893203883
scarcely,27,0.15,0.53,0,0,0,0,2,4,3.6028834606144606,2,0,0.0,0.0,1.0847816126282284,1.051948051948052
neither,27,0.07,0.27,0,0,0,0,1,2,3.6028834606144606,1,0,0.0,0.0,1.0526852026389557,1.0384615384615385
barely,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0.0,0.0,1.0260044847070386,1.0188679245283019
rarely,27,0.04,0.19,0,0,0,0,1,1,5.196152422706632,1,0,0.0,0.0,1.0260044847070386,1.0188679245283019
