adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
important,15,1.33,2.38,0,0,0,1.0,7,20,1.7853571071357126,7,1.0,2.5,-1.5,1.7080270621958822,1.4173228346456692
good,15,1.13,2.36,0,0,0,1.0,9,17,2.079131534729079,9,1.0,2.5,-1.5,1.580585822885665,1.3412816691505216
young,15,0.6,1.06,0,0,0,1.0,3,9,1.7593288763724921,3,1.0,2.5,-1.5,1.366348812548757,1.2244897959183674
different,15,0.53,1.81,0,0,0,0.0,7,8,3.38886042793149,7,0.0,0.0,0.0,1.2030250360821166,1.1009174311926606
excited,15,0.4,0.91,0,0,0,0.0,3,6,2.275647474581999,3,0.0,0.0,0.0,1.2359875119158819,1.1464968152866242
strong,15,0.4,0.83,0,0,0,0.5,3,6,2.0701966780270626,3,0.5,1.25,-0.75,1.2599210498948732,1.1764705882352942
more,15,0.33,0.72,0,0,0,0.0,2,5,2.1712405933672376,2,0.0,0.0,0.0,1.2125086169006218,1.139240506329114
familiar,15,0.33,1.29,0,0,0,0.0,5,5,3.872983346207417,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
wrong,15,0.33,1.29,0,0,0,0.0,5,5,3.872983346207417,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
happy,15,0.33,0.62,0,0,0,0.5,2,5,1.8516401995451026,2,0.5,1.25,-0.75,1.2359875119158819,1.1688311688311688
simple,15,0.33,0.9,0,0,0,0.0,3,5,2.699206232527312,3,0.0,0.0,0.0,1.1801722982910057,1.1042944785276074
special,15,0.33,1.05,0,0,0,0.0,4,5,3.139608710833701,4,0.0,0.0,0.0,1.1659144011798317,1.094890510948905
alive,15,0.27,0.8,0,0,0,0.0,3,4,2.9955323876924265,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
proud,15,0.27,0.8,0,0,0,0.0,3,4,2.995532387692426,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
interested,15,0.27,0.7,0,0,0,0.0,2,4,2.638993314558738,2,0.0,0.0,0.0,1.1577536725165907,1.0975609756097562
ill,15,0.27,0.46,0,0,0,0.5,1,4,1.7165164058139881,1,0.5,1.25,-0.75,1.2030250360821166,1.1538461538461537
high,15,0.27,0.46,0,0,0,0.5,1,4,1.7165164058139881,1,0.5,1.25,-0.75,1.2030250360821166,1.1538461538461537
afraid,15,0.27,0.59,0,0,0,0.0,2,4,2.226063148892488,2,0.0,0.0,0.0,1.1801722982910057,1.125
right,15,0.27,1.03,0,0,0,0.0,4,4,3.8729833462074175,4,0.0,0.0,0.0,1.1132635768448034,1.056338028169014
divisive,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
difficult,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
enthusiastic,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
hard,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
small,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
sinister,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
unique,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
mundane,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
normal,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
close,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
expensive,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
available,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
big,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
better,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
beautiful,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
bad,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
violent,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
aggressive,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
likely,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
much,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
intense,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
primitive,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
fearful,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
worse,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
qualified,15,0.13,0.35,0,0,0,0.0,1,2,2.6389933145587383,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
frequent,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
aware,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
graphic,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
legal,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
great,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
visible,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
appropriate,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
healthy,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
real,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
higher,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
sick,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
intrusive,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
interesting,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
serious,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
injured,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
valuable,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
american,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
tragic,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
concerned,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
conservative,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
older,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
ugly,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
controversial,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
possible,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
tough,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
dangerous,15,0.13,0.35,0,0,0,0.0,1,2,2.6389933145587383,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
competitive,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
tired,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
old,15,0.13,0.35,0,0,0,0.0,1,2,2.6389933145587383,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
complicated,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
common,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
committed,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
comfortable,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
upset,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
unprepared,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
clear,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
nice,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
negative,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
suspect,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
restrictive,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
worried,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
recent,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
reluctant,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
powerless,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
raw,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
passionate,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074166,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
quiet,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
perfect,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
pleased,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
proficient,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
poor,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
positive,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
professional,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
younger,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
worthy,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
precise,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
unpredictable,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sad,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
stupid,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
uncomfortable,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
unable,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
tight,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
threatening,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
thin,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
unstable,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074166,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
unusual,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
thankful,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sympathetic,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sweet,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
surprised,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sure,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
subtle,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
substantial,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
outrageous,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sexy,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
stunning,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
stubborn,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
straightforward,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
startling,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
specific,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
sore,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
slow,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
