adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very,213,0.39,1.02,0,0,0,1,9,83,2.606246855310353,9,1,2.5,-1.5,1.2432569541952403,1.1674431351055083
so,213,0.2,0.48,0,0,0,0,3,42,2.4559558814217697,3,0,0.0,0.0,1.1350419339192184,1.0955850835833691
more,213,0.2,0.49,0,0,0,0,4,42,2.504866268891192,4,0,0.0,0.0,1.1356035216450313,1.0968074150360454
too,213,0.19,0.6,0,0,0,0,5,40,3.19852007346794,5,0,0.0,0.0,1.1137105694249343,1.0748528174936922
as,213,0.14,0.5,0,0,0,0,4,29,3.674202557206425,4,0,0.0,0.0,1.0829639551687726,1.0551519154557463
really,213,0.04,0.2,0,0,0,0,1,9,4.772167736538647,1,0,0.0,0.0,1.0297210177889842,1.0215827338129497
extremely,213,0.04,0.19,0,0,0,0,1,8,5.074039085532297,1,0,0.0,0.0,1.0263755335874818,1.0191387559808613
quite,213,0.03,0.18,0,0,0,0,1,7,5.4375900401505,1,0,0.0,0.0,1.0230409186062333,1.0167064439140812
still,213,0.03,0.3,0,0,0,0,4,7,9.054098734225445,4,0,0.0,0.0,1.0174695207846622,1.0109159943046986
pretty,213,0.03,0.17,0,0,0,0,1,6,5.887506760000926,1,0,0.0,0.0,1.01971713753198,1.0142857142857142
much,213,0.03,0.22,0,0,0,0,2,6,7.644673814875888,2,0,0.0,0.0,1.0169663536287223,1.0110759493670887
less,213,0.03,0.24,0,0,0,0,3,6,8.386309598342127,3,0,0.0,0.0,1.0164041551661935,1.01067615658363
equally,213,0.02,0.18,0,0,0,0,2,5,7.675715196226662,2,0,0.0,0.0,1.0150323059587942,1.0102766798418972
highly,213,0.02,0.15,0,0,0,0,1,5,6.465000109442716,1,0,0.0,0.0,1.0164041551661935,1.01187648456057
even,213,0.02,0.15,0,0,0,0,1,5,6.465000109442717,1,0,0.0,0.0,1.0164041551661935,1.01187648456057
simply,213,0.02,0.17,0,0,0,0,2,4,8.902081323308186,2,0,0.0,0.0,1.0117345442496166,1.0078864353312302
just,213,0.02,0.14,0,0,0,0,1,4,7.2454442420151794,1,0,0.0,0.0,1.0131019364247025,1.009478672985782
most,213,0.02,0.17,0,0,0,0,2,4,8.902081323308186,2,0,0.0,0.0,1.0117345442496166,1.0078864353312302
all,213,0.02,0.27,0,0,0,0,4,4,14.594519519326427,4,0,0.0,0.0,1.0075846654935303,1.003770028275212
dangerously,213,0.02,0.17,0,0,0,0,2,4,8.902081323308186,2,0,0.0,0.0,1.0117345442496166,1.0078864353312302
little,213,0.01,0.15,0,0,0,0,2,3,10.857568441084318,2,0,0.0,0.0,1.0084474967139947,1.005507474429583
absolutely,213,0.01,0.12,0,0,0,0,1,3,8.386309598342127,1,0,0.0,0.0,1.0098104463373212,1.0070921985815602
perfectly,213,0.01,0.15,0,0,0,0,2,3,10.857568441084318,2,0,0.0,0.0,1.0084474967139947,1.005507474429583
no,213,0.01,0.15,0,0,0,0,2,3,10.857568441084318,2,0,0.0,0.0,1.0084474967139947,1.005507474429583
completely,213,0.01,0.12,0,0,0,0,1,3,8.386309598342127,1,0,0.0,0.0,1.0098104463373212,1.0070921985815602
far,213,0.01,0.12,0,0,0,0,1,3,8.386309598342125,1,0,0.0,0.0,1.0098104463373212,1.0070921985815602
