bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
very_important,15,0.6,1.24,0,0,0,0.5,4,9,2.0701966780270626,4,0.5,1.25,-0.75,1.3392839547026258,1.2048192771084338
very_good,15,0.6,1.45,0,0,0,0.0,5,9,2.4234305999998997,5,0.0,0.0,0.0,1.2944424571091924,1.1612903225806452
too_familiar,15,0.33,1.29,0,0,0,0.0,5,5,3.872983346207417,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
as_young,15,0.27,0.8,0,0,0,0.0,3,4,2.9955323876924265,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
still_alive,15,0.27,0.8,0,0,0,0.0,3,4,2.9955323876924265,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
more_important,15,0.27,0.59,0,0,0,0.0,2,4,2.226063148892488,2,0.0,0.0,0.0,1.1801722982910057,1.125
all_right,15,0.27,1.03,0,0,0,0.0,4,4,3.8729833462074175,4,0.0,0.0,0.0,1.1132635768448034,1.056338028169014
too_afraid,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
very_special,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
less_good,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
as_mundane,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
as_divisive,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
so_strong,15,0.2,0.41,0,0,0,0.0,1,3,2.070196678027063,1,0.0,0.0,0.0,1.148698354997035,1.1111111111111112
too_young,15,0.2,0.56,0,0,0,0.0,2,3,2.8030595529069404,2,0.0,0.0,0.0,1.1268776101908264,1.0843373493975903
too_frequent,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
too_intrusive,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
too_real,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
totally_different,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
too_small,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
very_bad,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_competitive,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_excited,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
simply_unprepared,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_healthy,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_beautiful,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_excited,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
little_more,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
too_common,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_good,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
possibly_suspect,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_young,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
perfectly_legal,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_ugly,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
more_interested,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
more_likely,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
more_valuable,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
most_important,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
much_better,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
