bigram_lower,SUM,direct-adj-head,direct-neg-head
SUM,2049,1996,53
immediately_clear,225,225,0
immediately_available,215,215,0
so_sure,27,27,0
as_bad,27,26,1
very_good,24,24,0
as_good,22,21,1
legally_binding,21,21,0
yet_clear,18,18,0
so_much,17,14,3
too_late,16,16,0
too_bad,15,14,1
as_strong,14,14,0
that_bad,12,12,0
much_better,12,12,0
much_different,12,12,0
so_good,11,10,1
quite_sure,11,11,0
more_specific,10,9,1
so_bad,10,10,0
even_sure,9,9,0
too_concerned,9,9,0
earlier_informed,8,8,0
very_happy,8,8,0
more_different,8,8,0
too_many,8,7,1
so_lucky,8,8,0
immediately_possible,8,8,0
immediately_able,8,8,0
yet_ready,8,8,0
yet_available,8,8,0
overly_concerned,7,7,0
as_important,7,6,1
quite_ready,7,7,0
as_successful,7,7,0
as_high,7,7,0
as_simple,6,6,0
that_easy,6,6,0
readily_available,6,6,0
too_excited,6,6,0
nearly_enough,6,6,0
any_better,6,6,0
too_worried,6,6,0
more_effective,5,5,0
too_good,5,5,0
too_careful,5,5,0
as_full,5,5,0
as_sharp,5,5,0
very_high,5,5,0
that_close,5,5,0
too_upset,5,5,0
too_hot,5,5,0
as_easy,5,5,0
as_effective,5,5,0
just_dry,5,5,0
more_important,5,3,2
more_toxic,5,5,0
as_popular,5,5,0
as_aggressive,5,5,0
criminally_responsible,4,4,0
too_disappointed,4,4,0
too_long,4,4,0
completely_reliable,4,4,0
all_bad,4,4,0
as_dire,4,4,0
entirely_accurate,4,4,0
quite_right,4,4,0
too_distant,4,4,0
always_successful,4,4,0
that_strong,4,4,0
even_able,4,4,0
so_easy,4,4,0
so_funny,4,4,0
widely_available,4,4,0
so_important,4,4,0
always_possible,4,4,0
so_clear,4,4,0
yet_complete,4,4,0
that_big,4,4,0
really_worried,4,4,0
too_tired,4,4,0
politically_motivated,4,4,0
as_widespread,4,4,0
as_serious,4,4,0
even_aware,4,4,0
fully_accessible,4,4,0
quite_enough,3,3,0
as_precise,3,3,0
as_robust,3,2,1
as_tough,3,3,0
particularly_exciting,3,0,3
as_willing,3,3,0
truly_voluntary,3,3,0
more_right,3,3,0
more_excited,3,3,0
so_young,3,3,0
solely_responsible,3,3,0
so_big,3,3,0
really_sure,3,3,0
immediately_aware,3,3,0
really_ready,3,3,0
that_important,3,3,0
too_hard,3,2,1
that_low,3,3,0
only_possible,3,3,0
that_worried,3,3,0
too_busy,3,3,0
so_different,3,3,0
entirely_clear,3,3,0
too_early,3,3,0
too_happy,3,2,1
as_painful,3,3,0
that_good,3,3,0
any_different,3,3,0
always_easy,3,3,0
very_many,3,3,0
yet_over,3,3,0
as_fortunate,3,3,0
as_hard,3,3,0
yet_certain,3,3,0
as_exciting,3,3,0
very_religious,2,2,0
more_serious,2,1,1
really_scared,2,2,0
legally_significant,2,2,0
only_good,2,2,0
legally_insane,2,2,0
really_shocking,2,2,0
only_important,2,2,0
that_stupid,2,2,0
legally_responsible,2,2,0
yet_convinced,2,2,0
too_big,2,1,1
as_deep,2,2,0
as_deadly,2,2,0
entirely_happy,2,2,0
entirely_alien,2,2,0
economically_feasible,2,2,0
too_difficult,2,2,0
so_fast,2,0,2
as_dominant,2,2,0
always_frank,2,2,0
as_dramatic,2,2,0
statistically_significant,2,2,0
as_efficient,2,2,0
only_unfair,2,2,0
only_wrong,2,2,0
statistically_meaningful,2,2,0
more_sinister,2,2,0
as_isolated,2,2,0
even_close,2,2,0
that_hard,2,2,0
very_nice,2,2,0
as_compelling,2,2,0
historically_accurate,2,2,0
so_bright,2,2,0
that_concerned,2,2,0
much_more,2,1,1
that_crazy,2,2,0
so_convinced,2,2,0
fully_committed,2,2,0
as_concerned,2,2,0
just_good,2,2,0
just_happy,2,2,0
so_cozy,2,2,0
necessarily_effective,2,2,0
seriously_ill,2,2,0
as_extensive,2,2,0
that_high,2,2,0
that_hot,2,2,0
as_confident,2,2,0
that_interesting,2,2,0
necessarily_important,2,2,0
more_troubling,2,2,0
as_consistent,2,2,0
as_convinced,2,2,0
terribly_concerned,2,2,0
that_revolutionary,2,2,0
terminally_ill,2,2,0
even_international,2,2,0
more_dramatic,2,1,1
that_small,2,2,0
even_comparable,2,2,0
that_black,2,2,0
too_harsh,2,2,0
as_sick,2,2,0
as_severe,2,2,0
so_sweet,2,2,0
so_high,2,2,0
real_excited,2,2,0
as_satisfying,2,2,0
as_great,2,2,0
completely_clear,2,2,0
as_responsive,2,2,0
yet_public,2,2,0
so_successful,2,2,0
particularly_pleased,2,2,0
so_simple,2,2,0
as_powerful,2,2,0
more_aware,2,2,0
particularly_worrisome,2,2,0
as_intense,2,2,0
very_aggressive,2,2,0
as_overwhelming,2,2,0
too_young,2,2,0
more_clear,2,2,0
totally_sure,2,2,0
totally_unexpected,2,2,0
very_strong,2,2,0
as_much,2,2,0
so_pessimistic,2,2,0
as_loud,2,2,0
very_secure,2,2,0
very_common,2,2,0
readily_subject,2,2,0
too_much,2,2,0
very_favorable,2,2,0
as_wet,2,2,0
as_appealing,2,2,0
so_worried,2,2,0
any_easier,2,2,0
particularly_concerned,2,2,0
so_vulnerable,2,2,0
very_fair,2,2,0
as_valuable,2,2,0
really_apparent,2,2,0
overly_aggressive,2,2,0
too_high,2,2,0
mentally_ill,2,2,0
as_special,2,2,0
commercially_available,2,2,0
very_easy,2,2,0
as_fearful,2,2,0
more_optimistic,2,2,0
so_misleading,1,1,0
so_common,1,1,0
yet_aware,1,1,0
very_sound,1,1,0
so_cold,1,1,0
so_fortunate,1,1,0
so_long,1,1,0
so_nervous,1,1,0
yet_able,1,1,0
so_cool,1,1,0
so_glaring,1,1,0
so_foolish,1,1,0
so_confident,1,1,0
so_concerned,1,1,0
very_successful,1,1,0
so_low,1,1,0
so_effective,1,1,0
so_damaging,1,1,0
very_worried,1,1,0
so_heavy,1,1,0
well_prepared,1,1,0
so_harsh,1,1,0
so_divisive,1,1,0
so_happy,1,1,0
so_distant,1,1,0
so_hot,1,1,0
so_enthusiastic,1,0,1
wholly_fair,1,1,0
so_excited,1,1,0
so_deep,1,1,0
so_experienced,1,1,0
very_sympathetic,1,1,0
wholly_satisfactory,1,1,0
so_impossible,1,1,0
so_fascinating,1,1,0
wildly_dangerous,1,0,1
so_impressed,1,1,0
so_keen,1,1,0
very_surprised,1,1,0
so_forgiving,1,1,0
yet_concerned,1,1,0
so_certain,1,1,0
really_concerned,1,1,0
real_clear-cut,1,1,0
yet_prepared,1,1,0
real_focused,1,1,0
real_good,1,1,0
real_hopeful,1,1,0
real_painful,1,1,0
real_smart,1,1,0
really_able,1,1,0
really_available,1,1,0
really_aware,1,1,0
really_calm,1,1,0
really_certain,1,1,0
yet_possible,1,1,0
really_cheap,1,1,0
really_close,1,1,0
rarely_selfish,1,1,0
yet_ripe,1,1,0
yet_satisfied,1,1,0
yet_sure,1,1,0
yet_worried,1,1,0
probably_strong,1,1,0
probably_tired,1,1,0
publicly_available,1,1,0
purely_expressive,1,1,0
quite_believable,1,1,0
quite_equal,1,1,0
yet_serious,1,1,0
quite_full,1,1,0
quite_good,1,1,0
quite_human,1,1,0
quite_like,1,1,0
quite_over,1,1,0
quite_proper,1,1,0
really_compatible,1,1,0
really_confident,1,1,0
so_busy,1,1,0
really_convincing,1,1,0
remotely_easy,1,1,0
remotely_enough,1,1,0
scientifically_irresponsible,1,1,0
scientifically_sound,1,1,0
seriously_sick,1,1,0
similarly_flexible,1,1,0
simply_due,1,1,0
so_accommodating,1,1,0
so_advanced,1,1,0
so_aggressive,1,1,0
yet_close,1,1,0
so_appealing,1,1,0
so_available,1,1,0
so_benign,1,1,0
so_broad,1,1,0
reasonably_fit,1,1,0
really_worth,1,0,1
really_undecided,1,1,0
really_jewish,1,1,0
really_excited,1,1,0
really_focused,1,1,0
really_fond,1,1,0
really_good,1,1,0
really_human,1,1,0
really_interested,1,1,0
really_necessary,1,1,0
really_sustainable,1,1,0
really_nervous,1,1,0
really_rational,1,1,0
yet_great,1,1,0
really_satisfied,1,1,0
really_serious,1,1,0
really_strange,1,0,1
very_serious,1,0,1
sufficiently_clear,1,1,0
so_optimistic,1,1,0
very_keen,1,1,0
too_conservative,1,1,0
too_critical,1,0,1
very_interested,1,1,0
too_deep,1,1,0
very_influential,1,1,0
very_helpful,1,1,0
very_healthy,1,1,0
too_dominant,1,1,0
too_emotional,1,1,0
very_funny,1,1,0
too_expensive,1,1,0
very_fun,1,1,0
very_forthcoming,1,1,0
too_heavy,1,1,0
too_involved,1,1,0
too_comfortable,1,1,0
very_likely,1,1,0
very_excited,1,1,0
