adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
clear,112,2.31,21.31,0,0,0,0,225,259,9.213414264816553,225,0,0,0,1.1641567723550885,1.0699915581861825
available,112,2.15,20.32,0,0,0,0,215,241,9.443345591283386,215,0,0,0,1.1575407781718223,1.068784578157523
good,112,0.67,3.26,0,0,0,0,24,75,4.866436458416343,24,0,0,0,1.1782715249052311,1.0847442401035337
bad,112,0.63,3.25,0,0,0,0,27,71,5.125784413135262,27,0,0,0,1.1408283472038516,1.0569423296272427
sure,112,0.51,2.88,0,0,0,0,27,57,5.6568346424058875,27,0,0,0,1.133860322192588,1.063603681009338
concerned,112,0.27,1.14,0,0,0,0,9,30,4.251700478274189,9,0,0,0,1.1224280893577139,1.0711723918068063
different,112,0.25,1.41,0,0,0,0,12,28,5.644099206769479,12,0,0,0,1.0829104686103466,1.040041271479027
important,112,0.23,0.97,0,0,0,0,7,26,4.168936425335898,7,0,0,0,1.1046145197977546,1.0575182941222756
easy,112,0.21,0.89,0,0,0,0,6,24,4.175336325786634,6,0,0,0,1.0993113677948836,1.0556789874099508
strong,112,0.21,1.39,0,0,0,0,14,23,6.765754869563562,14,0,0,0,1.0692147297847143,1.0360777058279371
ready,112,0.19,1.04,0,0,0,0,8,21,5.569831507597247,8,0,0,0,1.0715739934324824,1.037170418006431
much,112,0.19,1.62,0,0,0,0,17,21,8.665973638264722,17,0,0,0,1.0464724819901812,1.0207594936708861
binding,112,0.19,1.98,0,0,0,0,21,21,10.583005244258363,21,0,0,0,1.027982962378188,1.008595988538682
possible,112,0.17,0.9,0,0,0,0,8,19,5.301331454976943,8,0,0,0,1.0737110754436405,1.0412685295181034
happy,112,0.17,0.86,0,0,0,0,8,19,5.059620581154796,8,0,0,0,1.0793608256550469,1.0464573059953284
worried,112,0.17,0.77,0,0,0,0,6,19,4.537736317226872,6,0,0,0,1.0818646737002322,1.047451513059743
better,112,0.16,1.26,0,0,0,0,12,18,7.859629366183481,12,0,0,0,1.0410975896580814,1.0161515453639083
high,112,0.16,0.87,0,0,0,0,7,18,5.383977101702222,7,0,0,0,1.0660832406569969,1.034243939976914
able,112,0.15,0.86,0,0,0,0,8,17,5.677053356907095,8,0,0,0,1.0670865971638004,1.0388539626919508
late,112,0.14,1.51,0,0,0,0,16,16,10.583005244258363,16,0,0,0,1.0256192204682006,1.0084745762711864
excited,112,0.14,0.68,0,0,0,0,6,16,4.777952367785686,6,0,0,0,1.0730498647428552,1.0445209281669812
effective,112,0.14,0.71,0,0,0,0,5,16,4.95929375965919,5,0,0,0,1.0688250911736028,1.0402476780185759
successful,112,0.14,0.79,0,0,0,0,7,16,5.547501669650473,7,0,0,0,1.063230488663224,1.0355189151706603
aware,112,0.13,0.55,0,0,0,0,4,15,4.0706473895647335,4,0,0,0,1.0764725439243534,1.0488528172311535
responsible,112,0.11,0.53,0,0,0,0,4,12,4.909593069094841,4,0,0,0,1.056670672489489,1.0343235339387409
enough,112,0.1,0.64,0,0,0,0,6,11,6.548820683267928,6,0,0,0,1.0430294945685235,1.0238328436173685
aggressive,112,0.1,0.55,0,0,0,0,5,11,5.628458698072763,5,0,0,0,1.0491638957615772,1.0290964777947933
specific,112,0.1,0.95,0,0,0,0,10,11,9.660270439133091,10,0,0,0,1.027982962378188,1.0127414714344432
serious,112,0.1,0.46,0,0,0,0,4,11,4.726516666056014,4,0,0,0,1.056670672489489,1.0367170626349893
many,112,0.1,0.8,0,0,0,0,8,11,8.195729369449227,8,0,0,0,1.0325130704533463,1.0148502391140197
popular,112,0.09,0.51,0,0,0,0,5,10,5.735302406472888,5,0,0,0,1.0480611390281545,1.030674846625767
simple,112,0.09,0.61,0,0,0,0,6,10,6.815773967406401,6,0,0,0,1.0403538173392606,1.0230535015224012
right,112,0.09,0.49,0,0,0,0,4,10,5.5347550545180875,4,0,0,0,1.0463564185578422,1.0279944928866454
big,112,0.09,0.51,0,0,0,0,4,10,5.735302406472887,4,0,0,0,1.0436722067906703,1.0248589293884398
close,112,0.09,0.53,0,0,0,0,5,10,5.929070236881487,5,0,0,0,1.0453725541519112,1.0275229357798166
accurate,112,0.08,0.45,0,0,0,0,4,9,5.574941152850551,4,0,0,0,1.0436722067906703,1.027208804646897
optimistic,112,0.08,0.3,0,0,0,0,2,9,3.786541093003555,2,0,0,0,1.0545675071803646,1.0386398763523956
lucky,112,0.08,0.76,0,0,0,0,8,9,9.469806375441044,8,0,0,0,1.026142771622217,1.0125565042692115
interested,112,0.08,0.27,0,0,0,0,1,9,3.3981682635719412,1,0,0,0,1.0572797404789354,1.041860465116279
hard,112,0.08,0.45,0,0,0,0,3,9,5.574941152850549,3,0,0,0,1.0415949132340618,1.024390243902439
confident,112,0.07,0.29,0,0,0,0,2,8,4.080275560381755,2,0,0,0,1.0480611390281545,1.0338461538461539
informed,112,0.07,0.76,0,0,0,0,8,8,10.583005244258363,8,0,0,0,1.019811775641927,1.008
hot,112,0.07,0.51,0,0,0,0,5,8,7.208603468353904,5,0,0,0,1.0325130704533463,1.018181818181818
funny,112,0.07,0.42,0,0,0,0,4,8,5.857158552259476,4,0,0,0,1.0399007103824898,1.0256410256410255
long,112,0.07,0.42,0,0,0,0,4,8,5.857158552259476,4,0,0,0,1.0399007103824898,1.0256410256410255
convinced,112,0.06,0.34,0,0,0,0,2,7,5.38265482573172,2,0,0,0,1.036257773479063,1.0228310502283104
comfortable,112,0.06,0.24,0,0,0,0,1,7,3.8903901006370987,1,0,0,0,1.0442737824274138,1.032258064516129
upset,112,0.06,0.49,0,0,0,0,5,7,7.826957343774224,5,0,0,0,1.028781899582572,1.0166414523449319
toxic,112,0.06,0.49,0,0,0,0,5,7,7.826957343774224,5,0,0,0,1.028781899582572,1.0166414523449319
fair,112,0.06,0.28,0,0,0,0,2,7,4.443843803257238,2,0,0,0,1.0415949132340618,1.0290964777947933
full,112,0.06,0.49,0,0,0,0,5,7,7.826957343774224,5,0,0,0,1.028781899582572,1.0166414523449319
sharp,112,0.06,0.49,0,0,0,0,5,7,7.826957343774224,5,0,0,0,1.028781899582572,1.0166414523449319
tired,112,0.05,0.4,0,0,0,0,4,6,7.4495298841937325,4,0,0,0,1.0271085376970892,1.0163339382940109
disappointed,112,0.05,0.4,0,0,0,0,4,6,7.4495298841937325,4,0,0,0,1.0271085376970892,1.0163339382940109
accessible,112,0.05,0.4,0,0,0,0,4,6,7.4495298841937325,4,0,0,0,1.0271085376970892,1.0163339382940109
certain,112,0.05,0.32,0,0,0,0,3,6,6.054804758261049,3,0,0,0,1.0314278150939225,1.020501138952164
exciting,112,0.05,0.4,0,0,0,0,3,6,7.4495298841937325,3,0,0,0,1.0250642119658746,1.0135746606334841
ill,112,0.05,0.32,0,0,0,0,2,6,6.054804758261049,2,0,0,0,1.0298643709430118,1.018181818181818
deep,112,0.05,0.26,0,0,0,0,2,6,4.909593069094841,2,0,0,0,1.0351685821316654,1.024390243902439
fit,112,0.04,0.21,0,0,0,0,1,5,4.646804578717808,1,0,0,0,1.0314278150939225,1.0228310502283104
prepared,112,0.04,0.21,0,0,0,0,1,5,4.646804578717808,1,0,0,0,1.0314278150939225,1.0228310502283104
dry,112,0.04,0.47,0,0,0,0,5,5,10.583005244258363,5,0,0,0,1.016126503174357,1.0074962518740629
motivated,112,0.04,0.39,0,0,0,0,4,5,8.708450902262534,4,0,0,0,1.020771583227097,1.0117434507678411
