adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
clear,14,18.5,56.36,0,0,0,0.0,209,259,3.0463999905092116,209,0.0,0.0,0.0,2.035775810215559,1.2147756383769936
available,14,17.21,57.25,0,0,0,0.75,215,241,3.325805935844522,215,0.75,1.875,-1.125,2.093704786702132,1.2868085106382978
good,14,5.36,12.63,0,0,0,2.0,41,75,2.3584494399252574,41,2.0,5.0,-3.0,2.1020529260095584,1.3918863766223166
bad,14,5.07,12.42,0,0,0,0.75,41,71,2.4499880648717096,41,0.75,1.875,-1.125,1.9173132536801458,1.294995717606754
sure,14,4.07,10.03,0,0,0,0.0,31,57,2.464560465909646,31,0.0,0.0,0.0,1.7435871518309012,1.2275766322019657
concerned,14,2.14,5.46,0,0,0,0.0,16,30,2.5485373717178907,16,0.0,0.0,0.0,1.4855789163413813,1.1545924967658474
different,14,2.0,4.51,0,0,0,1.0,14,28,2.253202848596432,14,1.0,2.5,-1.5,1.6811146037519673,1.3145539906103287
important,14,1.86,4.05,0,0,0,2.0,15,26,2.183231497669666,15,2.0,5.0,-3.0,1.7531984225711477,1.3686354378818737
easy,14,1.71,4.12,0,0,0,0.75,14,24,2.4043674648403703,14,0.75,1.875,-1.125,1.5673680254384137,1.2524850894632207
strong,14,1.64,5.11,0,0,0,0.0,19,23,3.1093212177843994,19,0.0,0.0,0.0,1.3894954943731375,1.1428571428571428
ready,14,1.5,4.05,0,0,0,0.0,14,21,2.7016930431019173,14,0.0,0.0,0.0,1.4077091909894845,1.1483253588516746
much,14,1.5,3.82,0,0,0,0.0,14,21,2.5453157915340245,14,0.0,0.0,0.0,1.5029247363536644,1.215629522431259
binding,14,1.5,4.38,0,0,0,0.0,16,21,2.9206017410654486,16,0.0,0.0,0.0,1.3914622894208926,1.1451483560545308
possible,14,1.36,4.52,0,0,0,0.0,17,19,3.328137153167206,17,0.0,0.0,0.0,1.3572711156555957,1.1612903225806452
happy,14,1.36,3.2,0,0,0,0.75,11,19,2.3587296092811383,11,0.75,1.875,-1.125,1.5151401455513038,1.247083775185578
worried,14,1.36,3.59,0,0,0,0.0,12,19,2.6426487819422046,12,0.0,0.0,0.0,1.3933935952065366,1.1473601260835304
better,14,1.29,3.54,0,0,0,0.0,13,18,2.75287986994485,13,0.0,0.0,0.0,1.4232947902524018,1.1893203883495145
high,14,1.29,3.22,0,0,0,0.0,11,18,2.5050755694663067,11,0.0,0.0,0.0,1.4419515326529806,1.1939086294416243
able,14,1.21,3.77,0,0,0,0.0,14,17,3.101254608014586,14,0.0,0.0,0.0,1.339710013913193,1.1366711772665765
late,14,1.14,2.91,0,0,0,0.0,8,16,2.5419556372089707,8,0.0,0.0,0.0,1.3687381066422017,1.1454545454545455
excited,14,1.14,2.93,0,0,0,0.0,9,16,2.5650198679692378,9,0.0,0.0,0.0,1.3675241327079375,1.1451942740286298
effective,14,1.14,2.41,0,0,0,0.0,7,16,2.1116663125088246,7,0.0,0.0,0.0,1.471888318083378,1.2155038759689922
successful,14,1.14,3.13,0,0,0,0.0,11,16,2.742559865414904,11,0.0,0.0,0.0,1.3572711156555957,1.1428571428571428
