adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
immediately,410,1.12,15.36,0,0,0,0,225,460,13.688781536636338,225,0,0.0,0.0,1.0430209160119188,1.0123924824652195
as,410,0.72,2.12,0,0,0,1,27,295,2.9500724249943255,27,1,2.5,-1.5,1.381869369735158,1.2433144693130709
so,410,0.43,1.86,0,0,0,0,27,178,4.289936310829517,27,0,0.0,0.0,1.204206391878696,1.1276335708813128
too,410,0.36,1.48,0,0,0,0,16,149,4.074704658460704,16,0,0.0,0.0,1.157140703161956,1.088732160786904
more,410,0.25,0.87,0,0,0,0,10,102,3.491701853154846,10,0,0.0,0.0,1.1418808740056425,1.0932302678535357
very,410,0.23,1.33,0,0,0,0,24,96,5.688218207128642,24,0,0.0,0.0,1.1155194163627085,1.0745142118336337
that,410,0.23,0.89,0,0,0,0,12,95,3.8352321726137775,12,0,0.0,0.0,1.1248421277291833,1.0786073793974715
yet,410,0.15,1.1,0,0,0,0,18,60,7.534336865456264,18,0,0.0,0.0,1.0557315256477096,1.03107944944387
really,410,0.1,0.41,0,0,0,0,4,43,3.9018278434760805,4,0,0.0,0.0,1.066489884464023,1.0453850076491586
much,410,0.09,0.85,0,0,0,0,12,36,9.735053821263383,12,0,0.0,0.0,1.0326182003378088,1.018665987131299
quite,410,0.08,0.7,0,0,0,0,11,33,8.695535397556984,11,0,0.0,0.0,1.032480380444499,1.0182329932324758
even,410,0.08,0.57,0,0,0,0,9,32,7.265058711861664,9,0,0.0,0.0,1.0374035762667855,1.0224438902743143
only,410,0.07,0.32,0,0,0,0,3,30,4.369325792189676,3,0,0.0,0.0,1.047305661028588,1.0325288562434418
legally,410,0.07,1.05,0,0,0,0,21,29,14.87814380829823,21,0,0.0,0.0,1.0191398224608874,1.0097391693719915
entirely,410,0.07,0.34,0,0,0,0,4,27,5.159770707721342,4,0,0.0,0.0,1.040514595857511,1.027268551384307
just,410,0.06,0.34,0,0,0,0,5,25,5.587499145348167,5,0,0.0,0.0,1.0374635868061595,1.0254272613588995
always,410,0.06,0.37,0,0,0,0,4,25,6.039948509309498,4,0,0.0,0.0,1.0347904051673378,1.0224863876304087
particularly,410,0.06,0.29,0,0,0,0,3,23,5.117668747981115,3,0,0.0,0.0,1.0357111296509705,1.024359775140537
any,410,0.04,0.36,0,0,0,0,6,17,8.787264272849761,6,0,0.0,0.0,1.0211714896503732,1.013030561520134
overly,410,0.04,0.38,0,0,0,0,7,16,9.763516428840315,7,0,0.0,0.0,1.0197786265648798,1.0124498405185718
necessarily,410,0.03,0.21,0,0,0,0,2,14,6.061573847698487,2,0,0.0,0.0,1.0225148306462162,1.0156895127993395
fully,410,0.03,0.25,0,0,0,0,4,13,8.041185703928539,4,0,0.0,0.0,1.0186102728141404,1.012262365237429
less,410,0.03,0.17,0,0,0,0,1,12,5.766086954010162,1,0,0.0,0.0,1.0204944191918184,1.0148514851485149
all,410,0.03,0.24,0,0,0,0,4,11,8.781912474177595,4,0,0.0,0.0,1.0158845171554143,1.01059896475228
completely,410,0.03,0.25,0,0,0,0,4,11,9.160535767458649,4,0,0.0,0.0,1.015171957994359,1.0097693128642968
exactly,410,0.02,0.15,0,0,0,0,1,10,6.332282330329439,1,0,0.0,0.0,1.0170497444436268,1.0123456790123457
terribly,410,0.02,0.17,0,0,0,0,2,10,6.951104114510004,2,0,0.0,0.0,1.0163363679717798,1.011513157894737
earlier,410,0.02,0.4,0,0,0,0,8,8,20.248456731316587,8,0,0.0,0.0,1.005373469913784,1.002172732210755
nearly,410,0.02,0.3,0,0,0,0,6,8,15.589427722777906,6,0,0.0,0.0,1.0081604444595216,1.0045502275113756
readily,410,0.02,0.31,0,0,0,0,6,8,15.996064613822497,6,0,0.0,0.0,1.0074533030980952,1.0037304733038004
real,410,0.02,0.16,0,0,0,0,2,8,7.950892216699005,2,0,0.0,0.0,1.0129057287085161,1.0090237899917966
mentally,410,0.01,0.14,0,0,0,0,2,6,9.504284911353139,2,0,0.0,0.0,1.0094866695540878,1.0065466448445173
politically,410,0.01,0.21,0,0,0,0,4,6,14.300306902514803,4,0,0.0,0.0,1.007333422884667,1.0044096031357177
most,410,0.01,0.12,0,0,0,0,1,6,8.215714363960533,1,0,0.0,0.0,1.0101952381553867,1.0073710073710074
sufficiently,410,0.01,0.12,0,0,0,0,1,6,8.215714363960533,1,0,0.0,0.0,1.0101952381553867,1.0073710073710074
totally,410,0.01,0.16,0,0,0,0,2,6,10.637899268284244,2,0,0.0,0.0,1.0087785979551938,1.0057236304170074
