bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
immediately_clear,11,20.45,67.84,0,0,0,0.0,225,225,3.3166247903554,225,0.0,0.0,0.0,1.636853676150727,1.099513489606369
immediately_available,11,19.55,63.84,0,0,0,0.0,212,215,3.2660430673016085,212,0.0,0.0,0.0,1.8467308300178142,1.18858592263792
so_sure,11,2.45,8.14,0,0,0,0.0,27,27,3.3166247903554,27,0.0,0.0,0.0,1.3538165566025344,1.096085409252669
as_bad,11,2.45,7.81,0,0,0,0.0,26,27,3.1838498492902882,26,0.0,0.0,0.0,1.4371110933424442,1.1533980582524272
very_good,11,2.18,6.91,0,0,0,0.0,23,24,3.167598547094559,23,0.0,0.0,0.0,1.4218052466148239,1.1528384279475983
as_good,11,2.0,5.67,0,0,0,0.5,19,22,2.8372521918222215,19,0.5,1.25,-0.75,1.545313066823975,1.2382739212007505
legally_binding,11,1.91,6.33,0,0,0,0.0,21,21,3.3166247903553994,21,0.0,0.0,0.0,1.3244587155363412,1.0950226244343892
yet_clear,11,1.64,5.43,0,0,0,0.0,18,18,3.3166247903553994,18,0.0,0.0,0.0,1.3069239821127012,1.094240837696335
so_much,11,1.55,2.46,0,0,0,2.5,7,17,1.594540859819283,7,2.5,6.25,-3.75,1.7821633101508632,1.3968253968253967
too_late,11,1.45,4.82,0,0,0,0.0,16,16,3.3166247903553994,16,0.0,0.0,0.0,1.293775708915558,1.0935672514619883
too_bad,11,1.36,4.2,0,0,0,0.0,14,15,3.0812695796087404,14,0.0,0.0,0.0,1.3623344859430984,1.1498257839721255
as_strong,11,1.27,4.22,0,0,0,0.0,14,14,3.316624790355399,14,0.0,0.0,0.0,1.279137959512401,1.0927152317880795
that_bad,11,1.09,3.62,0,0,0,0.0,12,12,3.3166247903554003,12,0.0,0.0,0.0,1.262605211219653,1.0916030534351144
much_better,11,1.09,3.62,0,0,0,0.0,12,12,3.3166247903554003,12,0.0,0.0,0.0,1.262605211219653,1.0916030534351144
much_different,11,1.09,3.62,0,0,0,0.0,12,12,3.3166247903554003,12,0.0,0.0,0.0,1.262605211219653,1.0916030534351144
so_good,11,1.0,3.0,0,0,0,0.0,10,11,3.0,10,0.0,0.0,0.0,1.3244587155363412,1.146919431279621
quite_sure,11,1.0,3.0,0,0,0,0.0,10,11,3.0,10,0.0,0.0,0.0,1.3244587155363412,1.146919431279621
more_specific,11,0.91,2.7,0,0,0,0.0,9,10,2.9701851794122196,9,0.0,0.0,0.0,1.3130324344878839,1.1458333333333333
so_bad,11,0.91,3.02,0,0,0,0.0,10,10,3.3166247903554,10,0.0,0.0,0.0,1.2435752279123709,1.09009009009009
even_sure,11,0.82,2.71,0,0,0,0.0,9,9,3.3166247903553994,9,0.0,0.0,0.0,1.2328467394420661,1.0891089108910892
too_concerned,11,0.82,2.71,0,0,0,0.0,9,9,3.3166247903553994,9,0.0,0.0,0.0,1.2328467394420661,1.0891089108910892
earlier_informed,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
very_happy,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
more_different,11,0.73,1.85,0,0,0,0.0,6,8,2.542144763777232,6,0.0,0.0,0.0,1.318869284780528,1.1608040201005025
too_many,11,0.73,2.1,0,0,0,0.0,7,8,2.890177330199654,7,0.0,0.0,0.0,1.2866648980094317,1.1428571428571428
so_lucky,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
immediately_possible,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
immediately_able,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
yet_ready,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
yet_available,11,0.73,2.41,0,0,0,0.0,8,8,3.3166247903553994,8,0.0,0.0,0.0,1.2210946234986555,1.0879120879120878
overly_concerned,11,0.64,2.11,0,0,0,0.0,7,7,3.316624790355399,7,0.0,0.0,0.0,1.2080894444044472,1.0864197530864197
as_important,11,0.64,1.8,0,0,0,0.0,6,7,2.834913524938204,6,0.0,0.0,0.0,1.271140212359713,1.1407407407407408
