neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,410,3.22,15.21,0,1,1,2,215,1321,4.719471087134072,215,1,3.5,-0.5,2.3948620398835305,1.9440444682788631
n't,410,1.38,3.88,0,0,0,1,49,565,2.8181240419283373,49,1,2.5,-1.5,1.656694066546647,1.4042822601974534
never,410,0.11,0.54,0,0,0,0,8,46,4.844712124974903,8,0,0.0,0.0,1.0639738424415843,1.0416372618207481
no,410,0.1,0.41,0,0,0,0,4,39,4.26416152168919,4,0,0.0,0.0,1.0585591584506657,1.0392024332544778
nothing,410,0.07,0.33,0,0,0,0,4,28,4.80754556780356,4,0,0.0,0.0,1.0437388604983489,1.030280185953009
none,410,0.05,0.25,0,0,0,0,2,22,4.590882132143849,2,0,0.0,0.0,1.0364381054582,1.0258548790658883
nobody,410,0.02,0.18,0,0,0,0,2,8,9.428909791343894,2,0,0.0,0.0,1.0114852874709248,1.0073710073710074
without,410,0.01,0.17,0,0,0,0,3,6,11.661833904157188,3,0,0.0,0.0,1.0084888420025413,1.0055180870631515
hardly,410,0.01,0.1,0,0,0,0,1,4,10.087029605348084,1,0,0.0,0.0,1.0067853282507613,1.0049019607843137
scarcely,410,0.01,0.1,0,0,0,0,1,4,10.087029605348084,1,0,0.0,0.0,1.0067853282507613,1.0049019607843137
few,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
neither,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
barely,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
rarely,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
