neg_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,61,30.92,156.07,0,0,1,4,1166,1886,5.047807759537086,1166,4,10,-6.0,3.2728008069891157,1.94459548900466
never,61,0.75,3.25,0,0,0,0,21,46,4.315088706875462,21,0,0,0.0,1.1923435592562823,1.0849772382397571
no,61,0.64,4.35,0,0,0,0,34,39,6.805989936358022,34,0,0,0.0,1.1219853355771383,1.0603426868636703
nothing,61,0.46,2.51,0,0,0,0,19,28,5.462001545619861,19,0,0,0.0,1.1319431360277479,1.0661229245557822
none,61,0.36,1.38,0,0,0,0,9,22,3.8230398387690694,9,0,0,0.0,1.1525141608069092,1.082519964507542
nobody,61,0.13,0.59,0,0,0,0,4,8,4.5057255242635454,4,0,0,0.0,1.0694242319448266,1.042141230068337
without,61,0.1,0.57,0,0,0,0,4,6,5.782476721702997,4,0,0,0.0,1.0453944367045582,1.024636058230683
hardly,61,0.07,0.31,0,0,0,0,2,4,4.71588627230697,2,0,0,0.0,1.0415772747383942,1.0280898876404494
scarcely,61,0.07,0.36,0,0,0,0,2,4,5.476464796441831,2,0,0,0.0,1.0366766576056359,1.0223463687150838
few,61,0.03,0.18,0,0,0,0,1,2,5.476464796441831,1,0,0,0.0,1.0229863431414639,1.0166666666666666
neither,61,0.03,0.18,0,0,0,0,1,2,5.476464796441831,1,0,0,0.0,1.0229863431414639,1.0166666666666666
barely,61,0.02,0.13,0,0,0,0,1,1,7.810249675906656,1,0,0,0.0,1.0114278734252204,1.0082644628099173
rarely,61,0.02,0.13,0,0,0,0,1,1,7.810249675906656,1,0,0,0.0,1.0114278734252204,1.0082644628099173
