prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,877,1.33,9.05,0,0,1,1,192,1166,6.804207801653417,192,1,2.5,-1.5,1.6251363223286563,1.4384904956285338
n't,877,0.43,1.8,0,0,0,0,42,376,4.200294205805538,42,0,0.0,0.0,1.2354381055423673,1.15808790655364
be,877,0.14,0.53,0,0,0,0,6,126,3.7026525561352397,6,0,0.0,0.0,1.088617614623424,1.0600718917192136
been,877,0.09,0.38,0,0,0,0,5,80,4.1361373275084965,5,0,0.0,0.0,1.0587627974377813,1.0407025038566513
no,877,0.04,0.26,0,0,0,0,4,34,6.788879515100202,4,0,0.0,0.0,1.0235830133204227,1.0157908961043975
nearly,877,0.04,0.22,0,0,0,0,3,32,6.060154288347209,3,0,0.0,0.0,1.0237958304793762,1.0165169516082295
quite,877,0.03,0.18,0,0,0,0,3,24,6.68790584338739,3,0,0.0,0.0,1.0183445496736925,1.012994513427664
never,877,0.02,0.3,0,0,0,0,8,21,12.659556636898776,8,0,0.0,0.0,1.0121978233649278,1.0077242259814874
seem,877,0.02,0.17,0,0,0,0,3,19,7.733192199997013,3,0,0.0,0.0,1.0143281883744137,1.0100777425856609
nothing,877,0.02,0.17,0,0,0,0,3,19,8.041550463341203,3,0,0.0,0.0,1.0139955131401934,1.0096901084140841
get,877,0.02,0.2,0,0,0,0,4,16,10.752133977026674,4,0,0.0,0.0,1.010584767745039,1.006946437797807
is,877,0.01,0.12,0,0,0,0,1,12,8.495035034861903,1,0,0.0,0.0,1.0095294588654562,1.0068886337543055
none,877,0.01,0.1,0,0,0,0,1,9,9.826217015831276,1,0,0.0,0.0,1.0071386142802856,1.005157593123209
was,877,0.01,0.12,0,0,0,0,3,7,15.229508751714976,3,0,0.0,0.0,1.004753431875431,1.0031455533314269
yet,877,0.01,0.08,0,0,0,0,1,6,12.05538809162002,1,0,0.0,0.0,1.004753431875431,1.0034324942791761
are,877,0.01,0.08,0,0,0,0,1,6,12.05538809162002,1,0,0.0,0.0,1.004753431875431,1.0034324942791761
the,877,0.01,0.08,0,0,0,0,1,6,12.05538809162002,1,0,0.0,0.0,1.004753431875431,1.0034324942791761
all,877,0.01,0.08,0,0,0,0,1,5,13.213594770462386,1,0,0.0,0.0,1.0039596270174798,1.002858776443682
any,877,0.01,0.08,0,0,0,0,1,5,13.213594770462384,1,0,0.0,0.0,1.0039596270174798,1.002858776443682
really,877,0.01,0.08,0,0,0,0,1,5,13.213594770462386,1,0,0.0,0.0,1.0039596270174798,1.002858776443682
getting,877,0.01,0.09,0,0,0,0,2,5,15.647337731454249,2,0,0.0,0.0,1.003630352421847,1.0024766622213754
as,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
always,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
so,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
being,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
without,877,0.0,0.11,0,0,0,0,3,4,23.404050331466298,3,0,0.0,0.0,1.0023738982412855,1.0014273479874394
",",877,0.0,0.06,0,0,0,0,1,3,17.078228995761215,1,0,0.0,0.0,1.0023738982412855,1.001713306681896
gotten,877,0.0,0.06,0,0,0,0,1,3,17.07822899576121,1,0,0.0,0.0,1.0023738982412855,1.001713306681896
only,877,0.0,0.06,0,0,0,0,1,3,17.078228995761215,1,0,0.0,0.0,1.0023738982412855,1.001713306681896
become,877,0.0,0.06,0,0,0,0,1,3,17.07822899576121,1,0,0.0,0.0,1.0023738982412855,1.001713306681896
seriously,877,0.0,0.07,0,0,0,0,2,2,29.614185789921684,2,0,0.0,0.0,1.0012534785500362,1.00076074553062
scarcely,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
or,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
``,877,0.0,0.05,0,0,0,0,1,2,20.928435900079688,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
seemed,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
'',877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
hardly,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
necessarily,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
got,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
barely,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
appear,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
were,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
but,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
do,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
