prev_form_lower,SUM,not,never,none,without,few,no
SUM,122,110,6,2,2,1,1
be,29,25,2,2,0,0,0
's,18,18,0,0,0,0,0
was,13,12,1,0,0,0,0
is,11,10,0,0,1,0,0
look,8,8,0,0,0,0,0
are,6,6,0,0,0,0,0
get,4,4,0,0,0,0,0
looked,3,0,2,0,0,0,1
not,3,2,0,0,1,0,0
were,2,2,0,0,0,0,0
quite,2,2,0,0,0,0,0
looking,2,2,0,0,0,0,0
n't,2,2,0,0,0,0,0
'm,2,2,0,0,0,0,0
lives,1,1,0,0,0,0,0
being,1,1,0,0,0,0,0
am,1,1,0,0,0,0,0
thinking,1,1,0,0,0,0,0
think,1,1,0,0,0,0,0
still,1,0,1,0,0,0,0
results,1,0,0,0,0,1,0
really,1,1,0,0,0,0,0
just,1,1,0,0,0,0,0
expecting,1,1,0,0,0,0,0
necessarily,1,1,0,0,0,0,0
nearly,1,1,0,0,0,0,0
been,1,1,0,0,0,0,0
guy,1,1,0,0,0,0,0
appearing,1,1,0,0,0,0,0
're,1,1,0,0,0,0,0
expect,1,1,0,0,0,0,0
