adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too,7,2.86,6.28,0,0.0,0,1.5,17,20,2.1990528264080726,17,1.5,3.75,-2.25,1.952041776366869,1.4318181818181819
as,7,2.57,5.53,0,0.0,0,1.5,15,18,2.151896474325378,15,1.5,3.75,-2.25,1.9194712195774053,1.4297872340425533
very,7,2.43,4.72,0,0.0,1,1.5,13,17,1.9438484284539184,13,1.5,3.75,-2.25,2.07922422252028,1.5891891891891892
so,7,1.86,2.48,0,0.5,1,2.0,7,13,1.3345655056074979,7,1.5,4.25,-1.75,2.2081790273476245,1.8064516129032258
that,7,1.86,3.67,0,0.0,0,1.5,10,13,1.9766886022777468,10,1.5,3.75,-2.25,1.8194278908842891,1.4215384615384616
particularly,7,0.86,1.21,0,0.0,0,1.5,3,6,1.4174834246858972,3,1.5,3.75,-2.25,1.5746101062584457,1.3770491803278688
much,7,0.71,1.89,0,0.0,0,0.0,5,5,2.6457513110645907,5,0.0,0.0,0.0,1.2917083420907467,1.135135135135135
more,7,0.57,1.13,0,0.0,0,0.5,3,4,1.9843134832984435,3,0.5,1.25,-0.75,1.3459001926323562,1.2173913043478262
politically,7,0.43,0.79,0,0.0,0,0.5,2,3,1.8358568490953673,2,0.5,1.25,-0.75,1.2917083420907467,1.2
any,7,0.43,1.13,0,0.0,0,0.0,3,3,2.6457513110645907,3,0.0,0.0,0.0,1.2190136542044754,1.12
still,7,0.29,0.49,0,0.0,0,0.5,1,2,1.7078251276599334,1,0.5,1.25,-0.75,1.2190136542044754,1.1666666666666667
real,7,0.29,0.49,0,0.0,0,0.5,1,2,1.7078251276599334,1,0.5,1.25,-0.75,1.2190136542044754,1.1666666666666667
quite,7,0.29,0.76,0,0.0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
really,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
technically,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
totally,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
always,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
racially,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
overly,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
necessarily,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
mentally,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
just,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
humanly,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
fairly,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
ever,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
completely,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
physically,7,0.14,0.38,0,0.0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
