bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_much,7,0.71,1.5,0,0,0,0.5,4,5,2.0944370763206672,4,0.5,1.25,-0.75,1.3894954943731375,1.2280701754385965
very_good,7,0.57,1.13,0,0,0,0.5,3,4,1.9843134832984435,3,0.5,1.25,-0.75,1.3459001926323562,1.2173913043478262
particularly_helpful,7,0.43,0.79,0,0,0,0.5,2,3,1.8358568490953673,2,0.5,1.25,-0.75,1.2917083420907467,1.2
so_good,7,0.43,0.79,0,0,0,0.5,2,3,1.8358568490953673,2,0.5,1.25,-0.75,1.2917083420907467,1.2
much_better,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
as_straightforward,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
that_strong,7,0.29,0.49,0,0,0,0.5,1,2,1.7078251276599334,1,0.5,1.25,-0.75,1.2190136542044754,1.1666666666666667
too_serious,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
politically_motivated,7,0.29,0.49,0,0,0,0.5,1,2,1.7078251276599334,1,0.5,1.25,-0.75,1.2190136542044754,1.1666666666666667
that_bad,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
too_happy,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
any_easier,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
as_conservative,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
so_much,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
very_happy,7,0.29,0.76,0,0,0,0.0,2,2,2.645751311064591,2,0.0,0.0,0.0,1.169930812758687,1.105263157894737
so_strict,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_interesting,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_wide,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
very_tough,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_smart,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_serious,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_quick,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_important,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_long,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
still_afraid,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_fast,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_complicated,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_good,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
technically_capable,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
still_good,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
that_big,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
very_ready,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_high,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
