bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_much,2,2.5,3.54,0,1.25,2.5,3.75,5,5,1.4142135623730951,5,2.5,7.5,-2.5,2.449489742783178,1.7142857142857142
very_good,2,2.0,1.41,1,1.5,2.0,2.5,3,4,0.7071067811865476,2,1.0,4.0,0.0,2.82842712474619,2.6666666666666665
particularly_helpful,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
so_good,2,1.5,2.12,0,0.75,1.5,2.25,3,3,1.414213562373095,3,1.5,4.5,-1.5,2.0,1.6
much_better,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
as_straightforward,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
that_strong,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
too_serious,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
politically_motivated,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
that_bad,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
too_happy,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
any_easier,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
as_conservative,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
so_much,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
very_happy,2,1.0,1.41,0,0.5,1.0,1.5,2,2,1.4142135623730951,2,1.0,3.0,-1.0,1.7320508075688774,1.5
so_strict,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_interesting,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_wide,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_tough,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_smart,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_serious,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_quick,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_important,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_long,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
still_afraid,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_fast,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_complicated,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_good,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
technically_capable,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
still_good,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
that_big,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_ready,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_high,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_upset,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_likely,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_great,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_specific,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_fair,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_disappointing,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_different,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_complicated,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
totally_secure,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_unpredictable,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_noticeable,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_trendy,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_tired,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_smart,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_practical,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
too_old,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
very_surprised,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
so_harsh,2,0.5,0.71,0,0.25,0.5,0.75,1,1,1.4142135623730951,1,0.5,1.5,-0.5,1.414213562373095,1.3333333333333333
