prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
be,6,4.83,9.93,0,0,1,2.0,25,29,2.054084414624166,25,2.0,5.0,-3.0,2.4823859788012497,1.6193771626297577
's,6,3.0,7.35,0,0,0,0.0,18,18,2.4494897427831783,18,0.0,0.0,0.0,1.6335243030704945,1.1875
was,6,2.17,4.83,0,0,0,0.75,12,13,2.2310344669904607,12,0.75,1.875,-1.125,1.7211903056917823,1.3109243697478992
is,6,1.83,4.02,0,0,0,0.75,10,11,2.193152378511785,10,0.75,1.875,-1.125,1.6739293087389884,1.306930693069307
look,6,1.33,3.27,0,0,0,0.0,8,8,2.4494897427831783,8,0.0,0.0,0.0,1.4422495703074085,1.173913043478261
are,6,1.0,2.45,0,0,0,0.0,6,6,2.449489742783178,6,0.0,0.0,0.0,1.3830875542684884,1.1666666666666667
get,6,0.67,1.63,0,0,0,0.0,4,4,2.4494897427831783,4,0.0,0.0,0.0,1.3076604860118306,1.1538461538461537
looked,6,0.5,0.84,0,0,0,0.75,2,3,1.6733200530681511,2,0.75,1.875,-1.125,1.3480061545972777,1.2413793103448276
not,6,0.5,0.84,0,0,0,0.75,2,3,1.6733200530681511,2,0.75,1.875,-1.125,1.3480061545972777,1.2413793103448276
were,6,0.33,0.82,0,0,0,0.0,2,2,2.4494897427831783,2,0.0,0.0,0.0,1.2009369551760027,1.125
quite,6,0.33,0.82,0,0,0,0.0,2,2,2.4494897427831783,2,0.0,0.0,0.0,1.2009369551760027,1.125
looking,6,0.33,0.82,0,0,0,0.0,2,2,2.4494897427831783,2,0.0,0.0,0.0,1.2009369551760027,1.125
n't,6,0.33,0.82,0,0,0,0.0,2,2,2.4494897427831783,2,0.0,0.0,0.0,1.2009369551760027,1.125
'm,6,0.33,0.82,0,0,0,0.0,2,2,2.4494897427831783,2,0.0,0.0,0.0,1.2009369551760027,1.125
lives,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
being,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
am,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
thinking,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
think,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
still,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
results,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
really,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
just,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
expecting,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
necessarily,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
nearly,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
been,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
guy,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
appearing,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
're,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
expect,6,0.17,0.41,0,0,0,0.0,1,1,2.4494897427831783,1,0.0,0.0,0.0,1.122462048309373,1.0909090909090908
