adj_form_lower,SUM,no,not,n't,few,without,neither,nothing,barely,hardly,never,rarely
SUM,195,118,30,20,13,4,3,3,1,1,1,1
available,72,69,1,0,2,0,0,0,0,0,0,0
sure,9,8,0,1,0,0,0,0,0,0,0,0
important,8,3,2,1,2,0,0,0,0,0,0,0
difficult,5,0,1,3,1,0,0,0,0,0,0,0
likely,4,0,1,1,0,2,0,0,0,0,0,0
late,3,0,0,3,0,0,0,0,0,0,0,0
good,3,1,1,1,0,0,0,0,0,0,0,0
close,3,1,1,0,0,0,0,1,0,0,0,0
qualified,2,2,0,0,0,0,0,0,0,0,0,0
dangerous,2,0,2,0,0,0,0,0,0,0,0,0
serious,2,0,1,0,1,0,0,0,0,0,0,0
fast,2,0,2,0,0,0,0,0,0,0,0,0
extreme,2,1,0,1,0,0,0,0,0,0,0,0
effective,2,1,1,0,0,0,0,0,0,0,0,0
easy,2,0,1,1,0,0,0,0,0,0,0,0
stupid,2,2,0,0,0,0,0,0,0,0,0,0
deserving,2,2,0,0,0,0,0,0,0,0,0,0
safe,2,1,1,0,0,0,0,0,0,0,0,0
alive,2,0,1,0,1,0,0,0,0,0,0,0
compelling,2,2,0,0,0,0,0,0,0,0,0,0
committed,2,0,1,0,0,0,1,0,0,0,0,0
viable,2,2,0,0,0,0,0,0,0,0,0,0
painful,2,0,1,0,0,0,0,1,0,0,0,0
sad,1,1,0,0,0,0,0,0,0,0,0,0
present,1,0,0,0,0,0,0,0,0,0,0,1
possible,1,1,0,0,0,0,0,0,0,0,0,0
poor,1,0,1,0,0,0,0,0,0,0,0,0
ready,1,0,0,0,0,0,1,0,0,0,0,0
related,1,1,0,0,0,0,0,0,0,0,0,0
responsible,1,1,0,0,0,0,0,0,0,0,0,0
pleased,1,1,0,0,0,0,0,0,0,0,0,0
partisan,1,0,0,0,0,0,0,0,0,1,0,0
beautiful,1,0,1,0,0,0,0,0,0,0,0,0
small,1,1,0,0,0,0,0,0,0,0,0,0
sharp,1,0,0,0,0,0,1,0,0,0,0,0
significant,1,0,1,0,0,0,0,0,0,0,0,0
nice,1,0,1,0,0,0,0,0,0,0,0,0
spectacular,1,1,0,0,0,0,0,0,0,0,0,0
bad,1,0,0,1,0,0,0,0,0,0,0,0
surprised,1,1,0,0,0,0,0,0,0,0,0,0
sustainable,1,0,0,0,0,0,0,1,0,0,0,0
telling,1,0,0,1,0,0,0,0,0,0,0,0
tiny,1,0,1,0,0,0,0,0,0,0,0,0
tough,1,0,0,1,0,0,0,0,0,0,0,0
true,1,1,0,0,0,0,0,0,0,0,0,0
unknown,1,1,0,0,0,0,0,0,0,0,0,0
unsettling,1,0,0,0,1,0,0,0,0,0,0,0
well-known,1,1,0,0,0,0,0,0,0,0,0,0
normal,1,0,1,0,0,0,0,0,0,0,0,0
intense,1,0,0,0,1,0,0,0,0,0,0,0
natural,1,1,0,0,0,0,0,0,0,0,0,0
encouraging,1,0,1,0,0,0,0,0,0,0,0,0
better,1,0,0,1,0,0,0,0,0,0,0,0
boring,1,0,0,1,0,0,0,0,0,0,0,0
brutal,1,0,0,0,0,0,0,0,0,0,1,0
certain,1,1,0,0,0,0,0,0,0,0,0,0
clean,1,0,1,0,0,0,0,0,0,0,0,0
clear,1,0,1,0,0,0,0,0,0,0,0,0
competitive,1,0,0,1,0,0,0,0,0,0,0,0
concerned,1,1,0,0,0,0,0,0,0,0,0,0
conscious,1,0,0,0,1,0,0,0,0,0,0,0
critical,1,0,1,0,0,0,0,0,0,0,0,0
crowded,1,1,0,0,0,0,0,0,0,0,0,0
dominant,1,0,0,1,0,0,0,0,0,0,0,0
dramatic,1,0,1,0,0,0,0,0,0,0,0,0
entrenched,1,1,0,0,0,0,0,0,0,0,0,0
lucky,1,0,0,1,0,0,0,0,0,0,0,0
evident,1,1,0,0,0,0,0,0,0,0,0,0
fragile,1,0,0,0,0,1,0,0,0,0,0,0
free,1,1,0,0,0,0,0,0,0,0,0,0
frustrated,1,1,0,0,0,0,0,0,0,0,0,0
great,1,1,0,0,0,0,0,0,0,0,0,0
heavy,1,0,0,0,1,0,0,0,0,0,0,0
high,1,0,0,0,0,0,0,0,1,0,0,0
high-profile,1,1,0,0,0,0,0,0,0,0,0,0
higher,1,0,0,0,0,1,0,0,0,0,0,0
impressed,1,0,1,0,0,0,0,0,0,0,0,0
beloved,1,1,0,0,0,0,0,0,0,0,0,0
intractable,1,1,0,0,0,0,0,0,0,0,0,0
legal,1,0,0,0,1,0,0,0,0,0,0,0
able,1,0,0,0,1,0,0,0,0,0,0,0
