adv_form_lower,SUM,no,not,n't,few,without,neither,nothing,barely,hardly,never,rarely
SUM,195,118,30,20,13,4,3,3,1,1,1,1
immediately,69,67,0,0,2,0,0,0,0,0,0,0
more,20,11,3,2,2,2,0,0,0,0,0,0
as,15,7,4,0,2,0,0,1,1,0,0,0
very,14,2,6,4,1,1,0,0,0,0,0,0
too,9,3,0,5,1,0,0,0,0,0,0,0
really,6,2,2,0,1,0,0,1,0,0,0,0
quite,6,6,0,0,0,0,0,0,0,0,0,0
that,5,5,0,0,0,0,0,0,0,0,0,0
so,5,0,1,3,1,0,0,0,0,0,0,0
yet,4,3,0,0,0,0,1,0,0,0,0,0
still,3,0,1,0,1,1,0,0,0,0,0,0
just,2,0,0,2,0,0,0,0,0,0,0,0
always,2,0,1,0,0,0,0,0,0,0,0,1
most,2,0,0,0,1,0,0,0,0,1,0,0
also,2,0,2,0,0,0,0,0,0,0,0,0
economically,2,2,0,0,0,0,0,0,0,0,0,0
clearly,2,2,0,0,0,0,0,0,0,0,0,0
completely,2,1,1,0,0,0,0,0,0,0,0,0
virtually,1,1,0,0,0,0,0,0,0,0,0,0
closely,1,1,0,0,0,0,0,0,0,0,0,0
unexpectedly,1,0,0,0,0,0,0,0,0,0,1,0
undeniably,1,0,1,0,0,0,0,0,0,0,0,0
totally,1,1,0,0,0,0,0,0,0,0,0,0
currently,1,0,0,0,1,0,0,0,0,0,0,0
surprisingly,1,0,0,0,0,0,0,1,0,0,0,0
strategically,1,1,0,0,0,0,0,0,0,0,0,0
definitely,1,0,0,1,0,0,0,0,0,0,0,0
desperately,1,0,1,0,0,0,0,0,0,0,0,0
ever,1,1,0,0,0,0,0,0,0,0,0,0
exactly,1,0,1,0,0,0,0,0,0,0,0,0
probably,1,0,1,0,0,0,0,0,0,0,0,0
pretty,1,0,1,0,0,0,0,0,0,0,0,0
practically,1,1,0,0,0,0,0,0,0,0,0,0
politically,1,0,0,1,0,0,0,0,0,0,0,0
particularly,1,0,0,0,0,0,1,0,0,0,0,0
awfully,1,0,1,0,0,0,0,0,0,0,0,0
equally,1,0,1,0,0,0,0,0,0,0,0,0
longer,1,0,1,0,0,0,0,0,0,0,0,0
even,1,1,0,0,0,0,0,0,0,0,0,0
any,1,0,0,1,0,0,0,0,0,0,0,0
genuinely,1,0,0,0,0,0,1,0,0,0,0,0
extremely,1,0,1,0,0,0,0,0,0,0,0,0
entirely,1,0,0,1,0,0,0,0,0,0,0,0
