adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
immediately,81,0.85,7.67,0,0,0,0,69,69,9.0,69,0,0,0,1.0538504568892844,1.0123192287091591
more,81,0.25,0.66,0,0,0,0,4,20,2.681184439757921,4,0,0,0,1.155668035313018,1.1052990675460541
as,81,0.19,0.42,0,0,0,0,2,15,2.2768399153212333,2,0,0,0,1.1329319953277874,1.0970654627539504
very,81,0.17,0.57,0,0,0,0,4,14,3.271631309999866,4,0,0,0,1.1072635478480075,1.0723742277140336
too,81,0.11,0.45,0,0,0,0,3,9,4.02492235949962,3,0,0,0,1.0670601569708853,1.0440386680988185
really,81,0.07,0.31,0,0,0,0,2,6,4.1487950057818,2,0,0,0,1.0489530852151812,1.0340425531914894
quite,81,0.07,0.57,0,0,0,0,5,6,7.630121231015928,5,0,0,0,1.0311532745313334,1.0167364016736402
that,81,0.06,0.29,0,0,0,0,2,5,4.685189430535334,2,0,0,0,1.0400151002025781,1.0274841437632136
so,81,0.06,0.24,0,0,0,0,1,5,3.9230090491866063,1,0,0,0,1.043715416766935,1.0318471337579618
yet,81,0.05,0.27,0,0,0,0,2,4,5.45363983959337,2,0,0,0,1.0311532745313334,1.0210084033613445
still,81,0.04,0.19,0,0,0,0,1,3,5.130789412946121,1,0,0,0,1.0260044847070386,1.0188679245283019
just,81,0.02,0.16,0,0,0,0,1,2,6.324061195149838,1,0,0,0,1.017262041564032,1.0125
always,81,0.02,0.16,0,0,0,0,1,2,6.324061195149838,1,0,0,0,1.017262041564032,1.0125
most,81,0.02,0.16,0,0,0,0,1,2,6.324061195149838,1,0,0,0,1.017262041564032,1.0125
also,81,0.02,0.16,0,0,0,0,1,2,6.324061195149838,1,0,0,0,1.017262041564032,1.0125
economically,81,0.02,0.22,0,0,0,0,2,2,9.000000000000002,2,0,0,0,1.01365551096937,1.008298755186722
clearly,81,0.02,0.22,0,0,0,0,2,2,9.000000000000002,2,0,0,0,1.01365551096937,1.008298755186722
completely,81,0.02,0.16,0,0,0,0,1,2,6.324061195149838,1,0,0,0,1.017262041564032,1.0125
virtually,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
closely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
unexpectedly,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
undeniably,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
totally,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
currently,81,0.01,0.11,0,0,0,0,1,1,9.0,1,0,0,0,1.008594091576999,1.0062111801242235
surprisingly,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
strategically,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
definitely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
desperately,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
ever,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
exactly,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
probably,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
pretty,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
practically,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
politically,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
particularly,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
awfully,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
equally,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
longer,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
even,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
any,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
genuinely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
extremely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
entirely,81,0.01,0.11,0,0,0,0,1,1,9.000000000000002,1,0,0,0,1.008594091576999,1.0062111801242235
