bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
immediately_available,30,2.3,9.35,0,0,0,0,47,69,4.064453663958741,47,0,0,0,1.263084199682129,1.0689733079430654
quite_sure,30,0.17,0.75,0,0,0,0,4,5,4.479839898617069,4,0,0,0,1.0797751623277096,1.0452961672473868
more_likely,30,0.13,0.43,0,0,0,0,2,4,3.256293640914786,2,0,0,0,1.086357352941934,1.0588235294117647
very_difficult,30,0.13,0.57,0,0,0,0,3,4,4.285098477925242,3,0,0,0,1.0717734625362931,1.0434782608695652
too_late,30,0.1,0.4,0,0,0,0,2,3,4.025778999364487,2,0,0,0,1.0615449167090512,1.0404624277456647
more_important,30,0.1,0.31,0,0,0,0,1,3,3.0512857662936463,1,0,0,0,1.0717734625362931,1.0526315789473684
more_qualified,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
really_sure,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
very_fast,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
too_extreme,30,0.07,0.25,0,0,0,0,1,2,3.8056219755369374,1,0,0,0,1.0472941228206267,1.0344827586206897
economically_viable,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
as_compelling,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
yet_available,30,0.07,0.25,0,0,0,0,1,2,3.8056219755369374,1,0,0,0,1.0472941228206267,1.0344827586206897
that_stupid,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
clearly_deserving,30,0.07,0.37,0,0,0,0,2,2,5.47722557505166,2,0,0,0,1.0372991973029506,1.0227272727272727
so_good,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
still_alive,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
still_higher,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
so_sure,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
so_impressed,30,0.03,0.18,0,0,0,0,1,1,5.47722557505166,1,0,0,0,1.023373891996775,1.0169491525423728
