prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
were,104,0.48,4.61,0,0,0,0,47,50,9.5865990608452,47,0,0.0,0.0,1.0588863226979803,1.024420274984609
is,104,0.38,0.64,0,0,0,1,4,40,1.67239146251214,4,1,2.5,-1.5,1.280323020325427,1.2064965197215778
was,104,0.32,2.17,0,0,0,0,22,33,6.835347617500819,22,0,0.0,0.0,1.109004345708111,1.0661912190773346
are,104,0.14,0.38,0,0,0,0,2,15,2.631417516197747,2,0,0.0,0.0,1.1020884572749106,1.0740103270223753
be,104,0.12,0.46,0,0,0,0,3,13,3.644386559910769,3,0,0.0,0.0,1.07728735512399,1.0513900589721987
longer,104,0.07,0.32,0,0,0,0,2,7,4.750147297310497,2,0,0.0,0.0,1.0419790000299023,1.028006589785832
's,104,0.07,0.25,0,0,0,0,1,7,3.7405451774691794,1,0,0.0,0.0,1.0477595652992007,1.0348258706467661
not,104,0.03,0.17,0,0,0,0,1,3,5.830396856826353,1,0,0.0,0.0,1.0201958617729396,1.0146341463414634
all,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
become,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
been,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
the,104,0.02,0.14,0,0,0,0,1,2,7.176011819323318,1,0,0.0,0.0,1.0134189906987003,1.0097087378640777
so,104,0.02,0.2,0,0,0,0,2,2,10.198039027185569,2,0,0.0,0.0,1.0106195712902917,1.0064516129032257
seemed,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
room,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
this,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
really,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
times,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
remains,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
'm,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
quite,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
or,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
no,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
much,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
more,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
half,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
did,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
also,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
",",104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
n't,104,0.01,0.1,0,0,0,0,1,1,10.198039027185569,1,0,0.0,0.0,1.0066871364523837,1.0048309178743962
