key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected,adv,adj,adv_total,adj_total,lexical
NEG-as_bad,0,NEGATIVE,as_bad,4,1.0149254,2,2,1,2,2,1,2,1,2,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536,4,132,0,400,136,400,4,532,12.716418,2.985075,30.208956,2.963044,1.492537,2695.3684,5.001685,0.029412,0.75188,0.057143,13.522531,0.0,0.595626,2.382504,29411.764706,0.0,7462.6865,as,bad,45.0,7.0,False
NEG-more_toxic,1,NEGATIVE,more_toxic,4,1.0149254,2,2,1,2,2,1,2,1,2,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536,4,132,0,400,136,400,4,532,12.716418,2.985075,30.208956,2.963044,1.492537,2695.3684,5.001685,0.029412,0.75188,0.057143,13.522531,0.0,0.595626,2.382504,29411.764706,0.0,7462.6865,more,toxic,89.0,4.0,False
NEG-immediately_available,2,NEGATIVE,immediately_available,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.015,immediately,available,4.0,6.0,False
NEG-as_popular,3,NEGATIVE,as_popular,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.015,as,popular,45.0,3.0,False
NEG-more_effective,4,NEGATIVE,more_effective,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.015,more,effective,89.0,4.0,False
NEG-particularly_exciting,5,NEGATIVE,particularly_exciting,3,0.761194,4,4,3,7,4,3,7,1,7,1,5,7,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.015,particularly,exciting,5.0,4.0,False
NEG-too_late,6,NEGATIVE,too_late,8,2.2835822,1,1,7,1,1,7,1,19,1,7,1,1,16.580656,16.580656,1.2459413,0.11034483,2.0210588,0.6460046,0.05632353,0.8888889,0.05882353,0.6351575,0.042032484,5.716418,136,9,536,8,128,1,399,136,400,9,527,11.447761,6.716418,26.477612,3.78282,2.021275,2798.9985,8.626304,0.058824,0.646005,0.110345,4.555125,0.0,0.544473,4.355787,58823.529412,2500.0,16791.045,too,late,58.0,9.0,False
NEG-as_good,7,NEGATIVE,as_good,4,1.5223881,10,10,10,4,8,8,4,21,2,8,4,4,4.565761,4.565761,0.7334849,0.056338027,1.238806,0.41761005,0.024411766,0.6666667,0.029411765,0.41293532,0.018217735,2.477612,136,6,536,4,132,2,398,136,400,6,530,12.208955,4.477612,28.716417,2.008032,1.238806,2725.6616,2.772889,0.029412,0.41761,0.056338,2.556026,0.0,0.419535,1.678138,29411.764706,5000.0,11194.03,as,good,45.0,21.0,False
POS-very_important,8,POSITIVE,very_important,9,6.716418,8,8,8,5,9,9,5,1,5,9,10,5,5.3201165,5.3201165,0.8211545,0.04400978,0.761194,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536,9,391,0,136,400,136,9,527,26.477612,2.283582,11.447761,0.881146,0.761194,2783.8933,0.700889,0.0225,0.258065,0.04401,11.579483,0.0,0.127105,1.143943,22500.0,0.0,16791.045,very,important,86.0,24.0,False
POS-very_good,9,POSITIVE,very_good,9,6.716418,8,8,8,5,9,9,5,1,5,9,10,5,5.3201165,5.3201165,0.8211545,0.04400978,0.761194,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536,9,391,0,136,400,136,9,527,26.477612,2.283582,11.447761,0.881146,0.761194,2783.8933,0.700889,0.0225,0.258065,0.04401,11.579483,0.0,0.127105,1.143943,22500.0,0.0,16791.045,very,good,86.0,21.0,True
