key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
NEG-longer,0,NEGATIVE,longer,3,0.761194,3,5,1,14,4,1,8,1,14,1,7,8,8.278722,8.278722,1.3222193,0.04316547,1.2925752,0.750469,0.02205882,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-that,1,NEGATIVE,that,3,0.761194,3,5,1,14,4,1,8,1,14,1,7,8,8.278722,8.278722,1.3222193,0.04316547,1.2925752,0.750469,0.02205882,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536
NEG-particularly,2,NEGATIVE,particularly,4,1.2686567,5,7,4,11,3,3,7,22,11,3,6,7,6.6276817,6.6276817,0.95642215,0.05673759,1.3656716,0.5514124,0.02691176,0.8,0.029411765,0.54626864,0.020083405,2.7313433,136,5,536
NEG-immediately,3,NEGATIVE,immediately,3,1.0149254,7,9,5,16,7,4,11,25,14,4,9,11,4.354779,4.354779,0.8440123,0.04285714,1.1460834,0.5,0.01955882,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536
NEG-more,4,NEGATIVE,more,47,22.58209,1,1,10,1,1,5,1,29,1,5,1,1,37.83041,37.83041,0.6509708,0.41777778,3.5617182,0.32898474,0.24058823,0.5280899,0.34558824,0.27435854,0.17954347,24.41791,136,89,536
POS-very,5,POSITIVE,very,83,64.17911,2,3,3,2,2,6,2,19,2,23,2,2,34.803303,34.803303,1.001356,0.3415638,2.0658617,0.26067182,0.18544118,0.96511626,0.2075,0.21884762,0.047052238,18.820896,400,86,536
POS-extremely,6,POSITIVE,extremely,8,5.9701495,6,8,6,17,10,7,10,1,18,6,12,10,4.7237897,4.7237897,0.7717419,0.03921569,0.7176606,0.25757575,0.02,1.0,0.02,0.25373134,0.005074627,2.0298507,400,8,536
POS-still,7,POSITIVE,still,7,5.223881,8,10,7,18,11,8,12,1,19,6,13,12,4.128777,4.128777,0.71627915,0.03439803,0.67131,0.25708884,0.0175,1.0,0.0175,0.25373134,0.004440299,1.7761194,400,7,536
POS-much,8,POSITIVE,much,6,4.477612,9,11,8,20,12,9,13,1,21,6,14,13,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536
POS-pretty,9,POSITIVE,pretty,6,4.477612,9,11,8,20,12,9,13,1,21,6,14,13,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536
POS-highly,10,POSITIVE,highly,5,3.7313433,12,15,11,24,15,11,15,1,24,6,16,15,2.9426706,2.9426706,0.57937884,0.02469136,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536
POS-equally,11,POSITIVE,equally,5,3.7313433,12,15,11,24,15,11,15,1,24,6,16,15,2.9426706,2.9426706,0.57937884,0.02469136,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536
POS-most,12,POSITIVE,most,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
POS-just,13,POSITIVE,just,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
POS-dangerously,14,POSITIVE,dangerously,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
POS-simply,15,POSITIVE,simply,4,2.9850745,15,19,13,27,17,13,17,1,27,6,18,17,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536
