      l1  l2             f    E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ------------  --  -----  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  toxic          4   1.01                 2                    2                  1       4          2            1            2                   1                   4                   1                   2              2              11.06                 11.06                1.43    0.057        1.49          0.75         0.029                 1.00                0.029                 0.75                0.022            2.99  136   4  536  
NEGATIVE  popular        3   0.76                 3                    3                  2       9          3            2            4                   1                   9                   1                   3              4               8.28                  8.28                1.32    0.043        1.29          0.75         0.022                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  late           8   2.28                 1                    1                  3       1          1            3            1                  24                   1                   3                   1              1              16.58                 16.58                1.25    0.110        2.02          0.65         0.056                 0.89                0.059                 0.64                0.042            5.72  136   9  536  
NEGATIVE  exciting       3   1.01                 5                    5                  4      10          4            4            7                  32                   9                   4                   5              7               4.35                  4.35                0.84    0.043        1.15          0.50         0.020                 0.75                0.022                 0.50                0.015            1.99  136   4  536  
NEGATIVE  effective      3   1.01                 5                    5                  4      10          4            4            7                  32                   9                   4                   5              7               4.35                  4.35                0.84    0.043        1.15          0.50         0.020                 0.75                0.022                 0.50                0.015            1.99  136   4  536  
NEGATIVE  serious        3   1.27                13                   14                  9      12          7            6            9                  38                   9                   6                   7              9               2.70                  2.70                0.62    0.043        1.00          0.35         0.017                 0.60                0.022                 0.35                0.013            1.73  136   5  536  
NEGATIVE  bad            4   1.78                 9                    9                 10       5          6            7            5                  41                   4                   7                   4              5               3.22                  3.22                0.59    0.056        1.11          0.32         0.022                 0.57                0.029                 0.32                0.016            2.22  136   7  536  
POSITIVE  young          9   6.72                 4                    4                  6       8         10            8            3                   1                   8                   8                  10              3               5.32                  5.32                0.82    0.044        0.76          0.26         0.022                 1.00                0.022                 0.25                0.006            2.28  400   9  536  
POSITIVE  excited        6   4.48                 7                    7                  7      17         11            9           10                   1                  17                   8                  12             10               3.54                  3.54                0.65    0.030        0.62          0.26         0.015                 1.00                0.015                 0.25                0.004            1.52  400   6  536  
