      l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff   f1  f2    N  
--------  ---------------------  --  ---------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  ---  --  ---  
NEGATIVE  as_bad                  4  1.0149254                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2  136   4  536  
NEGATIVE  more_toxic              4  1.0149254                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2  136   4  536  
NEGATIVE  immediately_available   3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7  136   3  536  
NEGATIVE  as_popular              3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7  136   3  536  
NEGATIVE  more_effective          3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7  136   3  536  
NEGATIVE  particularly_exciting   3  0.7611940                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7  136   3  536  
NEGATIVE  too_late                8  2.2835821                 1                    1                  7       1          1            7            1                  19                   1                   7                   1              1  136   9  536  
NEGATIVE  as_good                 4  1.5223881                10                   10                 10       4          8            8            4                  21                   2                   8                   4              4  136   6  536  
POSITIVE  very_important          9  6.7164179                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5  400   9  536  
POSITIVE  very_good               9  6.7164179                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5  400   9  536  
POSITIVE  too_familiar            5  3.7313433                11                   11                 11      12         12           11           11                   1                  12                   9                  12             11  400   5  536  
POSITIVE  as_young                4  2.9850746                12                   12                 12      13         13           12           13                   1                  13                   9                  13             13  400   4  536  
POSITIVE  still_alive             4  2.9850746                12                   12                 12      13         13           12           13                   1                  13                   9                  13             13  400   4  536  
POSITIVE  too_afraid              3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  very_special            3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  less_good               3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  as_mundane              3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  too_young               3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  so_strong               3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
POSITIVE  as_divisive             3  2.2388060                14                   14                 14      17         15           14           15                   1                  17                   9                  15             15  400   3  536  
NEGATIVE  more_important          3  1.7761194                21                   21                 21      11         11           21           12                  23                   7                  21                   9             12  136   7  536  
POSITIVE  all_right               4  3.7313433                22                   23                 22      15         22           22           22                  20                  13                  22                  22             22  400   5  536  
POSITIVE  more_important          4  5.2238806                23                   21                 23      16         23           23           23                  22                  13                  23                  23             23  400   7  536  
