      l1  l2                      f   E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
--------  ---------------------  --  ----  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
NEGATIVE  as_bad                  4  1.01                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2              11.06                 11.06                1.43    0.057        1.49          0.75         0.029                 1.00                0.029                 0.75                0.022            2.99  136   4  536  
NEGATIVE  more_toxic              4  1.01                 2                    2                  1       2          2            1            2                   1                   2                   1                   2              2              11.06                 11.06                1.43    0.057        1.49          0.75         0.029                 1.00                0.029                 0.75                0.022            2.99  136   4  536  
NEGATIVE  immediately_available   3  0.76                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7               8.28                  8.28                1.32    0.043        1.29          0.75         0.022                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  as_popular              3  0.76                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7               8.28                  8.28                1.32    0.043        1.29          0.75         0.022                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  more_effective          3  0.76                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7               8.28                  8.28                1.32    0.043        1.29          0.75         0.022                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  particularly_exciting   3  0.76                 4                    4                  3       7          4            3            7                   1                   7                   1                   5              7               8.28                  8.28                1.32    0.043        1.29          0.75         0.022                 1.00                0.022                 0.75                0.016            2.24  136   3  536  
NEGATIVE  too_late                8  2.28                 1                    1                  7       1          1            7            1                  19                   1                   7                   1              1              16.58                 16.58                1.25    0.110        2.02          0.65         0.056                 0.89                0.059                 0.64                0.042            5.72  136   9  536  
NEGATIVE  as_good                 4  1.52                10                   10                 10       4          8            8            4                  21                   2                   8                   4              4               4.57                  4.57                0.73    0.056        1.24          0.42         0.024                 0.67                0.029                 0.41                0.018            2.48  136   6  536  
POSITIVE  very_important          9  6.72                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5               5.32                  5.32                0.82    0.044        0.76          0.26         0.022                 1.00                0.022                 0.25                0.006            2.28  400   9  536  
POSITIVE  very_good               9  6.72                 8                    8                  8       5          9            9            5                   1                   5                   9                  10              5               5.32                  5.32                0.82    0.044        0.76          0.26         0.022                 1.00                0.022                 0.25                0.006            2.28  400   9  536  
POSITIVE  too_familiar            5  3.73                11                   11                 11      12         12           11           11                   1                  12                   9                  12             11               2.94                  2.94                0.58    0.025        0.57          0.26         0.013                 1.00                0.013                 0.25                0.003            1.27  400   5  536  
POSITIVE  as_young                4  2.99                12                   12                 12      13         13           12           13                   1                  13                   9                  13             13               2.35                  2.35                0.49    0.020        0.51          0.26         0.010                 1.00                0.010                 0.25                0.003            1.01  400   4  536  
