        l1  l2                      f         E11  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc     am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
----------  ---------------------  --  ----------  -----------------  --------------------  ------------------  ----------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
   someone  as_divisive             3  0.12873134         19.2845395            19.2845395           2.2438846  0.23076923  1.65772773    0.96247655   0.130434783           1.00000000          0.130434783           0.95708955          0.124837768       2.8712687   23   3  536  
        no  more_toxic              4  0.17910448         25.5258551            25.5258551           2.3521825  0.28571429  1.91044776    0.96240602   0.166666667           1.00000000          0.166666667           0.95522388          0.159203980       3.8208955   24   4  536  
        no  more_effective          3  0.13432836         19.0113410            19.0113410           2.2223534  0.22222222  1.65449629    0.96060038   0.125000000           1.00000000          0.125000000           0.95522388          0.119402985       2.8656716   24   3  536  
   nothing  particularly_exciting   3  0.14552239         18.4996965            18.4996965           2.1820259  0.20689655  1.64803342    0.95684803   0.115384615           1.00000000          0.115384615           0.95149254          0.109787600       2.8544776   26   3  536  
       all  too_familiar            5  0.35447761         27.1075050            27.1075050           2.2140130  0.23255814  2.07754077    0.93785311   0.131578947           1.00000000          0.131578947           0.92910448          0.122250589       4.6455224   38   5  536  
     never  as_popular              3  0.25746269         14.9161840            14.9161840           1.8972478  0.12244898  1.58340466    0.91932458   0.065217391           1.00000000          0.065217391           0.91417910          0.059620376       2.7425373   46   3  536  
      some  less_good               3  0.29104478         14.1570250            14.1570250           1.8357866  0.10909091  1.56401603    0.90806754   0.057692308           1.00000000          0.057692308           0.90298507          0.052095293       2.7089552   52   3  536  
     never  too_late                8  0.77238806         34.5182359            34.5182359           1.8576196  0.29090909  2.55534671    0.81678263   0.171872227           0.88888889          0.173913043           0.80306799          0.157121999       7.2276119   46   9  536  
 something  as_mundane              3  0.58768657          9.8507629             9.8507629           1.4693550  0.05555556  1.39274981    0.80863039   0.028571429           1.00000000          0.028571429           0.80410448          0.022974414       2.4123134  105   3  536  
 something  very_special            3  0.58768657          9.8507629             9.8507629           1.4693550  0.05555556  1.39274981    0.80863039   0.028571429           1.00000000          0.028571429           0.80410448          0.022974414       2.4123134  105   3  536  
everything  all_right               4  0.18656716         22.1938037            22.1938037           1.9718660  0.32000000  1.90671642    0.76986817   0.198062016           0.80000000          0.200000000           0.76268657          0.190671642       3.8134328   20   5  536  
     never  as_bad                  3  0.34328358         10.5858997            10.5858997           1.4192402  0.12000000  1.53385594    0.66917293   0.063176575           0.75000000          0.065217391           0.66417910          0.057754705       2.6567164   46   4  536  
      some  as_young                3  0.38805970          9.8514071             9.8514071           1.3577681  0.10714286  1.50800443    0.65789474   0.055626192           0.75000000          0.057692308           0.65298507          0.050229621       2.6119403   52   4  536  
      some  still_alive             3  0.38805970          9.8514071             9.8514071           1.3577681  0.10714286  1.50800443    0.65789474   0.055626192           0.75000000          0.057692308           0.65298507          0.050229621       2.6119403   52   4  536  
      some  very_good               5  0.87313433         12.1581320            12.1581320           1.0921500  0.16393443  1.84559044    0.46637149   0.087889383           0.55555556          0.096153846           0.45854063          0.079362801       4.1268657   52   9  536  
    always  very_good               3  0.62126866          5.6109397             5.6109397           0.8866227  0.13043478  1.37336118    0.26881720   0.069057033           0.33333333          0.081081081           0.26430348          0.064290036       2.3787313   37   9  536  
    always  very_important          3  0.62126866          5.6109397             5.6109397           0.8866227  0.13043478  1.37336118    0.26881720   0.069057033           0.33333333          0.081081081           0.26430348          0.064290036       2.3787313   37   9  536  
 something  very_important          4  1.76305970          2.9169543             2.9169543           0.5363028  0.07017544  1.11847015    0.25279359   0.026494310           0.44444444          0.038095238           0.24854892          0.021304193       2.2369403  105   9  536  
