colloc,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_det-of-subj,neither_subj,never_VP-adv,no-one_subj,no_det-of-subj-N,nobody_subj,none_subj,not-a-single_det-of-subj,not-one_det-of-subj,not-one_subj,not_VP-adv,nothing_subj,without-being_PP
dully_accurate,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
suddenly_7-5,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
equally_rampant,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
utterly_isolated,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
fairly_thin,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
too_remarkable,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
quite_chic,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
quite_overwhelming,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
unseasonably_warm,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
often_fit,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
universally_well-liked,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
usually_surprising,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
scientifically_true,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
as_diligent,2.5786,-0.4835,-0.4835,-0.4835,1.0476,1.0476,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,-0.4835,2.5786,-0.4835,-0.4835
already_plentiful,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
just_dietary,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
