colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
always_such,-0.3922,2.5495,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,2.5495,-0.3922
chillingly_persuasive,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
fairly_snappy,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
immensely_successful,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
positively_true,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
all_horrible,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,1.4771,3.3235,-0.3693
emotionally_evocative,-0.3922,2.5495,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922,2.5495,-0.3922,-0.3922,-0.3922,-0.3922,-0.3922
about_useless,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
really_putted,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
completely_brilliant,-0.2673,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
almost_white,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
only_make-up,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
fundamentally_inexplicable,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
overtly_warlike,-0.3693,1.4771,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,-0.3693,3.3235,-0.3693
really_pro-obama,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
too_dilute,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
as_hardline,-0.3455,0.9503,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,-0.3455,3.5419,-0.3455
