colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
13-8_overall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abnormally_calm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
about_hazing,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
about_speed-skating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
about_trick-or-treating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
about_white-bashing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
absolutely_shocked,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0
absolutely_villainous,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
academically_clever,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
actively_disappointed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
actually_accurate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
actually_bone-dry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
again_alive,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
again_phenomenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
all_alive,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
all_political,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
all_rational,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
all_short-term,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
almost_abject,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
almost_busy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
almost_destitute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
almost_jubilant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
almost_slight,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
already_broad,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
already_fourth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
already_ingrained,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
also_deficient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
also_horrible,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
also_jewish,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
also_lower-yielding,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
also_stumped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
also_temperature-sensitive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
always_energetic,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
always_furious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
always_mindful,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
always_modest,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
always_olga,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
always_secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amazingly_strong,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
apparently_alluring,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arbitrarily_insolent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
as_adorable,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
as_advertised,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0
as_carefree,0,3,0,0,0,0,0,0,0,1,0,0,0,7,0
as_coherent,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0
as_cold-hardy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
as_communicative,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_comparable,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
as_consistent,0,29,0,0,0,2,0,0,0,3,0,3,0,144,0
as_crazed,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
as_delicious,0,5,0,0,0,0,0,0,1,0,0,0,0,6,0
as_difficult,0,103,0,0,0,3,0,0,0,1,0,2,0,223,0
as_earnest,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0
as_encouraging,0,5,1,0,0,0,0,0,0,0,0,0,0,26,0
as_enhanced,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
as_false,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
as_impious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_lame,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0
as_likley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_marketable,0,7,0,0,0,0,0,0,0,1,0,0,0,7,0
as_materialistic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
as_moldy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_nba-ready,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_niched,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
as_oppressive,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
as_painstaking,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
as_pious,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_plain-spoken,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_reticent,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0
as_rickety,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_slavish,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_swinish,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_thorough-going,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
as_tiny,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
as_unspectacular,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
astonishingly_unprepared,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
awfully_vulnerable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
baldly_self-serving,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
basically_unenforceable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
because_african,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bit_muted,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
blindingly_obvious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bone-freezing_cold,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
breathtakingly_successful,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
brutally_efficient,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly_awed,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly_inconsequential,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly_open,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly_racist,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
clearly_receptive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clearly_separated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cloying_sweet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
completely_fair,0,3,0,0,0,0,0,0,1,0,0,0,0,14,0
completely_foolhardy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
completely_handwritten,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
completely_incongruous,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
completely_opaque,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
completely_ordinary,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
completely_outlandish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
completely_snubbed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
completely_untested,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
completely_withdrawing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
consistently_acclaimed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
consistently_top-notch,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
conspicuously_hostile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
constantly_boring,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
constantly_tortured,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
continually_interested,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
crazily_perfunctory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
currently_favorable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
currently_infested,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
currently_off-limits,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
damn_complicated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dangerously_silent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
decidedly_punchy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deeply_serious,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
defiantly_strong,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
definitely_refreshing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deliberately_vague,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
desperately_busy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disarmingly_modest,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
doubly_wrong,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
downright_brutish,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
downright_muddled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dramatically_accented,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drop-dead_beautiful,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
easily_accessible,0,72,0,0,0,1,1,0,0,2,0,1,0,60,0
easily_dug,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
easily_molded,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ecologically_minded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eerily_straightforward,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
egregiously_expensive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
enchantingly_deep,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
enormously_capable,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
entirely_reliable,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0
entirely_routine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
entirely_surprisng,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
entirely_traditional,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
entirely_uncommon,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0
environmentally_damaging,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
environmentally_dead,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
environmentally_sophisticated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_flagrant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_idle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_indelible,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_inept,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_low-key,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_unpleasant,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
equally_welcoming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
especially_attentive,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
essentially_bestial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
essentially_empty,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
essentially_fresh,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
essentially_irreversible,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
essentially_song-driven,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
essentially_unguarded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
even_bad,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
even_dissatisfied,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
even_foolish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
even_literate,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
