adj,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
by_context_sum,260417,238598,7302,4818,1902,1817,1785,1492,689,681,589,379,323,33,5,4
clear,21110,20887,166,16,5,6,6,16,4,1,1,0,2,0,0,0
available,16882,13986,9,2345,44,315,95,1,50,9,1,12,14,1,0,0
good,11455,10641,456,61,72,30,29,85,25,19,8,18,9,2,0,0
sure,10129,8976,308,0,15,616,4,3,188,0,6,7,6,0,0,0
bad,9202,8919,156,28,19,10,11,45,4,1,0,7,1,1,0,0
easy,5498,5300,89,18,14,0,10,56,1,2,0,5,3,0,0,0
different,3825,3768,11,8,4,1,7,19,2,2,1,1,1,0,0,0
much,3267,3185,37,19,4,2,2,16,0,0,2,0,0,0,0,0
happy,2918,2645,143,10,20,40,6,0,35,7,0,1,11,0,0,0
strong,2869,2736,87,15,11,1,7,1,0,2,2,3,3,1,0,0
ready,2772,2680,19,7,10,24,3,1,13,1,2,7,4,1,0,0
important,2647,2374,67,50,54,5,41,49,0,3,0,4,0,0,0,0
concerned,2491,2401,51,1,0,18,3,2,6,0,4,2,3,0,0,0
big,2349,2145,62,73,29,4,8,8,10,2,5,2,1,0,0,0
simple,2253,2008,110,4,6,0,5,117,0,1,1,0,0,1,0,0
high,2095,1964,82,40,3,0,1,1,0,1,1,2,0,0,0,0
great,2046,1904,51,67,10,1,2,7,1,0,1,1,1,0,0,0
interested,2008,1832,80,6,7,38,8,1,25,2,0,3,6,0,0,0
close,1986,1684,149,36,36,36,9,11,15,1,0,5,3,1,0,0
worried,1937,1870,26,0,3,15,2,0,13,4,0,3,1,0,0,0
hard,1776,1714,21,7,4,2,10,10,3,1,3,0,0,1,0,0
late,1757,1207,540,0,1,1,1,4,2,1,0,0,0,0,0,0
lucky,1546,1516,5,1,2,4,11,0,1,6,0,0,0,0,0,0
successful,1496,1331,51,27,30,4,20,3,5,8,0,11,6,0,0,0
possible,1461,1414,9,22,1,0,11,3,0,0,0,0,0,1,0,0
popular,1340,1164,128,9,14,2,7,2,0,1,0,7,6,0,0,0
difficult,1306,1203,14,14,25,0,32,12,0,3,2,1,0,0,0,0
effective,1303,1203,29,14,20,0,7,10,0,3,0,10,6,1,0,0
aware,1271,1168,19,4,2,20,35,0,4,8,10,1,0,0,0,0
surprising,1173,1131,1,0,27,0,1,9,0,2,1,1,0,0,0,0
comfortable,1122,980,113,4,5,9,2,0,4,0,2,2,1,0,0,0
true,1071,1031,11,5,6,0,2,5,0,1,0,8,1,1,0,0
long,1054,1007,20,7,7,0,6,1,2,0,0,2,1,1,0,0
right,1054,963,47,2,9,6,4,10,3,1,0,4,5,0,0,0
certain,1052,893,30,5,1,69,4,28,14,0,4,2,2,0,0,0
able,1022,910,55,13,5,14,7,2,4,2,4,5,1,0,0,0
serious,1013,950,24,4,10,1,4,10,0,2,6,0,2,0,0,0
enough,937,909,14,5,0,0,4,3,0,0,1,1,0,0,0,0
optimistic,921,881,16,0,2,7,8,0,1,3,2,1,0,0,0,0
funny,891,825,27,2,11,2,4,8,2,5,2,0,1,1,1,0
sharp,874,843,15,1,4,0,0,0,0,0,1,4,6,0,0,0
large,787,705,14,27,21,0,7,4,0,5,1,2,1,0,0,0
surprised,769,679,6,3,2,52,2,0,15,9,0,1,0,0,0,0
accurate,739,696,18,2,8,0,1,0,0,1,0,2,10,1,0,0
fortunate,737,724,3,2,0,1,4,0,0,1,1,1,0,0,0,0
severe,720,694,8,4,11,0,3,0,0,0,0,0,0,0,0,0
tough,713,654,12,10,6,1,22,4,0,1,2,1,0,0,0,0
significant,713,679,6,6,10,2,0,1,0,3,2,1,2,1,0,0
prepared,698,646,16,4,2,13,5,0,3,3,1,5,0,0,0,0
quick,693,670,8,5,1,2,0,0,2,0,1,3,1,0,0,0
new,691,644,1,1,20,0,2,11,0,6,0,3,2,1,0,0
fast,682,645,17,1,5,1,2,3,1,3,0,4,0,0,0,0
confident,670,622,21,6,3,8,3,0,3,1,2,0,1,0,0,0
safe,663,530,38,55,4,12,6,13,4,1,0,0,0,0,0,0
convinced,656,628,16,1,1,5,0,0,1,2,2,0,0,0,0,0
old,653,508,107,7,8,8,1,1,5,4,1,1,2,0,0,0
interesting,637,580,14,1,21,0,7,9,0,2,2,0,0,1,0,0
smart,636,599,18,2,6,2,1,1,6,0,1,0,0,0,0,0
early,624,370,252,0,0,0,2,0,0,0,0,0,0,0,0,0
binding,617,610,1,2,2,0,0,1,0,0,0,1,0,0,0,0
apparent,616,571,13,22,6,0,1,2,0,0,0,1,0,0,0,0
hot,615,575,20,1,3,2,5,3,2,0,2,0,2,0,0,0
unusual,596,579,0,1,10,0,0,3,0,2,1,0,0,0,0,0
necessary,594,543,36,6,6,0,1,0,0,0,0,1,1,0,0,0
excited,575,506,51,2,1,4,0,0,6,2,1,2,0,0,0,0
pleased,572,543,7,3,0,8,1,0,3,1,0,0,6,0,0,0
obvious,568,541,11,4,0,0,0,2,0,2,8,0,0,0,0,0
aggressive,551,500,14,10,3,2,6,0,2,2,9,1,2,0,0,0
complete,541,515,8,13,2,0,1,0,0,1,0,0,1,0,0,0
dramatic,536,494,8,4,9,0,5,5,0,2,6,1,2,0,0,0
likely,532,478,2,8,8,5,7,5,2,7,0,6,4,0,0,0
impressive,529,493,4,3,16,2,0,3,0,1,0,6,1,0,0,0
expensive,525,499,6,3,5,0,4,3,0,1,2,2,0,0,0,0
