adv,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
by_context_sum,260417,238598,7302,4818,1902,1817,1785,1492,689,681,589,379,323,33,5,4
as,55538,51281,1416,510,668,114,621,420,72,275,18,86,41,14,1,1
immediately,31911,29141,1,2264,44,316,66,3,49,1,0,13,13,0,0,0
so,29857,27890,1132,281,125,52,143,119,19,49,30,9,7,1,0,0
that,17707,16891,484,54,40,66,15,85,50,5,2,10,5,0,0,0
too,15534,12848,1337,725,41,80,45,205,35,7,196,10,5,0,0,0
very,13729,12865,388,39,108,40,122,27,30,19,14,40,34,2,0,1
yet,8540,8359,0,110,19,22,5,8,7,1,1,4,4,0,0,0
really,6786,5826,416,36,53,164,40,96,117,15,6,9,8,0,0,0
always,5948,5886,48,1,2,1,3,2,1,0,0,4,0,0,0,0
quite,5842,4747,403,8,20,455,17,23,130,11,8,8,12,0,0,0
even,5244,5012,18,30,35,52,37,7,25,17,5,3,1,2,0,0
entirely,4521,4235,124,31,20,37,12,5,5,8,6,14,21,3,0,0
particularly,4327,3776,171,8,143,45,31,20,14,8,12,42,56,1,0,0
only,3808,3799,7,2,0,0,0,0,0,0,0,0,0,0,0,0
exactly,3191,3051,36,0,27,52,1,1,12,0,1,5,4,1,0,0
just,3025,2966,25,4,2,2,8,7,1,7,1,2,0,0,0,0
necessarily,2646,2628,0,2,6,3,0,2,0,0,1,2,2,0,0,0
completely,2444,2098,136,76,17,38,13,16,13,8,11,3,13,2,0,0
much,1881,1810,33,3,5,7,2,3,6,2,1,3,6,0,0,0
all,1856,1811,10,14,0,5,5,5,2,0,3,0,0,1,0,0
overly,1741,1633,26,3,3,15,3,0,3,0,48,4,3,0,0,0
fully,1733,1562,103,13,18,3,3,0,3,5,9,7,6,0,1,0
terribly,1437,1317,40,1,32,13,1,7,6,5,7,5,3,0,0,0
totally,1429,1296,48,23,14,8,6,11,4,2,5,3,9,0,0,0
real,1174,1133,22,1,6,6,1,0,4,0,0,1,0,0,0,0
especially,1172,999,39,3,45,6,16,5,2,4,19,18,15,0,0,1
politically,990,901,34,10,15,1,6,5,1,7,5,2,2,0,1,0
legally,955,923,14,6,4,2,1,1,0,0,2,1,1,0,0,0
sufficiently,800,779,3,4,4,2,3,1,0,2,1,0,1,0,0,0
nearly,776,766,3,1,1,0,2,1,0,2,0,0,0,0,0,0
readily,635,614,0,11,3,0,1,2,0,2,1,1,0,0,0,0
any,568,524,15,4,16,1,0,4,0,0,2,0,1,1,0,0
truly,507,333,57,33,16,13,15,17,3,8,6,3,3,0,0,0
ever,495,47,40,95,19,54,8,195,24,7,0,3,3,0,0,0
physically,473,430,22,3,6,2,2,4,0,0,2,2,0,0,0,0
mentally,465,446,13,0,1,0,1,0,0,2,1,0,1,0,0,0
altogether,458,448,5,0,1,0,0,2,0,0,2,0,0,0,0,0
absolutely,447,357,21,9,2,20,8,10,10,1,7,1,1,0,0,0
directly,404,363,7,6,16,2,1,1,1,1,3,2,1,0,0,0
easily,387,371,4,6,0,0,2,0,0,2,0,2,0,0,0,0
about,385,373,9,0,2,0,0,1,0,0,0,0,0,0,0,0
merely,349,333,13,0,1,0,1,1,0,0,0,0,0,0,0,0
widely,339,327,6,4,1,0,1,0,0,0,0,0,0,0,0,0
highly,328,299,7,4,2,1,8,1,0,1,2,2,1,0,0,0
economically,301,291,3,2,2,0,2,1,0,0,0,0,0,0,0,0
statistically,282,276,0,0,3,0,0,0,0,0,0,1,2,0,0,0
financially,276,261,5,2,2,0,2,0,0,2,0,1,1,0,0,0
mutually,273,267,2,0,4,0,0,0,0,0,0,0,0,0,0,0
already,268,253,1,1,0,0,10,0,0,3,0,0,0,0,0,0
remotely,267,190,5,9,26,8,1,17,5,0,2,2,1,1,0,0
usually,249,242,2,1,0,0,1,0,0,2,0,0,1,0,0,0
technically,241,227,4,1,3,0,1,4,0,1,0,0,0,0,0,0
still,226,105,1,15,15,2,52,1,4,28,1,1,0,1,0,0
currently,218,162,0,30,15,1,7,0,0,1,0,1,1,0,0,0
actually,216,165,8,11,4,3,4,3,1,13,2,0,0,1,1,0
inherently,214,199,1,3,2,0,1,7,0,0,1,0,0,0,0,0
extremely,214,176,8,4,1,0,16,1,0,3,3,1,1,0,0,0
wholly,213,190,12,1,5,0,2,1,0,0,0,1,1,0,0,0
half,199,192,5,0,0,1,0,0,0,1,0,0,0,0,0,0
universally,192,184,1,4,3,0,0,0,0,0,0,0,0,0,0,0
anywhere,192,155,7,7,9,1,2,6,0,0,0,3,2,0,0,0
simply,191,175,4,2,2,0,4,2,1,1,0,0,0,0,0,0
commercially,181,159,6,8,5,0,1,1,0,1,0,0,0,0,0,0
generally,177,173,0,1,0,0,2,0,0,1,0,0,0,0,0,0
well,176,161,1,1,2,0,7,1,0,0,1,1,1,0,0,0
strictly,176,171,0,1,1,0,1,0,0,0,1,0,1,0,0,0
pretty,176,114,1,6,0,0,40,1,0,9,4,1,0,0,0,0
seriously,170,94,17,1,23,10,3,17,0,1,3,1,0,0,0,0
medically,164,126,35,0,0,0,0,0,0,0,1,1,1,0,0,0
solely,162,149,1,6,1,2,1,0,0,0,0,0,2,0,0,0
perfectly,158,133,8,5,1,0,2,4,3,0,1,0,1,0,0,0
unduly,157,145,1,1,0,2,1,1,1,0,5,0,0,0,0,0
purely,153,137,7,3,2,1,0,2,0,0,0,0,1,0,0,0
overtly,152,126,9,0,1,1,4,0,0,1,8,1,1,0,0,0
now,148,110,2,17,3,1,11,0,0,3,1,0,0,0,0,0
far,141,129,3,4,1,0,1,2,0,1,0,0,0,0,0,0
morally,140,126,8,1,2,1,0,0,0,0,2,0,0,0,0,0
personally,132,121,2,1,0,1,1,1,1,0,2,2,0,0,0,0
publicly,128,112,6,5,1,0,2,1,0,0,0,1,0,0,0,0
equally,120,106,0,5,0,0,6,0,2,0,1,0,0,0,0,0
clearly,119,102,2,4,5,2,1,2,0,0,0,0,1,0,0,0
deeply,119,95,9,5,0,0,9,1,0,0,0,0,0,0,0,0
emotionally,118,103,4,1,1,0,5,1,0,1,2,0,0,0,0,0
consistently,108,79,3,8,4,1,7,1,0,2,1,1,1,0,0,0
sexually,106,91,10,0,4,0,0,0,0,0,1,0,0,0,0,0
around,105,98,4,0,0,0,1,0,1,0,0,0,0,1,0,0
uniformly,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wildly,100,83,9,0,1,1,4,0,0,0,0,0,2,0,0,0
significantly,99,97,0,0,2,0,0,0,0,0,0,0,0,0,0,0
often,98,82,5,1,0,0,9,0,1,0,0,0,0,0,0,0
openly,92,53,10,3,3,3,12,1,0,7,0,0,0,0,0,0
initially,92,87,0,0,2,2,0,0,0,1,0,0,0,0,0,0
properly,88,83,3,0,0,0,0,0,0,1,1,0,0,0,0,0
overwhelmingly,87,77,1,0,4,0,2,0,0,0,1,1,1,0,0,0
racially,86,82,1,0,0,0,0,2,0,0,0,0,1,0,0,0
officially,85,78,3,2,0,0,1,1,0,0,0,0,0,0,0,0
also,83,53,0,10,0,0,18,0,0,2,0,0,0,0,0,0
normally,83,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bit,83,72,1,1,1,0,5,2,0,1,0,0,0,0,0,0
this,81,58,19,1,1,0,1,0,0,0,0,0,1,0,0,0
socially,80,74,5,0,0,0,1,0,0,0,0,0,0,0,0,0
unusually,79,73,1,0,1,0,4,0,0,0,0,0,0,0,0,0
criminally,78,76,0,0,0,2,0,0,0,0,0,0,0,0,0,0
there,76,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0
obviously,75,63,0,0,5,1,2,2,0,0,1,1,0,0,0,0
precisely,75,63,2,0,1,6,0,1,0,0,1,0,1,0,0,0
scientifically,74,70,1,1,1,0,1,0,0,0,0,0,0,0,0,0
super,73,69,3,0,0,0,1,0,0,0,0,0,0,0,0,0
previously,70,65,4,0,1,0,0,0,0,0,0,0,0,0,0,0
hugely,68,59,8,0,1,0,0,0,0,0,0,0,0,0,0,0
here,67,61,1,0,0,0,0,0,3,0,1,1,0,0,0,0
substantially,66,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fundamentally,66,62,0,0,1,0,0,2,0,0,1,0,0,0,0,0
home,65,61,3,0,0,0,0,0,1,0,0,0,0,0,0,0
excessively,64,57,1,0,0,0,0,0,0,0,5,1,0,0,0,0
environmentally,64,61,1,0,1,0,0,0,0,0,0,1,0,0,0,0
historically,64,61,0,0,1,0,0,1,0,1,0,0,0,0,0,0
terminally,63,59,0,0,2,0,0,0,0,0,1,0,1,0,0,0
automatically,63,60,0,0,1,0,0,0,1,0,1,0,0,0,0,0
academically,62,59,2,0,0,0,1,0,0,0,0,0,0,0,0,0
visually,60,54,2,0,0,0,0,2,0,1,0,1,0,0,0,0
heavily,59,53,3,0,0,0,2,0,0,0,0,0,1,0,0,0
technologically,56,54,0,0,0,0,0,0,0,1,1,0,0,0,0,0
reasonably,56,51,0,2,0,1,1,0,0,1,0,0,0,0,0,0
out,54,50,3,0,0,0,1,0,0,0,0,0,0,0,0,0
otherwise,54,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
radically,54,51,0,0,0,0,0,1,0,1,0,0,1,0,0,0
exceptionally,53,46,1,0,1,0,0,1,0,0,2,1,1,0,0,0
instantly,52,42,1,0,3,0,4,1,0,1,0,0,0,0,0,0
typically,51,43,2,1,0,0,1,1,0,2,0,0,1,0,0,0
incredibly,51,41,4,1,0,0,2,0,0,3,0,0,0,0,0,0
visibly,50,39,1,3,2,1,3,0,0,1,0,0,0,0,0,0
primarily,50,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0
dramatically,50,46,2,1,1,0,0,0,0,0,0,0,0,0,0,0
naturally,49,43,3,0,0,0,1,0,0,2,0,0,0,0,0,0
crystal,47,43,3,0,0,0,0,1,0,0,0,0,0,0,0,0
similarly,47,39,3,1,0,0,4,0,0,0,0,0,0,0,0,0
genuinely,47,27,1,1,2,1,6,1,0,6,1,0,1,0,0,0
psychologically,46,42,0,0,0,0,1,3,0,0,0,0,0,0,0,0
exclusively,46,41,1,0,3,0,0,0,0,1,0,0,0,0,0,0
near,45,37,1,1,3,2,0,0,0,0,0,1,0,0,0,0
relatively,42,22,4,0,0,0,13,1,0,1,1,0,0,0,0,0
fiscally,42,38,3,0,0,1,0,0,0,0,0,0,0,0,0,0
utterly,40,37,1,1,1,0,0,0,0,0,0,0,0,0,0,0
intrinsically,39,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
explicitly,38,31,2,0,2,0,1,0,0,1,1,0,0,0,0,0
factually,38,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0
adequately,37,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0
greatly,37,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0
thoroughly,37,30,0,4,0,0,2,1,0,0,0,0,0,0,0,0
long,37,30,2,0,1,0,4,0,0,0,0,0,0,0,0,0
fairly,37,27,2,0,0,0,4,0,0,3,1,0,0,0,0,0
constitutionally,36,33,2,0,1,0,0,0,0,0,0,0,0,0,0,0
critically,36,25,0,1,5,2,2,0,0,1,0,0,0,0,0,0
traditionally,35,32,0,0,0,0,1,1,0,0,1,0,0,0,0,0
enough,35,24,0,0,0,0,0,0,0,0,10,1,0,0,0,0
intellectually,35,31,1,0,0,0,1,0,0,0,2,0,0,0,0,0
tremendously,34,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0
potentially,34,22,2,2,2,0,2,2,0,1,1,0,0,0,0,0
culturally,33,30,1,0,1,0,1,0,0,0,0,0,0,0,0,0
