colloc,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
by_context_sum,260417,238598,7302,4818,1902,1817,1785,1492,689,681,589,379,323,33,5,4
immediately_clear,15784,15769,0,14,1,0,0,0,0,0,0,0,0,0,0,0
immediately_available,14304,11632,1,2191,27,314,65,0,49,1,0,11,13,0,0,0
as_good,4215,3858,233,24,21,16,11,26,9,5,0,10,2,0,0,0
so_sure,3956,3940,7,0,1,5,0,1,1,0,0,1,0,0,0,0
as_bad,3069,2921,90,8,14,4,1,23,1,0,0,6,0,1,0,0
very_good,2797,2665,86,4,17,0,6,0,6,3,1,7,2,0,0,0
yet_clear,2196,2193,0,0,0,0,0,3,0,0,0,0,0,0,0,0
quite_sure,2069,1362,194,0,5,382,0,0,118,0,1,2,5,0,0,0
so_bad,1953,1901,35,6,1,2,2,5,0,0,0,0,1,0,0,0
as_strong,1885,1818,53,2,7,1,2,1,0,0,0,0,1,0,0,0
so_much,1854,1832,18,1,2,0,0,1,0,0,0,0,0,0,0,0
too_late,1711,1173,537,0,0,1,0,0,0,0,0,0,0,0,0,0
that_bad,1551,1517,20,3,2,1,0,7,1,0,0,0,0,0,0,0
as_easy,1492,1436,29,5,6,0,5,8,0,1,0,2,0,0,0,0
so_easy,1363,1350,8,1,0,0,0,4,0,0,0,0,0,0,0,0
so_good,1236,1203,30,2,0,0,0,0,1,0,0,0,0,0,0,0
yet_ready,1205,1194,0,1,4,4,0,0,1,0,0,0,1,0,0,0
always_easy,1134,1133,0,0,0,0,0,0,0,0,0,1,0,0,0,0
as_important,1125,971,30,22,36,1,24,36,0,3,0,2,0,0,0,0
that_good,1102,1044,31,9,4,7,1,1,5,0,0,0,0,0,0,0
even_sure,1094,1065,2,0,2,18,0,0,7,0,0,0,0,0,0,0
yet_available,1076,983,0,88,4,0,0,0,0,0,0,0,1,0,0,0
so_lucky,1073,1063,2,0,1,1,5,0,0,1,0,0,0,0,0,0
much_different,1065,1059,0,1,1,0,1,3,0,0,0,0,0,0,0,0
that_easy,1013,960,35,2,2,0,0,13,1,0,0,0,0,0,0,0
all_bad,943,932,0,5,0,3,0,2,1,0,0,0,0,0,0,0
too_bad,927,920,2,1,0,0,0,3,1,0,0,0,0,0,0,0
that_simple,921,821,66,2,0,0,0,32,0,0,0,0,0,0,0,0
as_high,920,885,29,2,1,0,1,0,0,0,0,2,0,0,0,0
quite_ready,906,879,7,0,1,11,0,0,2,0,0,4,2,0,0,0
even_close,867,782,7,19,18,21,0,4,12,0,0,2,1,1,0,0
really_sure,856,688,44,0,2,84,0,0,37,0,0,1,0,0,0,0
as_big,856,785,26,6,26,0,3,4,3,2,1,0,0,0,0,0
that_different,775,771,1,0,0,0,0,2,1,0,0,0,0,0,0,0
as_simple,752,669,35,0,4,0,4,39,0,0,0,0,0,1,0,0
immediately_possible,716,706,0,10,0,0,0,0,0,0,0,0,0,0,0,0
as_much,689,678,9,0,1,1,0,0,0,0,0,0,0,0,0,0
that_great,676,657,15,0,2,0,0,1,0,0,0,1,0,0,0,0
that_hard,669,665,3,0,0,0,0,1,0,0,0,0,0,0,0,0
too_worried,660,646,3,0,0,9,0,0,1,0,0,1,0,0,0,0
as_effective,652,612,10,4,8,0,5,4,0,2,0,6,0,1,0,0
too_happy,635,626,3,1,3,1,0,0,1,0,0,0,0,0,0,0
as_great,633,601,20,1,2,1,2,4,1,0,0,0,1,0,0,0
that_big,632,620,9,1,0,0,0,0,1,0,0,1,0,0,0,0
as_sharp,623,612,6,1,2,0,0,0,0,0,0,2,0,0,0,0
entirely_clear,619,590,25,0,0,2,0,2,0,0,0,0,0,0,0,0
very_happy,605,573,2,1,7,11,0,0,9,0,0,1,1,0,0,0
too_early,597,347,250,0,0,0,0,0,0,0,0,0,0,0,0,0
that_important,594,559,19,7,4,2,0,3,0,0,0,0,0,0,0,0
legally_binding,583,577,1,1,2,0,0,1,0,0,0,1,0,0,0,0
overly_concerned,575,559,7,0,0,5,0,0,1,0,1,1,1,0,0,0
as_successful,547,486,14,15,11,0,11,0,2,7,0,1,0,0,0,0
exactly_sure,535,471,8,0,0,45,0,0,9,0,1,1,0,0,0,0
as_severe,529,514,6,0,7,0,2,0,0,0,0,0,0,0,0,0
quite_right,520,485,26,0,2,2,0,4,0,0,0,0,1,0,0,0
so_different,502,501,0,0,0,0,0,0,0,1,0,0,0,0,0,0
even_aware,500,456,2,0,1,6,30,0,2,3,0,0,0,0,0,0
too_concerned,498,483,10,0,0,3,0,1,0,0,0,0,1,0,0,0
too_much,488,447,7,17,0,0,1,14,0,0,2,0,0,0,0,0
so_simple,484,462,8,0,2,0,0,12,0,0,0,0,0,0,0,0
nearly_enough,479,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_popular,465,393,44,5,9,2,6,1,0,1,0,4,0,0,0,0
any_different,457,443,7,4,0,1,0,2,0,0,0,0,0,0,0,0
so_great,452,429,14,8,1,0,0,0,0,0,0,0,0,0,0,0
so_clear,407,397,8,0,1,1,0,0,0,0,0,0,0,0,0,0
so_fortunate,400,394,1,2,0,0,3,0,0,0,0,0,0,0,0,0
as_large,399,367,5,2,15,0,4,0,0,4,0,1,1,0,0,0
as_serious,396,382,4,1,5,0,1,2,0,1,0,0,0,0,0,0
as_fast,383,366,6,0,3,1,1,1,1,2,0,2,0,0,0,0
too_good,374,326,10,3,0,1,1,32,1,0,0,0,0,0,0,0
that_difficult,373,368,1,0,1,0,0,2,0,0,0,1,0,0,0,0
always_clear,370,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readily_available,367,355,0,10,2,0,0,0,0,0,0,0,0,0,0,0
as_lucky,366,358,0,0,1,0,3,0,0,4,0,0,0,0,0,0
yet_complete,365,364,0,1,0,0,0,0,0,0,0,0,0,0,0,0
really_interested,343,304,15,0,0,11,3,0,7,2,0,1,0,0,0,0
as_dramatic,337,313,6,1,6,0,4,3,0,2,0,0,2,0,0,0
as_close,337,303,21,2,3,5,1,0,1,1,0,0,0,0,0,0
too_hard,335,325,4,2,0,0,0,1,1,0,2,0,0,0,0,0
so_important,333,298,9,12,6,2,1,5,0,0,0,0,0,0,0,0
really_worried,320,298,13,0,1,2,0,0,6,0,0,0,0,0,0,0
as_fortunate,311,309,0,0,0,1,1,0,0,0,0,0,0,0,0,0
as_aggressive,303,283,3,9,3,1,1,0,1,1,1,0,0,0,0,0
too_sure,301,275,22,0,0,4,0,0,0,0,0,0,0,0,0,0
as_hard,297,275,5,3,1,2,0,6,2,1,1,0,0,1,0,0
as_tough,297,276,9,2,5,0,2,1,0,1,0,1,0,0,0,0
too_old,297,168,106,7,2,7,1,1,4,0,0,1,0,0,0,0
as_clear,296,283,5,1,1,0,3,3,0,0,0,0,0,0,0,0
politically_motivated,295,276,3,1,9,0,0,1,0,5,0,0,0,0,0,0
so_happy,294,219,74,0,0,0,0,0,0,1,0,0,0,0,0,0
that_unusual,290,287,0,0,3,0,0,0,0,0,0,0,0,0,0,0
as_robust,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
too_small,278,53,3,193,2,0,7,19,0,0,1,0,0,0,0,0
too_long,273,265,3,4,0,0,1,0,0,0,0,0,0,0,0,0
as_quick,272,264,3,0,1,0,0,0,2,0,0,1,1,0,0,0
entirely_sure,269,230,12,0,0,23,1,0,2,0,0,0,1,0,0,0
