colloc,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,no-one_subj-NP,no_subj-det,nobody_subj-NP,none_subj-NP,not-a-single_subj-det,not-one_subj-NP,not-one_subj-det,not_VP-adv,nothing_subj-NP,without-being_PP
about_breast-feeding,0,0,0,0,0,0,0,0,0,0,0,1,0,0
about_melancholy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
absolutely_zero,0,0,0,0,0,0,0,0,0,0,0,0,1,0
actually_stupid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
all_dire,0,0,0,0,0,0,0,0,0,0,0,1,0,0
all_distressing,0,0,0,0,0,0,0,0,0,0,0,1,0,0
all_enthusiastic,0,0,0,0,0,0,0,0,0,0,0,2,0,0
all_file-sharing,0,0,0,0,0,0,0,0,0,0,0,1,0,0
all_flattering,0,0,0,0,0,0,0,0,0,0,0,1,0,0
all_mushy,0,0,0,0,0,0,0,0,0,0,0,2,0,0
already_obvious,0,0,0,0,0,0,0,0,0,0,0,5,0,0
also_fundamental,0,0,0,0,0,0,0,0,0,0,0,1,0,0
also_impressive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
altogether_bad,0,0,0,0,0,0,0,0,0,0,0,11,0,0
altogether_impermeable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
altogether_unsympathetic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
always_cool,0,0,0,0,0,0,0,0,0,0,0,4,0,0
always_dead,0,0,0,0,0,0,0,0,0,0,0,1,0,0
always_flattering,0,0,0,0,0,0,0,0,0,0,0,23,0,0
always_frown-faced,0,0,0,0,0,0,0,0,0,0,0,1,0,0
always_tough,1,0,0,0,0,0,0,0,0,0,0,4,0,0
as_ambidextrous,0,0,0,0,1,0,0,0,0,0,0,0,0,0
as_anthropic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_careful,0,0,0,0,0,0,0,0,0,0,0,37,0,0
as_chest-thumping,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_childproof,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_cinematic,0,0,0,0,0,0,0,0,0,0,0,2,0,0
as_content,0,0,0,0,0,0,0,0,0,0,0,7,0,0
as_cost-effective,0,0,0,0,0,0,0,0,0,0,0,13,0,0
as_curdled,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_design-conscious,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_devoid,0,0,0,0,0,0,0,0,0,0,0,2,0,0
as_discreet,0,0,0,0,0,0,0,0,0,0,0,2,0,0
as_dutiful,0,0,0,0,0,0,0,0,0,0,0,2,0,0
as_engaging,1,0,0,0,0,0,0,0,0,0,0,13,0,0
as_extraordinary,0,0,0,0,0,0,0,0,0,0,0,3,1,0
as_fast-moving,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_foul,0,0,0,0,0,0,0,0,0,0,0,1,1,0
as_gloom-and-doom,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_huge,0,0,0,0,0,0,0,0,0,0,0,18,0,0
as_ice-covered,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_imprecise,1,0,0,0,0,0,0,0,0,0,0,0,0,0
as_incendiary,0,0,0,0,0,0,0,0,0,0,0,3,0,0
as_innocuous,0,0,0,0,0,0,0,0,0,0,0,3,0,0
as_jaded,0,0,0,0,0,0,0,0,0,0,0,4,0,0
as_level-headed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_long,2,0,1,0,0,0,0,5,0,0,0,136,0,0
as_mass,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_meticulous,0,0,0,0,0,0,0,0,0,0,0,3,0,0
as_outstanding,0,0,0,0,1,0,0,0,0,0,0,1,0,0
as_paramount,0,0,0,0,0,0,0,0,0,0,0,3,0,0
as_polluted,0,0,0,0,0,0,0,0,0,0,0,2,0,0
as_precious,0,0,0,0,0,0,0,1,0,0,0,5,1,0
as_repressive,0,0,0,0,0,0,0,0,0,0,0,3,0,0
as_safety-conscious,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_timely,1,0,0,0,0,0,0,0,0,0,0,12,0,0
as_unbeatable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_up-close,0,0,0,0,0,0,0,0,0,0,0,1,0,0
as_well-behaved,0,0,0,0,0,0,0,0,0,0,0,2,0,0
astonishingly_courteous,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bit_compelling,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bit_stingy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
categorically_different,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cognitively_sound,0,0,0,0,0,0,0,0,0,0,0,1,0,0
completely_snubbed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
creatively_stingy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
deeply_unfortunate,0,0,0,0,0,0,0,0,0,0,0,1,0,0
definitely_abnormal,0,0,0,0,0,0,0,0,0,0,0,1,0,0
definitely_strong,0,0,0,0,0,1,0,0,0,0,0,0,0,0
deliberately_obstructive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
directly_affiliated,0,0,0,0,0,0,0,0,0,0,0,1,0,0
easily_flapped,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entirely_dead,1,0,0,0,0,0,0,0,0,0,0,11,0,0
entirely_defenseless,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entirely_educational,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entirely_ignoble,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entirely_ironic,0,0,0,0,0,0,0,0,0,0,0,2,0,0
entirely_japanese,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entirely_noble,0,0,0,0,0,0,0,0,0,0,0,2,0,0
entirely_willing,0,0,0,0,0,0,0,0,0,0,0,3,0,0
especially_likable,0,0,0,0,0,0,0,0,0,0,0,2,0,1
even_consecutive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
even_half-completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
even_impotent,0,0,0,0,0,0,0,0,0,0,0,1,0,0
even_sentient,0,0,0,0,0,0,0,0,0,0,0,1,0,0
even_valparaiso,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ever_good,0,0,0,0,0,3,0,0,0,0,0,3,18,0
exactly_aloof,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_baseless,0,0,0,0,0,0,0,0,0,0,0,2,0,0
exactly_chemotherapy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_dainty,0,0,0,0,0,0,0,0,0,0,0,2,0,0
exactly_edifying,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_frigid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_light,0,0,0,0,0,0,0,0,0,0,0,4,0,0
exactly_mine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_misty-eyed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_mother-friendly,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_optimistic,0,0,0,0,0,0,0,0,0,0,0,5,0,0
exactly_oscar-potential,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_synonymous,0,0,0,0,0,0,0,0,0,0,0,6,0,0
exactly_tradeable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_twinkling,0,0,0,0,0,0,0,0,0,0,0,1,0,0
exactly_welcome,0,0,0,0,0,0,0,0,0,0,0,11,0,0
exceptionally_good,0,0,0,0,0,0,0,0,0,0,0,1,0,0
extra_sad,0,0,0,0,0,0,0,0,0,0,0,2,0,0
extremely_graphic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
extremely_serious,0,0,0,0,0,0,0,0,0,0,0,6,0,0
falling-down_drunk,0,0,0,0,0,0,0,0,0,0,0,1,0,0
far_off-base,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fully_effective,0,0,0,0,0,1,0,1,0,0,0,30,0,0
functionally_bankrupt,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fundamentally_fair,0,0,0,0,0,0,0,0,0,0,0,1,0,0
grossly_disproportional,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hard_core,0,0,0,0,0,0,0,0,0,0,0,3,0,0
highly_accurate,0,0,0,0,0,0,0,0,0,0,0,2,0,0
historically_theirs,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ideally_qualified,0,0,0,0,0,0,0,0,0,0,0,1,0,0
immediately_refutable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
incredibly_stupid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
insanely_famous,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_aromatic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_bassen,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_chairmanships,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_fitting,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_french,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_groaning,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_hard,0,0,0,0,0,0,0,0,0,0,0,9,0,0
just_indefatigable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_ours,0,0,0,0,0,0,0,0,0,0,0,5,0,0
just_overrated,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_purple,0,0,0,0,0,0,0,0,0,0,0,1,0,0
just_willing,0,0,0,0,0,0,0,0,0,0,0,10,0,0
legally_obstruction,0,0,0,0,0,0,0,0,0,0,0,1,0,0
merely_altruistic,0,0,0,0,0,0,0,0,0,0,0,2,0,0
merely_improbable,0,0,0,0,0,0,0,0,0,0,0,2,0,0
much_familiar,0,0,0,0,0,0,0,0,0,0,0,1,0,0
much_imbibing,0,0,0,0,0,0,0,0,0,0,0,1,0,0
naturally_inclined,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nawaf_al-hazmi,0,0,0,0,0,0,0,0,0,0,0,1,0,0
near_grumpy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nearly_forceful,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nearly_ready,0,0,0,0,0,0,0,1,0,0,0,15,0,0
neatly_compartmentalized,0,0,0,0,0,0,0,0,0,0,0,1,0,0
necessarily_amusing,0,0,0,0,0,0,0,0,0,0,0,1,0,0
necessarily_opposites,0,0,0,0,0,0,0,0,0,0,0,1,0,0
necessarily_unanimity,0,0,0,0,0,0,0,0,0,0,0,1,0,0
necssarily_explanatory,0,0,0,0,0,0,0,0,0,0,0,1,0,0
now_affiliated,0,0,0,0,0,0,0,0,0,0,0,1,0,0
now_safe,1,0,0,0,0,0,0,0,0,0,0,1,0,0
obviously_illegal,0,0,0,0,0,0,0,0,0,0,0,2,0,0
officially_bilingual,0,0,0,0,0,0,0,0,0,0,0,1,0,0
on_arrogant,0,0,0,0,0,0,0,0,0,0,0,0,0,1
only_despicable,0,0,0,0,0,0,0,0,0,0,0,4,0,0
only_funny,0,0,0,0,0,0,0,0,0,0,0,10,0,0
only_humiliating,0,0,0,0,0,0,0,0,0,0,0,3,0,0
only_nervous,0,0,0,0,0,0,0,0,0,0,0,1,0,0
only_provocative,0,0,0,0,0,0,0,0,0,0,0,1,0,0
only_revolting,0,0,0,0,0,0,0,0,0,0,0,1,0,0
only_sensitive,0,0,0,0,0,0,0,0,0,0,0,2,0,0
only_thorough,0,0,0,0,0,0,0,0,0,0,0,1,0,0
only_touchy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
only_unbearable,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otherwise_busy,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otherwise_subject,0,0,0,0,0,0,0,0,0,0,0,1,0,0
outrageously_implausible,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overly_charismatic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overly_distinguished,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overly_militaristic,0,0,0,0,0,0,0,0,0,0,0,1,0,0
particularly_bad,2,0,0,0,0,0,0,0,0,0,0,9,0,0
particularly_complex,0,0,0,0,0,0,0,0,0,0,0,4,0,0
particularly_self-helped,0,0,0,0,0,0,0,0,0,0,0,1,0,0
particularly_squeamish,0,0,0,0,0,0,0,0,0,0,0,1,0,0
perfectly_legal,0,0,0,0,0,0,0,0,0,0,0,2,0,0
politically_connected,0,0,0,0,0,0,0,0,0,0,0,3,0,1
politically_naive,0,0,0,0,0,0,0,0,0,0,0,1,0,0
politically_ready,0,0,0,0,0,0,0,0,0,0,0,5,0,0
politically_skillful,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pretty_over-the-top,0,0,0,0,0,0,0,0,0,0,0,1,0,0
previously_averse,0,0,0,0,0,0,0,0,0,0,0,1,0,0
previously_segregated,0,0,0,0,0,0,0,0,0,0,0,1,0,0
psychologically_compelling,0,0,0,0,0,0,0,0,0,0,0,1,0,0
quite_convincing,0,0,0,0,0,0,0,0,0,0,0,5,0,0
