hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,category,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_19970401_0437_46:4,,absolutely_escapist,absolutely,escapist,"-LBQ-  It 's absolutely escapist for those who do n't believe in God ,  -RDQ-  she said .",nyt_eng_19970401_0437_46,4,,,,outdated_input_file,nyt_eng_19970401,Nyt1,1997-04-01,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,302578,1997,False
nyt_eng_19980205_0453_37:4,,absolutely_phenomenal,absolutely,phenomenal,"-LBQ-  Michael is absolutely phenomenal ,  -RDQ-  Pettit said ,  -LBQ-  one of the top players who has ever played the game .  -RDQ-",nyt_eng_19980205_0453_37,4,,,,outdated_input_file,nyt_eng_19980205,Nyt1,1998-02-05,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,410129,1998,False
nyt_eng_19950308_0306_13:4,,absolutely_phenomenal,absolutely,phenomenal,-LBQ-  It 's absolutely phenomenal .  -RDQ-,nyt_eng_19950308_0306_13,4,,,,outdated_input_file,nyt_eng_19950308,Nyt1,1995-03-08,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,56254,1995,False
nyt_eng_19970419_0245_20:22,,academically_ineligible,academically,ineligible,"The defense was without four starters _ Chris Claiborne , George Perry and Brian Kelly are injured and Mark Cusano is academically ineligible for the spring .",nyt_eng_19970419_0245_20,22,,,,outdated_input_file,nyt_eng_19970419,Nyt1,1997-04-19,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,308922,1997,False
nyt_eng_19970414_0303_4:3,,actually_dead,actually,dead,You were actually dead .  -RDQ-,nyt_eng_19970414_0303_4,3,,,,outdated_input_file,nyt_eng_19970414,Nyt1,1997-04-14,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,306694,1997,False
nyt_eng_19940819_0277_2:15,,actually_playable,actually,playable,"The problem is that very little of what makes Singapore 's economy go is actually playable in the market here , and what is really interesting happens to belong to another country , Malaysia .",nyt_eng_19940819_0277_2,15,,,,outdated_input_file,nyt_eng_19940819,Nyt1,1994-08-19,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,10955,1994,False
nyt_eng_19980116_0772_19:29,,actually_unrecoverable,actually,unrecoverable,"Dai said Friday that 20 percent to 25 percent of all loans in China were overdue , but he argued that only 5 percent to 6 percent were actually unrecoverable , a figure that sounds optimistic .",nyt_eng_19980116_0772_19,29,,,,outdated_input_file,nyt_eng_19980116,Nyt1,1998-01-16,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,403478,1998,False
nyt_eng_19940802_0156_42:4,,affectionately_impatient,affectionately,impatient,"His father is affectionately impatient , as if to suggest that talent , not genes , will tell  -COL-   -LBQ-  It 's always good to work with good actors .",nyt_eng_19940802_0156_42,4,,,,outdated_input_file,nyt_eng_19940802,Nyt1,1994-08-02,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,7060,1994,False
apw_eng_20050211_0186_4:5,neg-ext-nonsubj,all_bad,all,bad,"The survey was n't all bad for the Bush administration  -COL-  People are slightly more optimistic about the possibility of a stable , democratic Iraq .",apw_eng_20050211_0186_4,5,apw_eng_200502,The number who think the country is headed down the wrong track increased from 51 percent to 58 percent in the past month .,"The poll , conducted for the AP by Ipsos-Public Affairs , was taken after the president 's State of the Union address and the elections in Iraq and at the start of a heated debate over creating personal Social Security accounts .",outdated_input_file,apw_eng_20050211,Apw,2005-02-11,negative,not_VP-adv,not,VP-adv,False,4933,2005,False
nyt_eng_20080722_0100_39:5,neg-ext-nonsubj,all_grim,all,grim,"The news is n't all grim , however .",nyt_eng_20080722_0100_39,5,nyt_eng_200807,"Blacks , for instance , die five years earlier than whites and are more likely to die from cancer , stroke , asthma and heart disease .",The special also cites the progress made by the black middle class and briefly touches on Barack Obama 's historic run for the presidency .,outdated_input_file,nyt_eng_20080722,Nyt2,2008-07-22,negative,not_VP-adv,not,VP-adv,False,62051,2008,False
nyt_eng_19961207_0205_29:5,neg-ext-nonsubj,all_powerful,all,powerful,Suddenly he was n't all powerful .,nyt_eng_19961207_0205_29,5,nyt_eng_199612,"I felt that for all his success , in fact because of it , he was ill-suited to deal with the problems posed by the emancipation of the players and the declaration of independence by Davis .",Suddenly the courts and the Congress were telling him what to do instead of vice versa .,outdated_input_file,nyt_eng_19961207,Nyt1,1996-12-07,negative,not_VP-adv,not,VP-adv,True,55220,1996,False
nyt_eng_19951114_0101_34:40,,all_riddled,all,riddled,"-LBQ-  At the time it was very frustrating and upsetting ,  -RDQ-  he says ,  -LBQ-  and I did occasionally get personally upset about ` Why are they saying these terrible things about me ? ' And it was all riddled with irony , because of the various political stands I 'd taken about integrated casting .  -RDQ-",nyt_eng_19951114_0101_34,40,,,,outdated_input_file,nyt_eng_19951114,Nyt1,1995-11-14,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,135753,1995,False
nyt_eng_19970224_0666_21:14,,almost_irrelevant,almost,irrelevant,"On a roster with Messier and Wayne Gretzky , any coach would be almost irrelevant .",nyt_eng_19970224_0666_21,14,,,,outdated_input_file,nyt_eng_19970224,Nyt1,1997-02-24,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,290252,1997,False
nyt_eng_19941127_0199_37:9,,almost_mistake-free,almost,mistake-free,But a team playing so conservatively must be almost mistake-free on both sides of the ball to beat even a last-place team .,nyt_eng_19941127_0199_37,9,,,,outdated_input_file,nyt_eng_19941127,Nyt1,1994-11-27,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,32846,1994,False
nyt_eng_19960808_0576_3:7,,almost_steady,almost,steady,Kansas Cie Line stock-index futures were almost steady ; Western Natural Gas futures traded lower .,nyt_eng_19960808_0576_3,7,,,,outdated_input_file,nyt_eng_19960808,Nyt1,1996-08-08,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,223505,1996,False
nyt_eng_19950518_0140_14:5,,already_available,already,available,"While channel capacity is already available in the Congress 's internal cable system , funding will be needed for program production .",nyt_eng_19950518_0140_14,5,,,,outdated_input_file,nyt_eng_19950518,Nyt1,1995-05-18,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,76985,1995,False
nyt_eng_19950808_0030_17:6,,already_mixed,already,mixed,The reviews on Myles were already mixed .,nyt_eng_19950808_0030_17,6,,,,outdated_input_file,nyt_eng_19950808,Nyt1,1995-08-08,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,103489,1995,False
nyt_eng_19960603_0428_34:35,,already_tired,already,tired,"Near Mt. Whitney , we were at the face of Forester Pass , 13,200 feet , facing a dangerous 2,000-foot ascent across several icy slopes late one afternoon , a time when we were already tired and hungry .",nyt_eng_19960603_0428_34,35,,,,outdated_input_file,nyt_eng_19960603,Nyt1,1996-06-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,205257,1996,False
nyt_eng_19971013_0190_7:3,,also_capable,also,capable,"Hueppi is also capable of overcoming the difficulties of molding different cultures , one of the main stumbling blocks of any cross-border merger , analysts said .",nyt_eng_19971013_0190_7,3,,,,outdated_input_file,nyt_eng_19971013,Nyt1,1997-10-13,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,369539,1997,False
nyt_eng_19961004_0316_19:3,,also_durable,also,durable,"It was also durable ; discontinued with the advent of the 1993 model year , Comanche persists on the highways of New England .",nyt_eng_19961004_0316_19,3,,,,outdated_input_file,nyt_eng_19961004,Nyt1,1996-10-04,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,242391,1996,False
nyt_eng_19940723_0181_66:4,,also_eager,also,eager,But he is also eager for whatever is next .,nyt_eng_19940723_0181_66,4,,,,outdated_input_file,nyt_eng_19940723,Nyt1,1994-07-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,4963,1994,False
nyt_eng_19950703_0347_18:7,,also_likely,also,likely,"In others passages , Parker is also likely to detail the Nikes and parkas and jeans that private eye Spenser and others are wearing .",nyt_eng_19950703_0347_18,7,,,,outdated_input_file,nyt_eng_19950703,Nyt1,1995-07-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,91768,1995,False
nyt_eng_19950710_0265_80:4,,also_popular,also,popular,Teddy bears were also popular in Europe . In  -LBQ-  An,nyt_eng_19950710_0265_80,4,,,,outdated_input_file,nyt_eng_19950710,Nyt1,1995-07-10,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,93830,1995,False
nyt_eng_19940902_0218_6:3,,also_proud,also,proud,I am also proud of ideas I 've formulated .,nyt_eng_19940902_0218_6,3,,,,outdated_input_file,nyt_eng_19940902,Nyt1,1994-09-02,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,14006,1994,False
nyt_eng_20081201_0217_28:4,neg-ext-nonsubj,always_clear,always,clear,"It was not always clear , he added , whether the people were dead or just wounded .",nyt_eng_20081201_0217_28,4,nyt_eng_200812,"The attackers used grenades to booby trap some of the bodies in the two luxury hotels where they struck , the Taj Mahal Palace & amp ; Tower and the Oberoi , so they would explode when they were moved , Maria said .","That tactic made fighting the attackers more difficult , and significantly delayed the cleanup after the violence ended , Inspector Maria said .",outdated_input_file,nyt_eng_20081201,Nyt2,2008-12-01,negative,not_VP-adv,not,VP-adv,False,55186,2008,False
nyt_eng_19961009_0335_45:8,,always_good,always,good,"It 's always good _ I 'm always good , they 're always good .",nyt_eng_19961009_0335_45,8,,,,outdated_input_file,nyt_eng_19961009,Nyt1,1996-10-09,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,244147,1996,False
nyt_eng_19960626_0205_48:11,,always_hot,always,hot,"At least , as Kelly promises , the fries are always hot .",nyt_eng_19960626_0205_48,11,,,,outdated_input_file,nyt_eng_19960626,Nyt1,1996-06-26,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,209554,1996,False
nyt_eng_20071010_0062_39:14,neg-ext-nonsubj,always_practical,always,practical,"Living off the grid requires a substantial investment , something that 's not always practical .",nyt_eng_20071010_0062_39,14,nyt_eng_200710,"Though the family does n't take lavishly long showers or run water carelessly , they do collect enough rainwater to irrigate a large garden at the bottom of the hill .",But homeowners can take measures to reduce their reliance on fossil fuels .,outdated_input_file,nyt_eng_20071010,Nyt2,2007-10-10,negative,not_VP-adv,not,VP-adv,False,84032,2007,False
nyt_eng_20080128_0036_25:4,neg-ext-nonsubj,always_seamless,always,seamless,It was not always seamless .,nyt_eng_20080128_0036_25,4,nyt_eng_200801,"Belichick became the defensive coordinator in 1985 and the next season , with the second-ranked defense in the NFL , the Giants won the Super Bowl .","After the 1988 season , Belichick had had enough of the linebackers and told Parcells he wanted to coach the secondary .",outdated_input_file,nyt_eng_20080128,Nyt2,2008-01-28,negative,not_VP-adv,not,VP-adv,False,81158,2008,False
nyt_eng_19960206_0556_40:4,,always_troubling,always,troubling,-LBQ-  That is always troubling .  -RDQ-,nyt_eng_19960206_0556_40,4,,,,outdated_input_file,nyt_eng_19960206,Nyt1,1996-02-06,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,164034,1996,False
nyt_eng_19961026_0169_33:10,,always_unlucky,always,unlucky,"But then , for some people , Verona is always unlucky .",nyt_eng_19961026_0169_33,10,,,,outdated_input_file,nyt_eng_19961026,Nyt1,1996-10-26,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,250283,1996,False
nyt_eng_19971203_0839_2:15,neg-ext-nonsubj,always_wise,always,wise,But he 's always had the look of a wise guy who was n't always wise .,nyt_eng_19971203_0839_2,15,nyt_eng_199712,"Whenever the 49ers won the Super Bowl , you saw Eddie DeBartolo smiling and laughing , the ultimate rich kid having fun with his favorite toy .","In the 49ers ' media guide , Edward J. DeBartolo Jr. is described as having earned  -LBQ-  considerable stature and esteem  -RDQ-  for his managing of a National Football League franchise that has  -LBQ-  operated with class and dignity  -RDQ-  while winning a record five Super Bowl championships .",outdated_input_file,nyt_eng_19971203,Nyt1,1997-12-03,negative,not_VP-adv,not,VP-adv,True,35197,1997,False
nyt_eng_19951210_0044_41:24,,amazingly_popular,amazingly,popular,"Says Donata Maggipinto of Williams-Sonoma -LRB- where everything from Cuisinarts to toasters is  -LBQ-  European blue  -RDQ-  -RRB- ,  -LBQ-  It has been amazingly popular , especially with younger people .  -RDQ-",nyt_eng_19951210_0044_41,24,,,,outdated_input_file,nyt_eng_19951210,Nyt1,1995-12-10,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,144399,1995,False
nyt_eng_19980608_0278_84:8,neg-ext-nonsubj,any_different,any,different,But my life probably wo n't be any different .  -RDQ-,nyt_eng_19980608_0278_84,8,nyt_eng_199806,-LBQ-  That will be kind of neat .,"That life has its perks , of course .",outdated_input_file,nyt_eng_19980608,Nyt1,1998-06-08,negative,not_VP-adv,not,VP-adv,False,62618,1998,False
nyt_eng_19950906_0013_1:13,,any_good,any,good,The Kansas City Chiefs do n't know whether their run defense is any good .,nyt_eng_19950906_0013_1,13,,,,outdated_input_file,nyt_eng_19950906,Nyt1,1995-09-06,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,112232,1995,False
nyt_eng_19940825_0199_52:48,neg-ext-nonsubj,anywhere_near,anywhere,near,"Conventional career-management wisdom would have it that he ought to do a few more movies to establish his drawing power and crank his price up before trying anything as risky as a Broadway play , where critics will be gunning for him and the money is n't anywhere near as good .",nyt_eng_19940825_0199_52,48,nyt_eng_199408,"Wright , said he did n't remember the last time -RRB- , has just signed to star in  -LBQ-  Jade ,  -RDQ-  a movie thriller for $ 2 million .",So is Caruso actually considering this ?,outdated_input_file,nyt_eng_19940825,Nyt1,1994-08-25,negative,not_VP-adv,not,VP-adv,True,14861,1994,False
nyt_eng_19951023_0660_23:13,,apparently_embarrassed,apparently,embarrassed,"And while the arts world , or some of it , is apparently embarrassed about the source , it is not about to turn down the riches .",nyt_eng_19951023_0660_23,13,,,,outdated_input_file,nyt_eng_19951023,Nyt1,1995-10-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,128157,1995,False
nyt_eng_19960124_0266_23:25,,artificially_low,artificially,low,"She has been tracking assaults and threats to workers since 1992 , but said the numbers , 21 assaults since that year , are artificially low because she relies on self-reports from workers .",nyt_eng_19960124_0266_23,25,,,,outdated_input_file,nyt_eng_19960124,Nyt1,1996-01-24,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,158989,1996,False
nyt_eng_20051115_0328_47:4,neg-ext-nonsubj,as_acclaimed,as,acclaimed,"He is not as acclaimed as Lou Piniella , and he is not as accomplished as Hal McRae , and the slate is not as clean as it was when Larry Rothschild was hired .",nyt_eng_20051115_0328_47,4,nyt_eng_200511,"More than anything , that 's why Maddon was hired .","Still , he may be a better fit than any of them .",outdated_input_file,nyt_eng_20051115,Nyt2,2005-11-15,negative,not_VP-adv,not,VP-adv,False,3073,2005,False
nyt_eng_20001110_0083_84:8,neg-ext-nonsubj,as_aware,as,aware,There are other people who are n't as aware of their differences but still use them to great effect .,nyt_eng_20001110_0083_84,8,nyt_eng_200011,"But he was very clever in developing differences that he exploited to show that he was adventurous , entrepreneurial and unique .","For instance , Richard Surface , former managing director of the UK-based Pearl Insurance , always walked the floor and overtook people , using his own pace as a means of communicating urgency .",outdated_input_file,nyt_eng_20001110,Nyt2,2000-11-10,negative,not_VP-adv,not,VP-adv,False,74526,2000,False
nyt_eng_20020720_0096_17:8,neg-ext-nonsubj,as_bad,as,bad,-LBQ-  A bad day is not nearly as bad .,nyt_eng_20020720_0096_17,8,nyt_eng_200207,"-LBQ-  When a team 's leading a race , it 's great for morale and everybody 's happy ,  -RDQ-  Landis continued in an interview .",Nobody 's depressed .,outdated_input_file,nyt_eng_20020720,Nyt2,2002-07-20,negative,not_VP-adv,not,VP-adv,False,1440,2002,False
