colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
no_different,0,1060,1060,-0.03348,36.19783,12.32744,0.0,1.0,0.0,1.67505,1,1061
also_concerned,0,410,410,-0.03348,13.92292,4.72349,0.0,1.0,0.0,1.67505,1,411
especially_true,0,397,397,-0.03348,13.47742,4.57141,0.0,1.0,0.0,1.67505,1,398
no_good,0,297,297,-0.03348,10.05051,3.40157,0.0,1.0,0.0,1.67505,1,298
relatively_low,0,201,201,-0.03348,6.76068,2.27852,0.0,1.0,0.0,1.67505,1,202
relatively_new,0,168,168,-0.03348,5.6298,1.89248,0.0,1.0,0.0,1.67505,1,169
pretty_obvious,0,155,155,-0.03348,5.1843,1.7404,0.0,1.0,0.0,1.67505,1,156
very_sorry,0,151,151,-0.03348,5.04723,1.6936,0.0,1.0,0.0,1.67505,1,152
virtually_certain,0,151,151,-0.03348,5.04723,1.6936,0.0,1.0,0.0,1.67505,1,152
still_uncertain,0,146,146,-0.03348,4.87588,1.63511,0.0,1.0,0.0,1.67505,1,147
highly_critical,0,140,140,-0.03348,4.67027,1.56492,0.0,1.0,0.0,1.67505,1,141
certainly_true,0,139,139,-0.03348,4.636,1.55322,0.0,1.0,0.0,1.67505,1,140
especially_vulnerable,0,139,139,-0.03348,4.636,1.55322,0.0,1.0,0.0,1.67505,1,140
also_good,0,137,137,-0.03348,4.56746,1.52983,0.0,1.0,0.0,1.67505,1,138
no_secret,0,137,137,-0.03348,4.56746,1.52983,0.0,1.0,0.0,1.67505,1,138
almost_identical,0,135,135,-0.03348,4.49892,1.50643,0.0,1.0,0.0,1.67505,1,136
only_temporary,0,134,134,-0.03348,4.46465,1.49473,0.0,1.0,0.0,1.67505,1,135
partly_due,0,131,131,-0.03348,4.36184,1.45964,0.0,1.0,0.0,1.67505,1,132
also_responsible,0,130,130,-0.03348,4.32757,1.44794,0.0,1.0,0.0,1.67505,1,131
pretty_cool,0,130,130,-0.03348,4.32757,1.44794,0.0,1.0,0.0,1.67505,1,131
pleasantly_surprised,0,129,129,-0.03348,4.29331,1.43624,0.0,1.0,0.0,1.67505,1,130
also_active,0,120,120,-0.03348,3.98488,1.33095,0.0,1.0,0.0,1.67505,1,121
also_able,0,117,117,-0.03348,3.88208,1.29586,0.0,1.0,0.0,1.67505,1,118
still_undecided,0,112,112,-0.03348,3.71073,1.23737,0.0,1.0,0.0,1.67505,1,113
also_strong,0,111,111,-0.03348,3.67646,1.22567,0.0,1.0,0.0,1.67505,1,112
still_likely,0,110,110,-0.03348,3.64219,1.21397,0.0,1.0,0.0,1.67505,1,111
virtually_unchanged,0,110,110,-0.03348,3.64219,1.21397,0.0,1.0,0.0,1.67505,1,111
very_glad,0,105,105,-0.03348,3.47085,1.15548,0.0,1.0,0.0,1.67505,1,106
still_unknown,0,103,103,-0.03348,3.40231,1.13208,0.0,1.0,0.0,1.67505,1,104
pretty_simple,0,102,102,-0.03348,3.36804,1.12038,0.0,1.0,0.0,1.67505,1,103
still_subject,0,102,102,-0.03348,3.36804,1.12038,0.0,1.0,0.0,1.67505,1,103
virtually_unknown,0,102,102,-0.03348,3.36804,1.12038,0.0,1.0,0.0,1.67505,1,103
also_unclear,0,100,100,-0.03348,3.2995,1.09699,0.0,1.0,0.0,1.67505,1,101
finally_able,0,100,100,-0.03348,3.2995,1.09699,0.0,1.0,0.0,1.67505,1,101
