colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
immediately_clear,15784,21,15805,101.07583,0.12973,89.08478,0.99867,0.00133,2.33088,0.00232,15785,22
immediately_available,14303,59,14362,91.586,0.76465,80.93938,0.99589,0.00411,2.32439,0.00719,14304,60
as_good,3982,2245,6227,25.45195,37.28967,35.01922,0.63947,0.36053,1.49252,0.63079,3983,2246
very_good,2711,2101,4812,17.30774,34.88363,27.03188,0.56338,0.43662,1.31492,0.76392,2712,2102
so_sure,3949,122,4071,25.2405,1.81729,22.84911,0.97003,0.02997,2.26403,0.05243,3950,123
as_bad,2979,455,3434,19.02501,7.38126,19.2534,0.8675,0.1325,2.02473,0.23182,2980,456
too_late,1174,2158,3332,7.45908,35.83602,18.67763,0.35234,0.64766,0.82236,1.13317,1175,2159
too_early,347,2688,3035,2.1599,44.69158,17.00114,0.11433,0.88567,0.26685,1.5496,348,2689
so_bad,1918,685,2603,12.22642,11.22424,14.5626,0.73684,0.26316,1.71977,0.46043,1919,686
very_important,155,2313,2468,0.92962,38.42585,13.80056,0.0628,0.9372,0.14658,1.63975,156,2314
as_strong,1832,445,2277,11.67536,7.21417,12.72241,0.80457,0.19543,1.87784,0.34194,1833,446
so_good,1206,1046,2252,7.66413,17.25605,12.58129,0.53552,0.46448,1.2499,0.81266,1207,1047
too_much,481,1725,2206,3.01853,28.60119,12.32163,0.21804,0.78196,0.5089,1.36814,482,1726
yet_clear,2196,4,2200,14.00777,-0.15432,12.28776,0.99818,0.00182,2.32973,0.00318,2197,5
very_difficult,116,2075,2191,0.67972,34.4492,12.23696,0.05294,0.94706,0.12357,1.65701,117,2076
so_much,1836,188,2024,11.70099,2.92006,11.29428,0.90711,0.09289,2.11719,0.16252,1837,189
quite_sure,1875,93,1968,11.95089,1.33274,10.97817,0.95274,0.04726,2.22368,0.08268,1876,94
very_happy,603,1288,1891,3.80027,21.29953,10.54353,0.31888,0.68112,0.74426,1.19172,604,1289
as_important,1095,790,1885,6.95287,12.97864,10.50966,0.5809,0.4191,1.35581,0.73327,1096,791
as_high,891,950,1841,5.6457,15.65202,10.26129,0.48398,0.51602,1.12959,0.90285,892,951
too_high,190,1646,1836,1.15389,27.28121,10.23306,0.10349,0.89651,0.24153,1.56858,191,1647
so_easy,1355,376,1731,8.61888,6.06128,9.64036,0.78278,0.21722,1.827,0.38005,1356,377
as_easy,1463,238,1701,9.31091,3.75549,9.47102,0.86008,0.13992,2.00741,0.24481,1464,239
that_bad,1531,97,1628,9.74664,1.39958,9.05895,0.94042,0.05958,2.19491,0.10425,1532,98
too_bad,925,673,1598,5.86356,11.02374,8.88961,0.57885,0.42115,1.35102,0.73686,926,674
as_much,680,833,1513,4.29367,13.69711,8.40981,0.44944,0.55056,1.04898,0.96328,681,834
very_hard,80,1224,1304,0.44904,20.23018,7.23005,0.06135,0.93865,0.14319,1.6423,81,1225
too_small,275,1024,1299,1.69854,16.88846,7.20183,0.2117,0.7883,0.49411,1.37924,276,1025
much_different,1065,223,1288,6.76064,3.50486,7.13973,0.82686,0.17314,1.92988,0.30293,1066,224
as_big,830,446,1276,5.25483,7.23088,7.072,0.65047,0.34953,1.51818,0.61155,831,447
so_lucky,1071,168,1239,6.79909,2.58589,6.86314,0.86441,0.13559,2.01751,0.23724,1072,169
that_good,1071,168,1239,6.79909,2.58589,6.86314,0.86441,0.13559,2.01751,0.23724,1072,169
too_busy,87,1148,1235,0.49389,18.96032,6.84056,0.07045,0.92955,0.16442,1.62638,88,1149
yet_ready,1205,0,1205,7.65772,-0.22116,6.67122,1.0,0.0,2.33398,0.0,1206,1
always_easy,1134,36,1170,7.20277,0.38035,6.47365,0.96923,0.03077,2.26216,0.05384,1135,37
pretty_good,23,1136,1159,0.0838,18.75982,6.41156,0.01984,0.98016,0.04632,1.71492,24,1137
so_great,438,718,1156,2.743,11.77562,6.39462,0.37889,0.62111,0.88433,1.08671,439,719
very_different,252,853,1105,1.55117,14.03129,6.10674,0.22805,0.77195,0.53227,1.35063,253,854
as_likely,207,896,1103,1.26282,14.74976,6.09545,0.18767,0.81233,0.43802,1.42128,208,897
even_sure,1092,2,1094,6.93365,-0.18774,6.04465,0.99817,0.00183,2.32971,0.0032,1093,3
as_simple,717,363,1080,4.53075,5.84407,5.96562,0.66389,0.33611,1.5495,0.58807,718,364
yet_available,1076,0,1076,6.83112,-0.22116,5.94304,1.0,0.0,2.33398,0.0,1077,1
no_different,0,1060,1060,-0.06358,17.48997,5.85273,0.0,1.0,0.0,1.74964,1,1061
that_easy,978,55,1033,6.20317,0.69782,5.70032,0.94676,0.05324,2.20971,0.09316,979,56
so_important,324,706,1030,2.01252,11.57512,5.68338,0.31456,0.68544,0.73418,1.19927,325,707
very_pleased,67,960,1027,0.36574,15.81911,5.66645,0.06524,0.93476,0.15227,1.63549,68,961
that_simple,855,166,1021,5.41502,2.55247,5.63258,0.83741,0.16259,1.95451,0.28447,856,167
still_alive,58,948,1006,0.30807,15.6186,5.54791,0.05765,0.94235,0.13456,1.64876,59,949
very_strong,157,828,985,0.94243,13.61357,5.42937,0.15939,0.84061,0.37201,1.47076,158,829
all_bad,943,32,975,5.9789,0.31352,5.37292,0.96718,0.03282,2.25738,0.05742,944,33
too_good,364,606,970,2.26883,9.90426,5.3447,0.37526,0.62474,0.87584,1.09307,365,607
too_big,253,695,948,1.55757,11.39133,5.22051,0.26688,0.73312,0.62289,1.2827,254,696
quite_ready,899,21,920,5.69696,0.12973,5.06246,0.97717,0.02283,2.2807,0.03994,900,22
so_strong,158,754,912,0.94884,12.37713,5.0173,0.17325,0.82675,0.40435,1.44652,159,755
too_expensive,83,827,910,0.46826,13.59686,5.00601,0.09121,0.90879,0.21288,1.59006,84,828
too_old,191,712,903,1.1603,11.67537,4.9665,0.21152,0.78848,0.49368,1.37956,192,713
as_close,316,572,888,1.96126,9.33617,4.88183,0.35586,0.64414,0.83056,1.12702,317,573
even_close,860,27,887,5.44706,0.22998,4.87618,0.96956,0.03044,2.26293,0.05326,861,28
so_different,502,380,882,3.1531,6.12811,4.84796,0.56916,0.43084,1.32841,0.75381,503,381
very_concerned,67,780,847,0.36574,12.81156,4.65039,0.0791,0.9209,0.18462,1.61124,68,781
as_effective,642,204,846,4.05018,3.1874,4.64475,0.75887,0.24113,1.77117,0.4219,643,205
very_close,76,758,834,0.42341,12.44397,4.57701,0.09113,0.90887,0.21269,1.5902,77,759
so_high,173,661,834,1.04496,10.82323,4.57701,0.20743,0.79257,0.48415,1.3867,174,662
well_aware,5,821,826,-0.03154,13.49661,4.53185,0.00605,0.99395,0.01413,1.73905,6,822
all_right,19,805,824,0.05817,13.22927,4.52056,0.02306,0.97694,0.05382,1.70929,20,806
really_sure,812,7,819,5.13949,-0.1042,4.49234,0.99145,0.00855,2.31403,0.01495,813,8
too_low,32,771,803,0.14147,12.66118,4.40202,0.03985,0.96015,0.09301,1.67991,33,772
too_happy,632,159,791,3.9861,2.43551,4.33429,0.79899,0.20101,1.86482,0.3517,633,160
that_different,774,14,788,4.89599,0.01277,4.31735,0.98223,0.01777,2.29251,0.03108,775,15
as_great,613,169,782,3.86435,2.6026,4.28348,0.78389,0.21611,1.82958,0.37812,614,170
very_proud,30,715,745,0.12865,11.7255,4.07463,0.04027,0.95973,0.09399,1.67918,31,716
too_young,80,655,735,0.44904,10.72298,4.01818,0.10884,0.89116,0.25404,1.5592,81,656
so_hard,248,471,719,1.52554,7.6486,3.92786,0.34492,0.65508,0.80504,1.14615,249,472
very_high,231,488,719,1.4166,7.93264,3.92786,0.32128,0.67872,0.74986,1.18751,232,489
so_happy,220,498,718,1.34612,8.09973,3.92222,0.30641,0.69359,0.71515,1.21354,221,499
immediately_possible,716,0,716,4.52435,-0.22116,3.91093,1.0,0.0,2.33398,0.0,717,1
almost_impossible,1,708,709,-0.05717,11.60854,3.87142,0.00141,0.99859,0.00329,1.74717,2,709
too_worried,657,33,690,4.14629,0.33023,3.76416,0.95217,0.04783,2.22235,0.08368,658,34
too_long,270,420,690,1.6665,6.79646,3.76416,0.3913,0.6087,0.9133,1.065,271,421
very_clear,163,525,688,0.98088,8.55086,3.75288,0.23692,0.76308,0.55296,1.33512,164,526
as_sharp,617,70,687,3.88998,0.94845,3.74723,0.89811,0.10189,2.09616,0.17827,618,71
that_great,661,22,683,4.17192,0.14643,3.72465,0.96779,0.03221,2.2588,0.05636,662,23
that_hard,666,15,681,4.20396,0.02947,3.71336,0.97797,0.02203,2.28257,0.03854,667,16
as_large,394,285,679,2.46106,4.5408,3.70207,0.58027,0.41973,1.35433,0.73438,395,286
that_big,623,44,667,3.92843,0.51402,3.63434,0.93403,0.06597,2.18001,0.11542,624,45
as_successful,533,125,658,3.35173,1.86742,3.58353,0.81003,0.18997,1.89059,0.33238,534,126
too_hard,331,320,651,2.05738,5.1256,3.54402,0.50845,0.49155,1.18671,0.86004,332,321
so_simple,476,166,642,2.98649,2.55247,3.49322,0.74143,0.25857,1.73049,0.4524,477,167
any_different,450,181,631,2.81989,2.8031,3.43112,0.71315,0.28685,1.66448,0.50188,451,182
readily_available,367,261,628,2.28805,4.13979,3.41419,0.58439,0.41561,1.36396,0.72716,368,262
that_important,575,52,627,3.62086,0.64769,3.40854,0.91707,0.08293,2.14041,0.14511,576,53
so_big,147,475,622,0.87836,7.71543,3.38032,0.23633,0.76367,0.5516,1.33614,148,476
legally_binding,582,26,608,3.66571,0.21327,3.30129,0.95724,0.04276,2.23417,0.07482,583,27
overly_concerned,568,37,605,3.576,0.39706,3.28436,0.93884,0.06116,2.19124,0.107,569,38
entirely_clear,594,9,603,3.74261,-0.07078,3.27307,0.98507,0.01493,2.29914,0.02611,595,10
very_interested,136,466,602,0.80787,7.56506,3.26743,0.22591,0.77409,0.52728,1.35437,137,467
almost_certain,1,593,594,-0.05717,9.68705,3.22227,0.00168,0.99832,0.00393,1.74669,2,594
really_good,135,442,577,0.80146,7.16405,3.12631,0.23397,0.76603,0.54608,1.34028,136,443
as_popular,421,149,570,2.63407,2.26843,3.08679,0.7386,0.2614,1.72387,0.45736,422,150
so_low,40,520,560,0.19273,8.46732,3.03035,0.07143,0.92857,0.16671,1.62466,41,521
as_severe,523,30,553,3.28766,0.2801,2.99083,0.94575,0.05425,2.20736,0.09492,524,31
so_popular,127,424,551,0.7502,6.86329,2.97954,0.23049,0.76951,0.53796,1.34636,128,425
very_positive,32,512,544,0.14147,8.33365,2.94003,0.05882,0.94118,0.13729,1.64672,33,513
very_successful,193,347,540,1.17311,5.57673,2.91745,0.35741,0.64259,0.83418,1.1243,194,348
very_excited,35,501,536,0.16069,8.14986,2.89487,0.0653,0.9347,0.15241,1.63539,36,502
too_concerned,488,47,535,3.06339,0.56415,2.88923,0.91215,0.08785,2.12894,0.15371,489,48
also_likely,2,526,528,-0.05076,8.56757,2.84971,0.00379,0.99621,0.00884,1.74301,3,527
exactly_sure,527,0,527,3.31329,-0.22116,2.84407,1.0,0.0,2.33398,0.0,528,1
even_aware,498,22,520,3.12746,0.14643,2.80455,0.95769,0.04231,2.23523,0.07402,499,23
just_happy,39,479,518,0.18632,7.78227,2.79327,0.07529,0.92471,0.17572,1.61791,40,480
