colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
wonderfully_ironic,3,0,3,-0.1708,-0.0656,-0.11675,1.0,0.0,1.69296,0.0,4,1
now_1-1,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_inclined,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_global,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_fashionable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_essential,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_easy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_competitive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_anxious,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_0-4,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_mature,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
notoriously_cyclical,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
notoriously_bad,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
notionally_italian,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
notably_unsuccessful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
no_great,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
nearly_unrecognizable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
nearly_unheard,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_irrelevant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_mumbai,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
nearly_devoid,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
oddly_silent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_free,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_fraught,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_exaggerated,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_evident,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_busy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_amusing,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
officially_illegal,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
oddly_reminiscent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_obsolete,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
obviously_disappointing,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
obviously_blind,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
obviously_aware,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_wide,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_theirs,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_rich,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
now_punishable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
nearly_unbearable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
