adv,be-ADV-ADJ_positive,cross_context_sum
by_context_sum,374956,374956
very,50781,50781
so,40235,40235
too,34763,34763
as,26743,26743
still,12617,12617
also,10876,10876
pretty,9688,9688
really,8989,8989
quite,6846,6846
just,6819,6819
particularly,6048,6048
extremely,5414,5414
especially,5057,5057
almost,4660,4660
always,4255,4255
now,4246,4246
highly,3430,3430
relatively,3347,3347
all,3147,3147
only,2801,2801
absolutely,2684,2684
often,2674,2674
totally,2448,2448
fairly,2380,2380
already,2376,2376
equally,2231,2231
completely,2090,2090
real,2051,2051
largely,2018,2018
probably,1902,1902
no,1875,1875
virtually,1871,1871
longer,1820,1820
somewhat,1721,1721
increasingly,1567,1567
that,1555,1555
well,1531,1531
nearly,1444,1444
deeply,1396,1396
clearly,1396,1396
certainly,1380,1380
mostly,1261,1261
perfectly,1247,1247
generally,1230,1230
even,1184,1184
politically,1170,1170
truly,1158,1158
much,1130,1130
entirely,1121,1121
rather,1108,1108
usually,1069,1069
fully,1040,1040
simply,911,911
incredibly,905,905
sometimes,832,832
surprisingly,747,747
unusually,730,730
about,727,727
bit,726,726
remarkably,705,705
definitely,678,678
partly,676,676
actually,640,640
terribly,638,638
obviously,618,618
indeed,579,579
essentially,575,575
long,553,553
mentally,551,551
overly,544,544
downright,534,534
slightly,531,531
reasonably,502,502
basically,473,473
utterly,458,458
finally,447,447
awfully,445,445
extraordinarily,441,441
apparently,436,436
far,421,421
decidedly,412,412
fundamentally,410,410
heavily,405,405
notoriously,404,404
legally,403,403
currently,401,401
physically,400,400
purely,395,395
readily,391,391
potentially,389,389
merely,386,386
sufficiently,384,384
mainly,379,379
painfully,376,376
similarly,367,367
widely,366,366
easily,364,364
enormously,363,363
financially,361,361
practically,360,360
once,359,359
immediately,348,348
wildly,344,344
seriously,341,341
plain,321,321
inherently,319,319
dead,319,319
exceptionally,318,318
overwhelmingly,314,314
strictly,313,313
technically,312,312
primarily,303,303
openly,302,302
cautiously,301,301
genuinely,294,294
profoundly,291,291
wide,290,290
sexually,284,284
half,281,281
typically,279,279
morally,277,277
again,273,273
ever,272,272
tremendously,263,263
consistently,257,257
any,252,252
keenly,251,251
grossly,247,247
immensely,246,246
acutely,244,244
thoroughly,243,243
emotionally,239,239
suddenly,237,237
understandably,236,236
somehow,234,234
intensely,231,231
vastly,229,229
exceedingly,228,228
predominantly,219,219
then,217,217
critically,215,215
roughly,212,212
directly,207,207
personally,206,206
ultimately,205,205
strikingly,203,203
initially,202,202
wholly,202,202
mildly,201,201
perhaps,200,200
economically,197,197
dangerously,196,196
hugely,194,194
wonderfully,193,193
positively,192,192
woefully,190,190
damn,186,186
doubly,183,183
naturally,181,181
eerily,180,180
conspicuously,177,177
hiv,176,176
either,176,176
reportedly,176,176
sharply,176,176
nonetheless,173,173
severely,169,169
pleasantly,164,164
plenty,164,164
amazingly,164,164
uniformly,158,158
strongly,157,157
socially,155,155
unbelievably,153,153
historically,149,149
frequently,148,148
notably,146,146
instantly,146,146
fiercely,145,145
racially,143,143
oddly,143,143
hopelessly,143,143
officially,141,141
distinctly,135,135
necessarily,135,135
therefore,134,134
near,131,131
visibly,130,130
eminently,130,130
unexpectedly,129,129
partially,129,129
strangely,129,129
visually,126,126
substantially,125,125
dramatically,125,125
yet,124,124
comparatively,124,124
normally,123,123
otherwise,123,123
plainly,122,122
way,120,120
firmly,120,120
surely,120,120
traditionally,120,120
exactly,116,116
literally,116,116
extra,116,116
deliberately,115,115
terminally,112,112
patently,111,111
intellectually,109,109
uncharacteristically,107,107
fiscally,106,106
uniquely,106,106
moderately,106,106
little,105,105
up,104,104
mighty,104,104
sadly,104,104
likely,103,103
greatly,103,103
medically,102,102
vaguely,102,102
constantly,102,102
broadly,101,101
radically,101,101
noticeably,100,100
there,99,99
ridiculously,99,99
statistically,97,97
appropriately,97,97
home,96,96
mutually,96,96
abundantly,95,95
undeniably,95,95
commercially,95,95
markedly,95,95
academically,95,95
predictably,94,94
chronically,93,93
marginally,93,93
significantly,92,92
occasionally,92,92
quietly,91,91
vitally,90,90
nevertheless,89,89
publicly,88,88
nowhere,88,88
deceptively,87,87
brutally,87,87
environmentally,86,86
desperately,86,86
refreshingly,86,86
right,84,84
prohibitively,83,83
effectively,83,83
theoretically,83,83
first,83,83
unfailingly,83,83
constitutionally,82,82
recently,82,82
forever,82,82
crystal,82,82
astonishingly,82,82
genetically,82,82
altogether,82,82
badly,81,81
previously,81,81
fatally,80,80
universally,79,79
quickly,79,79
thus,78,78
excessively,77,77
unduly,77,77
relentlessly,77,77
gravely,76,76
alternately,75,75
solely,75,75
frankly,75,75
famously,75,75
soon,74,74
technologically,74,74
blatantly,73,73
solidly,73,73
supposedly,71,71
disproportionately,69,69
awful,68,68
suitably,68,68
bitterly,68,68
characteristically,68,68
psychologically,67,67
closely,67,67
kinda,66,66
shockingly,66,66
narrowly,66,66
invariably,65,65
startlingly,65,65
spectacularly,64,64
undoubtedly,64,64
simultaneously,63,63
