colloc,be-ADV-ADJ_positive
about_84th,1
about_self-exploration,1
absolutely_apparent,3
absolutely_atrocious,4
absolutely_lovable,1
all_focused,2
all_strategic,2
allegedly_tortured,2
almost_four-tenths,1
almost_idle,1
almost_serene,8
also_absent,10
also_optional,3
also_rhetorical,1
also_right,41
also_slow,13
always_disruptive,3
always_embracing,1
always_fast,3
always_frightened,1
always_glorious,2
always_routine,1
amazingly_calm,1
amazingly_high,3
amazingly_stable,1
as_awful,14
as_dispassionate,1
as_glum,2
as_good\/they,1
as_mum,1
as_possible,9
as_satisfied,2
as_southern,7
as_stingy,4
attractively_spare,1
basically_tribal,1
beguilingly_romantic,1
behaviorally_active,1
believably_weary,1
boyishly_handsome,2
characteristically_hard,1
classic_hallmark,1
clearly_apparent,2
clearly_harmful,2
clearly_multi-ethnic,1
cleverly_disguised,1
completely_devastating,1
completely_unsettled,1
convincingly_subterranean,1
damned_honest,1
darn_happy,1
decidedly_uncool,2
decidedly_western,3
definitely_astounding,1
definitely_exotic,1
definitely_special,2
definitely_unintentional,1
distressingly_bland,1
downright_gabby,1
downright_low-down,1
downright_painful,2
downright_unfriendly,1
easily_approachable,1
effectively_creepy,1
either_disproportionate,1
emotionally_abusive,1
endearing_sarcasm,1
enjoyably_unappetizing,1
entirely_respectable,1
entirely_unfamiliar,1
equally_expensive,1
equally_unimpressed,2
especially_hopeful,2
especially_prickly,2
especially_vital,5
essentially_nice,1
even_embarrassed,3
even_kidlike,1
even_unsocialized,1
ever_apparent,1
ever_liable,1
extensively_focus-grouped,1
extremely_brave,1
extremely_dissapointed,1
extremely_fond,12
extremely_unique,1
extremely_unpopular,8
fairly_worthless,1
finally_complete,9
frankly_bored,1
frighteningly_slow,1
generally_biblically,1
generally_young,2
genially_amusing,1
grinning_wide,1
heavily_lopsided,1
hideously_drab,1
highly_correlated,1
highly_potent,1
home_free,71
hugely_visual,1
idly_curious,1
immediately_enthusiastic,2
increasingly_affordable,1
increasingly_perplexed,1
incredibly_narrow,1
infinitely_popular,1
infinitely_rearrangeable,1
intrinsically_unpredictable,1
involuntarily_intoxicated,3
just_heartsick,2
justly_proud,8
largely_barren,2
largely_uncharted,1
laughably_old,1
lilly_white,1
longer_dangerous,3
longer_equitable,1
longer_insecure,1
memorably_bizarre,1
mercifully_unsentimental,1
merely_satisfactory,1
merely_social,2
mildly_likable,1
mildly_negative,8
morally_outrageous,1
much_compatible,1
mutually_enthused,1
near_tornado-strength,1
night-and-day_different,1
nonetheless_glamorous,1
nonetheless_misleading,1
notoriously_generous,1
notoriously_hit-or-miss,1
now_apparent,17
now_eligible,26
now_green,1
now_incumbent,5
now_inoperable,1
now_threatened,1
now_tumor-free,1
nutritionally_deficient,2
obviously_bent,1
obviously_clear,1
obviously_dreadful,1
obviously_helpful,2
often_floral,1
often_obsolete,5
often_uninformative,1
once_lush,1
only_arrogant,1
only_hard,2
only_l9,1
only_long,4
only_realistic,3
only_resentful,1
only_sixteen,1
overly_cute,2
overly_impressive,2
overwhelmingly_disappointing,1
particularly_ascendant,1
particularly_fortunate,3
particularly_irresponsible,2
particularly_right,1
particularly_undesirable,1
particularly_untouchable,1
perfectly_exempt,1
