adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,just,relatively,completely,always,particularly,almost,only,far,now,all,increasingly,truly,slightly,incredibly,fairly,rather,especially,well,totally,absolutely,often,somewhat,super,entirely,already,that,equally,no,fully,mostly,potentially,nearly,long,largely,perfectly,deeply,seemingly,sometimes,politically,actually,generally,immediately,usually,probably,both,significantly,easily,never,least,ever,surprisingly,overly,currently,partly,simply,once,otherwise
SUM,34258325,3900314,3774288,3063195,2228478,2083036,1483931,1427026,795464,783894,622311,514467,449897,438602,414921,387862,368511,345832,315018,253207,251815,250116,240541,226751,186486,181618,177934,177580,174146,168124,165762,159124,155737,155108,153964,151679,145471,141110,138937,134935,121045,117897,116064,111855,99814,98641,97639,97237,92573,88070,83366,82406,80692,74802,73451,68966,62831,60616,60580,56213,55415,54455,54102,53999,53863,50643,49092,48701,48406,48381,47869,47638,47596,46958,43805,42794
good,1115333,251015,8047,2208,56471,52165,97982,22705,97441,106600,93603,1058,48431,9207,10678,3899,7481,6370,19,4439,2736,210,19310,6695,525,5414,19137,577,7797,269,1348,5311,1412,4182,1728,3890,303,180,336,1627,1184,726,151,977,8187,1793,9182,35,761,695,227,489,63,3821,18,319,735,19,3667,2776,59,2269,6381,1078,3428,106,1772,153,572,3023,25,78,20,691,167,639
many,961487,8138,128,51,457632,21657,166393,176337,199,86,20,20,2088,418,94,14,109473,364,0,133,40,11,33,35,21,199,87,341,21,46,24,2,15,7,66,47,121,3,11,180,1,0,3,91,1585,38,3,3,6,140,13,45,0,2,10,15,51,3,70,15,16,43,271,9,4,16,7,55,80,122,5,20,1,15,72,27
important,869607,142289,120712,294625,39699,9047,39973,5071,27327,730,2495,9912,229,25414,2161,20161,7416,3465,1803,975,87,22,3608,10254,23,1571,21,217,1486,8687,1711,59,6182,406,727,13961,51,48,332,202,460,1720,16,58,3064,11447,2,1,42,743,14,238,12,1,300,77,70,450,493,41,31,89,173,334,101,0,48,1197,193,79,49,18,0,44,101,51
much,813715,17282,41,9,239564,29392,141956,232628,1177,103,21998,5,385,161,32,16,113351,152,0,27,15,0,31,8,0,31,23,74,45,5,10,0,27,18,18,9,49,1,1,41,1,1,1,17,7753,4,14,0,2,17,1,80,3,1,0,5,2,1,53,13,0,34,51,3,1,1,290,4,60,9,14,16,0,8,4,9
likely,411764,13892,193189,76054,342,23261,12531,448,186,202,497,54264,355,7131,2922,745,608,1421,4948,69,16,5,426,410,8,992,107,1059,389,1997,11,8,57,191,52,542,29,6,7,61,342,13,207,115,56,913,5,1,404,8,2,47,1,13,0,8,2,7,152,16,12,19,100,114,12,2,384,4484,732,4,7,38,1,23,11,40
more,407684,23,592,37,1118,6763,1097,15,1713,136816,4,84,77741,994,27,41,18,3701,3,2779,258,4,951,24,652,880,40296,1513,347,699,71,7551,11,2,765,30,456,13,50,738,918,1,8,335,8,3,35641,3,37,424,49,42,14,1,0,103,473,9,898,181,13,423,2417,86,5708,44,770,27,2673,21,0,51,4,251,6620,41
easy,374455,46820,2781,599,33440,48112,27830,15164,10946,51199,11898,721,7129,5158,6958,4491,2202,864,16,1632,11312,90,11158,775,248,789,4262,1708,712,431,172,661,3500,6808,1200,479,37,122,97,1399,765,8426,68,94,5250,311,379,5,84,68,9,81,4,102,2,282,534,91,1009,672,23,933,707,665,720,3,4510,12,322,1797,35,30,2,214,70,44
different,353470,88791,4723,514,14802,1761,3696,2051,2467,17185,789,77,117,1459,16432,798,1910,236,64,1933,49,40239,786,126,27,349,4357,188,2475,51,448,21033,371,222,1976,50,79,18522,338,382,4301,60,17386,72,3059,43,8929,37,65,116,6,11,90,18,53,209,106,24,230,65,27,108,244,115,3929,6,18,24,21,162,8,1,14,198,16,20
difficult,338317,77054,89253,31229,10382,9330,6324,10895,7153,237,2290,2176,290,1628,5947,16166,3194,1422,196,435,287,17,2285,4179,154,276,13,188,224,8006,351,255,4423,522,2020,2734,31,11,40,4649,1294,153,17,1078,2524,569,7,1,18,330,34,89,4,0,23,97,2424,784,254,186,4,290,113,162,22,0,88,140,21,523,231,92,2,57,38,329
