hit_id,sent_id,match_id,colloc_id,sent_text,token_str,lemma_str,context_prev_id,context_prev_sent,context_next_id,context_next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg,dep_mod,json_source
nyt_eng_19941130_0405_32:3-4-5,nyt_eng_19941130_0405_32,3-4-5,nyt_eng_19941130_0405_32:4-5,"It is not always clear in court why certain jurors are dropped from the panel, since attorneys discuss such matters at sidebar with the judge.","it is not always clear in court why certain jurors are dropped from the panel , since attorneys discuss such matters at sidebar with the judge .","it be not always clear in court why certain juror are drop from the panel , since attorney discuss such matter at sidebar with the judge .",nyt_eng_19941130_0405_31,-LBQ-  Does he know that?  -RDQ-,nyt_eng_19941130_0405_33,"Among the two other jurors who heard Brown's comments, one also had strong suspicions about prosecution witnesses, and the other worked as a probation officer and had definite views about people in domestic violence situations.",not,always,clear,not,always,clear,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'clear', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'clear', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'always', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941130_0403_32:3-4-5,nyt_eng_19941130_0403_32,3-4-5,nyt_eng_19941130_0403_32:4-5,"It is not always clear in court why certain jurors are dropped from the panel, since attorneys discuss such matters at sidebar with the judge.","it is not always clear in court why certain jurors are dropped from the panel , since attorneys discuss such matters at sidebar with the judge .","it be not always clear in court why certain juror are drop from the panel , since attorney discuss such matter at sidebar with the judge .",nyt_eng_19941130_0403_31,-LBQ-  Does he know that?  -RDQ-,nyt_eng_19941130_0403_33,"Among the two other jurors who heard Brown's comments, one also had strong suspicions about prosecution witnesses, and the other worked as a probation officer and had definite views about people in domestic violence situations.",not,always,clear,not,always,clear,2,3,4,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'clear', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 2, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'clear', 'ix': 4, 'xpos': 'JJ'}, 'target': {'lemma': 'always', 'ix': 3, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941130_0354_41:4-5-6,nyt_eng_19941130_0354_41,4-5-6,nyt_eng_19941130_0354_41:5-6,-LBQ-  It's not too simplistic.,`` It 's not too simplistic .,`` it be not too simplistic .,nyt_eng_19941130_0354_40,"We are really pleased to carry it,  -RDQ-  said Gregory Hruska, merchandising manager for Brentano's.",nyt_eng_19941130_0354_42,It plays to the middle ground.  -RDQ-,not,too,simplistic,not,too,simplistic,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'simplistic', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 3, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'simplistic', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941130_0335_41:4-5-6,nyt_eng_19941130_0335_41,4-5-6,nyt_eng_19941130_0335_41:5-6,-LBQ-  It's not too simplistic.,`` It 's not too simplistic .,`` it be not too simplistic .,nyt_eng_19941130_0335_40,"We are really pleased to carry it,  -RDQ-  said Gregory Hruska, merchandising manager for Brentano's.",nyt_eng_19941130_0335_42,It plays to the middle ground.  -RDQ-,not,too,simplistic,not,too,simplistic,3,4,5,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'simplistic', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 3, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'simplistic', 'ix': 5, 'xpos': 'JJ'}, 'target': {'lemma': 'too', 'ix': 4, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941130_0169_28:13-17-18,nyt_eng_19941130_0169_28,13-17-18,nyt_eng_19941130_0169_28:17-18,"Two of the patients are white, one is black, and none of them are obviously rich.","two of the patients are white , one is black , and none of them are obviously rich .","two of the patient be white , one be black , and none of they be obviously rich .",nyt_eng_19941130_0169_27,"One is an elderly woman -LRB- Estelle Parsons -RRB- kept alive by fantasies spun by her drudge of a daughter -LRB- Marlo Thomas -RRB-, and one is a gay man -LRB- Jamey Sheridan -RRB-, supported by his younger lover -LRB- Raphael Sbarge -RRB- and visited during the play by the ball-of-fire former wife -LRB- Mercedes Ruehl -RRB- he could never love as much as she loved him.",nyt_eng_19941130_0169_29,"Political correctness is observed, though no one ever explains who's paying the bills.",none,obviously,rich,none,obviously,rich,12,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'nsubj', 'head': {'lemma': 'rich', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'none', 'ix': 12, 'xpos': 'NN'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'rich', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'obviously', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941130_0168_37:17-19-20,nyt_eng_19941130_0168_37,17-19-20,nyt_eng_19941130_0168_37:19-20,Yet the successful parody can also delight someone whose knowledge of the thing being parodied is not all that great.,yet the successful parody can also delight someone whose knowledge of the thing being parodied is not all that great .,yet the successful parody can also delight someone whose knowledge of the thing being parody be not all that great .,nyt_eng_19941130_0168_36,"In part, I suppose, it appeals to a primal need to burlesque established icons, and an urge to deflate reputations, thereby to force re-examinations of what have become given, if often dusty, truths.",nyt_eng_19941130_0168_38,"I think of my own amusement with David Ives's  -LBQ-  Philip Glass Buys a Loaf of Bread,  -RDQ-  a musical sketch in  -LBQ-  All in the Timing.  -RDQ-",not,that,great,not,that,great,16,18,19,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'great', 'ix': 19, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 16, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'great', 'ix': 19, 'xpos': 'JJ'}, 'target': {'lemma': 'that', 'ix': 18, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941129_0422_19:24-25-26,nyt_eng_19941129_0422_19,24-25-26,nyt_eng_19941129_0422_19:25-26,"American Airlines Chairman Robert Crandall, who defends the industry's safety record as well as anyone, says that Americans  -LBQ-  aren't yet prepared to accept the reality that to have optimum safety, lower priorities must be assigned to other elements of the air transportation system such as convenience  -RDQ-  -- not to mention price.","American Airlines Chairman Robert Crandall , who defends the industry 's safety record as well as anyone , says that Americans `` are n't yet prepared to accept the reality that to have optimum safety , lower priorities must be assigned to other elements of the air transportation system such as convenience '' -- not to mention price .","American Airlines Chairman Robert Crandall , who defend the industry 's safety record as well as anyone , say that Americans `` be not yet prepared to accept the reality that to have optimum safety , lower priority must be assign to other element of the air transportation system such as convenience '' -- not to mention price .",nyt_eng_19941129_0422_18,"It's especially true this time of year, when inclement weather and holiday crowds put enormous pressure to land, taxi and take off as quickly as possible.",nyt_eng_19941129_0422_20,Most of the time it doesn't seem necessary.,not,yet,prepared,n't,yet,prepared,23,24,25,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'prepared', 'ix': 25, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 23, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'prepared', 'ix': 25, 'xpos': 'JJ'}, 'target': {'lemma': 'yet', 'ix': 24, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941129_0363_71:13-17-18,nyt_eng_19941129_0363_71,13-17-18,nyt_eng_19941129_0363_71:17-18,"Two of the patients are white, one is black, and none of them are obviously rich.","two of the patients are white , one is black , and none of them are obviously rich .","two of the patient be white , one be black , and none of they be obviously rich .",nyt_eng_19941129_0363_70,"One is an elderly woman -LRB- Estelle Parsons -RRB- kept alive by fantasies spun by her drudge of a daughter -LRB- Marlo Thomas -RRB-, and one is a gay man -LRB- Jamey Sheridan -RRB-, supported by his younger lover -LRB- Raphael Sbarge -RRB- and visited during the play by the ball-of-fire former wife -LRB- Mercedes Ruehl -RRB- he could never love as much as she loved him.",nyt_eng_19941129_0363_72,"Political correctness is observed, though no one ever explains who's paying the bills.",none,obviously,rich,none,obviously,rich,12,16,17,"{'node': 'neg', 'contiguous': False, 'relation': 'nsubj', 'head': {'lemma': 'rich', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'none', 'ix': 12, 'xpos': 'NN'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'rich', 'ix': 17, 'xpos': 'JJ'}, 'target': {'lemma': 'obviously', 'ix': 16, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941129_0363_37:17-19-20,nyt_eng_19941129_0363_37,17-19-20,nyt_eng_19941129_0363_37:19-20,Yet the successful parody can also delight someone whose knowledge of the thing being parodied is not all that great.,yet the successful parody can also delight someone whose knowledge of the thing being parodied is not all that great .,yet the successful parody can also delight someone whose knowledge of the thing being parody be not all that great .,nyt_eng_19941129_0363_36,"In part, I suppose, it appeals to a primal need to burlesque established icons, and an urge to deflate reputations, thereby to force re-examinations of what have become given, if often dusty, truths.",nyt_eng_19941129_0363_38,"I think of my own amusement with David Ives's  -LBQ-  Philip Glass Buys a Loaf of Bread,  -RDQ-  a musical sketch in  -LBQ-  All in the Timing.  -RDQ-",not,that,great,not,that,great,16,18,19,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'great', 'ix': 19, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 16, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'great', 'ix': 19, 'xpos': 'JJ'}, 'target': {'lemma': 'that', 'ix': 18, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
nyt_eng_19941129_0299_19:24-25-26,nyt_eng_19941129_0299_19,24-25-26,nyt_eng_19941129_0299_19:25-26,"American Airlines Chairman Robert Crandall, who defends the industry's safety record as well as anyone, says that Americans  -LBQ-  aren't yet prepared to accept the reality that to have optimum safety, lower priorities must be assigned to other elements of the air transportation system such as convenience  -RDQ-  -- not to mention price.","American Airlines Chairman Robert Crandall , who defends the industry 's safety record as well as anyone , says that Americans `` are n't yet prepared to accept the reality that to have optimum safety , lower priorities must be assigned to other elements of the air transportation system such as convenience '' -- not to mention price .","American Airlines Chairman Robert Crandall , who defend the industry 's safety record as well as anyone , say that Americans `` be not yet prepared to accept the reality that to have optimum safety , lower priority must be assign to other element of the air transportation system such as convenience '' -- not to mention price .",nyt_eng_19941129_0299_18,"It's especially true this time of year, when inclement weather and holiday crowds put enormous pressure to land, taxi and take off as quickly as possible.",nyt_eng_19941129_0299_20,Most of the time it doesn't seem necessary.,not,yet,prepared,n't,yet,prepared,23,24,25,"{'node': 'neg', 'contiguous': False, 'relation': 'neg', 'head': {'lemma': 'prepared', 'ix': 25, 'xpos': 'JJ'}, 'target': {'lemma': 'not', 'ix': 23, 'xpos': 'RB'}}","{'node': 'mod', 'contiguous': True, 'relation': 'advmod', 'head': {'lemma': 'prepared', 'ix': 25, 'xpos': 'JJ'}, 'target': {'lemma': 'yet', 'ix': 24, 'xpos': 'RB'}}",/share/compling/projects/sanpi/demo/data/1_json_grew-matches/contig/nyt5.sans-relay/nyt_eng_199411.json
