hit_id,adv_form,adj_form,token_str,text_window,masked,scores,moderate_total,precise_total,compare_total,weak_intense_total,meas_intense_total,mod_intense_total,good_intense_total,epistemic_total,serious_intense_total,observable_total,fear_intense_total,taboo_intense_total,absurd_intense_total,crazy_intense_total,disbelief_intense_total,unease_intense_total,excess_intense_total,max_intense_total,EDM_Morzycki_total,Mmod_SoltWilson_total,negative_total,positive_total,NPS_total,PS_rescuer_total,PPS_total,comparative_sample_total,sufficient_sample_total,intense_sample_total,min_threshold_sample_total,max_threshold_sample_total,extreme_sample_total
pcc_eng_29_109.6137_x1750132_071:20-21,so,interesting,"And once I did realize that I even recognized my participation yesterday was so on tight that 's , so interesting that 's great that 's awesome .","that 's , so interesting that 's great","And once I did realize that I even recognized my participation yesterday was so on tight that 's , [MASK] interesting that 's great that 's awesome .","{'so': 0.41390150785446167, 'something': 0.08517950028181076, 'how': 0.0838310495018959, 'really': 0.03219177946448326, 'but': 0.030202209949493408, 'very': 0.026893597096204758, 'pretty': 0.019031915813684464, 'yet': 0.011446838267147541, 'totally': 0.010902969166636467, 'and': 0.009539769031107426, 'just': 0.008852790109813213, 'plus': 0.007723396643996239, 'im': 0.007139558903872967, 'kinda': 0.00703128706663847, 'oh': 0.0065944320522248745, 'damn': 0.006161449942737818, 'absolutely': 0.0057157063856720924, 'somewhere': 0.005470846313983202, 'fucking': 0.005407052114605904, 'incredibly': 0.0046440474689006805, 'well': 0.004472451750189066, 'truly': 0.004439354408532381, 'extremely': 0.003523097839206457, 'freaking': 0.0033374126069247723, 'definitely': 0.0032429182901978493, 'an': 0.003161747707054019, 'seriously': 0.0031456390861421824, 'still': 0.003082779236137867, 'somehow': 0.003015012014657259, 'more': 0.002756106900051236}",0.0,0.0,0.00276,0.05909,0.0,0.00352,0.0,0.00768,0.00315,0.0,0.0,0.00541,0.0,0.0,0.00464,0.0,0.0,0.0109,0.01457,0.02606,0.0,0.0,0.01145,0.0,0.02606,0.00276,0.4139,0.06261,0.0,0.0,0.01457
pcc_eng_29_108.3660_x1735168_303:24-25,very,costly,"In the current system , you have to reverify people 's eligibility every three months , every six months , so it is very costly .",so it is very costly .,"In the current system , you have to reverify people 's eligibility every three months , every six months , so it is [MASK] costly .","{'less': 0.3493741750717163, 'extremely': 0.10168958455324173, 'not': 0.0825195237994194, 'very': 0.06538043171167374, 'too': 0.04882275313138962, 'more': 0.04337518289685249, 'quite': 0.03336421772837639, 'highly': 0.02403533272445202, 'rather': 0.02333717979490757, 'incredibly': 0.012833239510655403, 'relatively': 0.012747221626341343, 'equally': 0.009092617779970169, 'potentially': 0.008689343929290771, 'fairly': 0.008129756897687912, 'overly': 0.00784381479024887, 'somewhat': 0.006995754316449165, 'often': 0.006245219148695469, 'comparatively': 0.0049551911652088165, 'always': 0.004565872251987457, 'most': 0.004296125844120979, 'especially': 0.0038561122491955757, 'terribly': 0.0038340336177498102, 'hardly': 0.0037061169277876616, 'pretty': 0.0035075428895652294, 'inherently': 0.0034363758750259876, 'particularly': 0.003209139220416546, 'considered': 0.0031075698789209127, 'extra': 0.0030674694571644068, 'usually': 0.0030358987860381603, 'considerably': 0.002905593253672123}",0.0,0.0,0.39705,0.09874,0.02404,0.10875,0.0,0.0,0.0,0.0,0.00383,0.0,0.0,0.0,0.01283,0.0,0.00784,0.0,0.0,0.04197,0.08623,0.01385,0.0,0.04882,0.04197,0.40979,0.04882,0.20364,0.0,0.0,0.0
pcc_eng_29_108.5000_x1737347_16:24-25,entirely,unsophisticated,"They point out that he never did receive terrorist training and say his trip to Yemen at the age of 21 was "" entirely unsophisticated . ""","21 was "" entirely unsophisticated . ""","They point out that he never did receive terrorist training and say his trip to Yemen at the age of 21 was "" [MASK] unsophisticated . ""","{'totally': 0.12066654860973358, 'completely': 0.07967870682477951, 'utterly': 0.06395968049764633, 'virtually': 0.06037767976522446, 'wholly': 0.05631673336029053, 'largely': 0.05558297038078308, 'absolutely': 0.03481200337409973, 'entirely': 0.024369467049837112, 'profoundly': 0.019472792744636536, 'practically': 0.019236495718359947, 'basically': 0.018826594576239586, 'essentially': 0.01814541220664978, 'morally': 0.016773568466305733, 'politically': 0.015890667214989662, 'sadly': 0.012377871200442314, 'fundamentally': 0.0120190205052495, 'simply': 0.011814394034445286, 'extremely': 0.010866423137485981, 'almost': 0.01035563088953495, 'highly': 0.010180089622735977, 'remarkably': 0.009804438799619675, 'thoroughly': 0.00933405477553606, 'somewhat': 0.007989361882209778, 'very': 0.007789157330989838, 'deeply': 0.007498464081436396, 'relatively': 0.007320970296859741, 'incredibly': 0.007209600415080786, 'altogether': 0.007142519578337669, 'decidedly': 0.0067163254134356976, 'apparently': 0.006292314734309912}",0.0,0.0,0.0,0.00779,0.07326,0.03524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00721,0.0,0.0,0.2643,0.04663,0.00799,0.0,0.0,0.0,0.0,0.07195,0.00732,0.0,0.01866,0.0,0.07968,0.03481
pcc_eng_29_108.5030_x1737398_096:24-25,very,anti-right,"And in that Academy - I speak with internal knowledge - what prevails in every branch of social and historical study is some very anti-right wing Hegelianism , belief , that the real is rational .","study is some very anti-right wing Hegelianism ,","And in that Academy - I speak with internal knowledge - what prevails in every branch of social and historical study is some [MASK] anti-right wing Hegelianism , belief , that the real is rational .","{'pure': 0.023998968303203583, 'fundamental': 0.020450204610824585, 'radical': 0.0198315791785717, 'fundamentally': 0.014415910467505455, 'of': 0.013889245688915253, 'purely': 0.012463669292628765, 'profound': 0.00961040984839201, 'basic': 0.009194359183311462, 'decidedly': 0.009014438837766647, 'wholly': 0.008965771645307541, 'genuine': 0.008496793918311596, 'distinctly': 0.00751152727752924, 'primitive': 0.007239095866680145, 'underlying': 0.006917938124388456, 'strong': 0.006874167360365391, 'profoundly': 0.006480117328464985, 'essentially': 0.006320634391158819, 'very': 0.0060234977863729, 'extreme': 0.005991654004901648, 'true': 0.005991499871015549, 'serious': 0.005597555544227362, 'great': 0.005508664064109325, 'false': 0.005377220921218395, 'absolute': 0.004819468595087528, 'strongly': 0.0046480814926326275, 'militant': 0.004641395527869463, ',': 0.004539475776255131, 'peculiar': 0.004263977520167828, 'simple': 0.0042333416640758514, 'radically': 0.00414012186229229}",0.0,0.0,0.0,0.00602,0.00465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00602,0.0,0.0,0.0
pcc_eng_29_108.5553_x1738245_37:3-4,not,normal,What is not normal is if you experience any :,What is not normal is if you,What is [MASK] normal is if you experience any :,"{'considered': 0.11845995485782623, 'truly': 0.08984960615634918, 'really': 0.06898053735494614, 'normally': 0.04155804589390755, 'essentially': 0.03489599749445915, 'strictly': 0.030034560710191727, 'called': 0.028110891580581665, 'perfectly': 0.025624627247452736, 'usually': 0.022350963205099106, 'not': 0.020186984911561012, 'deemed': 0.01818278431892395, 'actually': 0.018049942329525948, 'absolutely': 0.017676977440714836, 'basically': 0.017134880647063255, 'almost': 0.015414114110171795, 'completely': 0.012188243679702282, 'more': 0.011605478823184967, 'fully': 0.010135416872799397, 'typically': 0.00917167030274868, 'totally': 0.008860229514539242, 'exactly': 0.008644542656838894, 'generally': 0.008037534542381763, 'very': 0.007447951938956976, 'reasonably': 0.006945751141756773, 'always': 0.006577450316399336, 'nearly': 0.005398770794272423, 'quite': 0.0052654012106359005, 'a': 0.0051988339982926846, 'termed': 0.005168904550373554, 'entirely': 0.004894315730780363}",0.00695,0.00864,0.01161,0.08169,0.0,0.00489,0.0,0.1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04667,0.01768,0.0,0.02019,0.07966,0.00864,0.0,0.0,0.01161,0.0,0.08169,0.0,0.04795,0.01768
pcc_eng_29_109.3703_x1746211_02:2-3,completely,independent,"A completely independent , not-for-profit community radio station , PBS 106.7 FM relies on listener support to stay in orbit .","A completely independent , not-for-profit community","A [MASK] independent , not-for-profit community radio station , PBS 106.7 FM relies on listener support to stay in orbit .","{'nominally': 0.08285363018512726, 'financially': 0.07369421422481537, 'nationally': 0.07080395519733429, 'small': 0.03311726823449135, 'largely': 0.03216172009706497, 'nonprofit': 0.029134467244148254, 'local': 0.02715998888015747, 'statewide': 0.026819664984941483, 'politically': 0.0214372631162405, 'wholly': 0.021109940484166145, 'federally': 0.019955845549702644, 'locally': 0.01709580607712269, 'fully': 0.016265273094177246, 'publicly': 0.014479614794254303, 'completely': 0.011626140214502811, 'partially': 0.010596159845590591, 'commercially': 0.0102338045835495, 'canadian': 0.009900448843836784, 'primarily': 0.008612698875367641, 'private': 0.008450726978480816, 'smaller': 0.008053906261920929, 'public': 0.00749972416087985, 'free': 0.007435324136167765, 'privately': 0.007194258272647858, 'legally': 0.007009277120232582, 'national': 0.006788203958421946, 'strictly': 0.006282149814069271, 'relatively': 0.006125812418758869, 'subscription': 0.005885419901460409, 'christian': 0.005849495530128479}",0.0106,0.0,0.0,0.0,0.03216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00613,0.0,0.0,0.0106,0.02789,0.0
pcc_eng_29_109.4926_x1748158_04:4-5,Too,Late,Before It 's Too Late,Before It 's Too Late,Before It 's [MASK] Late,"{'too': 0.9559857845306396, 'getting': 0.005691434722393751, 'so': 0.004521361086517572, 'very': 0.0015473976964130998, 'ever': 0.0014022173127159476, 'pretty': 0.0013599060475826263, 'really': 0.0011575781973078847, 'coming': 0.0011512566125020385, 'already': 0.0010387829970568419, 'raining': 0.0008858188521116972, 'till': 0.0006062491447664797, 'running': 0.0005774699966423213, 'always': 0.0005473226774483919, 'that': 0.0005401700036600232, 'past': 0.0005272488342598081, 'quite': 0.00046158270561136305, 'up': 0.00040223042014986277, 'not': 0.000388939690310508, 'morning': 0.00038143270649015903, 'gone': 0.000365223124390468, 'got': 0.00031788271735422313, 'all': 0.0003177336184307933, 'day': 0.00028458895394578576, 'my': 0.00028053828282281756, 'gotten': 0.00027850488550029695, 'still': 0.0002591604716144502, 'noon': 0.00023259370937012136, 'midnight': 0.00022674462525174022, 'dead': 0.00022634773631580174, 'this': 0.0002237574226455763}",0.0,0.0,0.0,0.00317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,0.00039,0.00055,0.0014,0.95599,0.00136,0.0,0.96051,0.00317,0.0,0.0,0.0
pcc_eng_29_108.3943_x1735636_16:6-7,most,online,"To prevent such abuse , most online poker bonuses feature rules placed on them , such as the fact that you have to play a particular number of hands before these money is ' released ' and can be withdrawn .","such abuse , most online poker bonuses feature","To prevent such abuse , [MASK] online poker bonuses feature rules placed on them , such as the fact that you have to play a particular number of hands before these money is ' released ' and can be withdrawn .","{'some': 0.3585883677005768, 'many': 0.042115919291973114, 'most': 0.04209090396761894, 'traditional': 0.02753268927335739, 'online': 0.02274031937122345, 'certain': 0.016660844907164574, 'uk': 0.014654960483312607, 'various': 0.014631450176239014, 'poker': 0.012961170636117458, 'premium': 0.010018959641456604, 'regular': 0.00974350143224001, 'competitive': 0.007611032575368881, 'all': 0.007341329474002123, 'the': 0.007231373805552721, 'popular': 0.0069500841200351715, 'special': 0.006181939505040646, 'existing': 0.006018523592501879, 'multiplayer': 0.005561244674026966, 'casino': 0.00541780237108469, 'several': 0.00540865957736969, 'monthly': 0.0048478818498551846, 'multiple': 0.004705375991761684, 'live': 0.0043718949891626835, 'professional': 0.004268154967576265, 'newer': 0.004225544165819883, 'paid': 0.0040580155327916145, 'gambling': 0.003984011244028807, 'these': 0.0038564547430723906, 'typical': 0.003726889146491885, 'numerous': 0.003386199474334717}",0.0,0.0,0.04209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35859,0.0,0.0,0.0,0.04209,0.0,0.0,0.0,0.0,0.0
pcc_eng_29_109.1301_x1742407_15:16-17,most,desirable,"Those items are available on both the ES and SE trim levels , but the most desirable upgrades are reserved for the latter .",", but the most desirable upgrades are reserved","Those items are available on both the ES and SE trim levels , but the [MASK] desirable upgrades are reserved for the latter .","{'most': 0.8531609773635864, 'least': 0.05288263037800789, 'more': 0.028728215023875237, 'only': 0.016853051260113716, 'less': 0.008409975096583366, 'few': 0.004262955859303474, 'highly': 0.0025860522873699665, 'remaining': 0.0021293333265930414, 'other': 0.0018731720047071576, 'highest': 0.0014678220031782985, 'lowest': 0.0013733910163864493, 'socially': 0.0009616173920221627, 'maximum': 0.0009418532135896385, 'best': 0.0009272489114664495, 'lesser': 0.0008494632202200592, 'commercially': 0.0007867676904425025, 'economically': 0.00074804323958233, 'fewer': 0.0007460260530933738, 'technically': 0.0006217248155735433, 'generally': 0.0005455529317259789, 'very': 0.0005216797580942512, 'last': 0.0005019064992666245, 'above': 0.00043085296056233346, 'nearest': 0.0004284820461180061, 'potentially': 0.00042081327410414815, 'otherwise': 0.00040222809184342623, 'earliest': 0.0003920441959053278, 'closest': 0.0003864171158056706, 'minimum': 0.00033755559707060456, 'higher': 0.00033139323932118714}",0.0,0.0,0.94318,0.00052,0.00259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01685,0.0,0.94318,0.0,0.00052,0.0,0.0,0.0
pcc_eng_29_109.6336_x1750445_3:5-6,not,eligible,This means you are not eligible for any subsidies on the federal health exchanges under the Affordable Care Act .,means you are not eligible for any subsidies,This means you are [MASK] eligible for any subsidies on the federal health exchanges under the Affordable Care Act .,"{'not': 0.5530563592910767, 'automatically': 0.10768069326877594, 'legally': 0.03654202073812485, 'fully': 0.029193522408604622, 'directly': 0.02609085664153099, 'also': 0.02223515883088112, 'currently': 0.018691962584853172, 'still': 0.01667535863816738, 'only': 0.014121306128799915, 'now': 0.01352789904922247, 'already': 0.010206623934209347, 'potentially': 0.009475580416619778, 'technically': 0.006088007241487503, 'partially': 0.004911480005830526, 'federally': 0.004451792221516371, 'financially': 0.004422012250870466, 'actually': 0.004358286969363689, 'indirectly': 0.00392695888876915, 'made': 0.003483694512397051, 'permanently': 0.0033953669480979443, 'equally': 0.003113037208095193, 'longer': 0.0026453486643731594, 'therefore': 0.002521551912650466, 'essentially': 0.0023229392245411873, 'additionally': 0.002280101180076599, 'thus': 0.002150570973753929, 'thereby': 0.001985023031011224, 'effectively': 0.001978905638679862, 'officially': 0.0019641376566141844, 'temporarily': 0.001963907154276967}",0.00491,0.0,0.0,0.0,0.0,0.0,0.0,0.00436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55306,0.0,0.0,0.01412,0.0,0.0,0.0,0.0,0.00491,0.02919,0.0
