colloc,CD>no; JJ>CD; JJ>RB,JJ>JJ,JJ>RB,JJ>RBR,JJ>RBS,JJ>WRB,JJ>never; JJ>RB,JJ>none; JJ>RB,JJ>not; JJ>RB,JJR>RB,JJS>RB,NN>no; JJ>NN; JJ>RB,NNS>few; JJ>NNS; JJ>RB,NNS>no; JJ>NNS; JJ>RB,VB>not; JJ>RB; believe>JJ,VB>not; JJ>RB; think>JJ,VBZ>nothing; JJ>RB; look>JJ,SUM
As_great,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Extra_Fresh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
all_connected,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
always_sure,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
as_craven,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
as_crazy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
as_long,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
as_loyal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
as_red,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
decorously_chaste,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
entirely_compatible,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ever_active,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ever_safe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_American,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_L.A.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_adventurous,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_alarming,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_alike,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
exactly_analogous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_appropriate,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
exactly_available,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_average,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_backwards,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_bare,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_buoyant,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_calm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_carefree,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_certain,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_cheap,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
exactly_chivalrous,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_civilized,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_clear,0,0,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,12
exactly_comparable,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
exactly_connected,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_consistent,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_contrary,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_coterminous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_craggy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_difficult,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_disposable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_diverse,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
exactly_dull,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_earthshaking,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_easy,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
exactly_empty,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_enough,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_epic,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_equal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_excited,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_fabulous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_fast,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_fat,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_finest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
exactly_flawless,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_gabby,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
exactly_good,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_hard,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_healthy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_helpful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_high-tech,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_identical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_important,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_impressed,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_keen,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_listenable,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_monochromatic,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_necessary,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_new,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_non-partisan,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_opposite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_overwhelming,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_perfect,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
exactly_proud,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_quiet,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_real,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
exactly_related,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_revolutionary,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_right,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
exactly_same,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_scientific,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_serene,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_shocked,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_shocking,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_similar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_slow,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_smooth,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_stable,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_standard,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_strong,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_stylish,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_subtle,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_sure,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,44
exactly_teachable,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_timely,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_true,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
exactly_typecast,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_typical,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_ugly,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_unblemished,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_unknown,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_uplifting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
exactly_welcome,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_widespread,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
exactly_wonderful,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_world-wise,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_worried,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
exactly_wrong,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
far_less,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
how_busy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
individually_handmade,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
just_enough,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
just_fine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
less_gloomy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
more_irrational,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
more_obvious,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
most_glaring,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
most_intense,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
most_obvious,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
most_recognizable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
no_more,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
not_able,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_identical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
not_useful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
