dep_str_mask,As_great,Extra_Fresh,all_connected,always_sure,as_craven,as_crazy,as_long,as_loyal,as_red,decorously_chaste,entirely_compatible,ever_active,ever_safe,exactly_American,exactly_L.A.,exactly_adventurous,exactly_alarming,exactly_alike,exactly_analogous,exactly_appropriate,exactly_available,exactly_average,exactly_backwards,exactly_bare,exactly_buoyant,exactly_calm,exactly_carefree,exactly_certain,exactly_cheap,exactly_chivalrous,exactly_civilized,exactly_clear,exactly_comparable,exactly_connected,exactly_consistent,exactly_contrary,exactly_coterminous,exactly_craggy,exactly_difficult,exactly_disposable,exactly_diverse,exactly_dull,exactly_earthshaking,exactly_easy,exactly_empty,exactly_enough,exactly_epic,exactly_equal,exactly_excited,exactly_fabulous,exactly_fast,exactly_fat,exactly_finest,exactly_flawless,exactly_gabby,exactly_good,exactly_hard,exactly_healthy,exactly_helpful,exactly_high-tech,exactly_identical,exactly_important,exactly_impressed,exactly_keen,exactly_listenable,exactly_monochromatic,exactly_necessary,exactly_new,exactly_non-partisan,exactly_normal,exactly_opposite,exactly_overwhelming,exactly_perfect,exactly_proud,exactly_quiet,exactly_real,exactly_related,exactly_revolutionary,exactly_right,exactly_same,exactly_scientific,exactly_serene,exactly_shocked,exactly_shocking,exactly_similar,exactly_slow,exactly_smooth,exactly_stable,exactly_standard,exactly_strong,exactly_stylish,exactly_subtle,exactly_sure,exactly_teachable,exactly_timely,exactly_true,exactly_typecast,exactly_typical,exactly_ugly,exactly_unblemished,exactly_unknown,exactly_uplifting,exactly_welcome,exactly_widespread,exactly_wonderful,exactly_world-wise,exactly_worried,exactly_wrong,far_less,how_busy,individually_handmade,just_enough,just_fine,less_gloomy,more_irrational,more_obvious,most_glaring,most_intense,most_obvious,most_recognizable,no_more,not_able,not_identical,not_sure,not_useful,often_crummy,once_higher,positively_poreless,potentially_crappy,pretty_aromatic,pretty_astonishing,pretty_clear,pretty_close,pretty_great,pretty_sure,purely_medicinal,quite_appropriate,quite_tranquil,severely_high,so_many,so_massive,that_dramatic,truly_sure,very_atypical,very_partisan,very_proper,very_slim,why_early,SUM
CD>no; JJ>CD; JJ>RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JJ>JJ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JJ>RB,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,179
JJ>RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
JJ>RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
JJ>WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
JJ>never; JJ>RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JJ>none; JJ>RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JJ>not; JJ>RB,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,1,1,0,0,1,0,1,1,5,1,0,1,0,0,1,1,0,2,1,1,2,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,2,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,22,1,1,2,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100
JJR>RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
