adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
good,465,1421.06,9327.03,0,6,26,147,153427,660793,6.563427031964552,153427,141,358.5,-205.5,35.985060643483905,6.325396444205383
many,465,1249.38,14708.94,0,0,1,8,271886,580960,11.773025817086621,271886,8,20.0,-12.0,4.138721915857355,1.8796271157325795
much,465,1150.45,11586.59,0,0,0,3,151384,534960,10.071340722807168,151384,3,7.5,-4.5,2.590604817528523,1.471493927460071
important,465,1132.88,10085.44,0,1,7,40,179656,526789,8.902483793228011,179656,39,98.5,-57.5,11.968702271848061,2.9574190716903157
likely,465,538.57,6074.78,0,0,0,4,116466,250437,11.279375169239664,116466,4,10.0,-6.0,3.350889199594971,1.5904633302721882
more,465,533.08,4695.16,0,0,3,24,82087,247882,8.807623638187371,82087,24,60.0,-36.0,8.020109192073434,2.4307326383911803
easy,465,461.08,2639.46,0,1,6,34,28391,214403,5.724493024202655,28391,33,83.5,-48.5,11.351324792303535,3.081610363632414
difficult,465,458.25,3723.86,0,1,6,41,57138,213088,8.126190746477219,57138,40,101.0,-59.0,11.303982072196096,3.2324178984666228
different,465,454.03,2966.36,0,2,7,43,52946,211126,6.533334898845602,52946,41,104.5,-59.5,13.867425422158856,3.7218990917766
high,465,441.6,2474.34,0,3,13,85,34000,205342,5.60317539194751,34000,82,208.0,-120.0,21.249012040742258,4.740070624213347
popular,465,420.56,4550.37,0,0,3,19,93732,195561,10.819754683722062,93732,19,47.5,-28.5,7.278414157960422,2.375805341958555
available,465,417.1,2491.0,0,0,2,24,29243,193951,5.972214348254682,29243,24,60.0,-36.0,7.667093946123809,2.239803890321393
sure,465,382.04,5334.88,0,0,0,3,112912,177648,13.964235602944969,112912,3,7.5,-4.5,3.16058683589508,1.5431990484258828
bad,465,374.29,2112.37,0,2,9,44,21963,174047,5.643605081527698,21963,42,107.0,-61.0,13.594083690806459,3.7966400657082064
happy,465,278.85,2088.0,0,1,4,25,36645,129663,7.488039481287452,36645,24,61.0,-35.0,8.739377470531629,2.7241332910778886
clear,465,275.91,1790.77,0,1,4,29,23557,128298,6.490418809933779,23557,28,71.0,-41.0,8.959522751621938,2.7900403898074764
close,465,272.06,1750.47,0,1,5,33,26876,126509,6.434089999612844,26876,32,81.0,-47.0,10.745311012947322,3.3104212322501514
common,465,269.04,2991.37,0,0,1,7,60190,125104,11.118641882759615,60190,7,17.5,-10.5,4.145819920542117,1.8702745254319784
hard,465,265.69,1594.4,0,1,4,30,24516,123545,6.0010044119765436,24516,29,73.5,-42.5,9.318845988130331,2.8801720322500146
effective,465,262.77,2299.63,0,1,5,21,33437,122187,8.751567792823003,33437,20,51.0,-29.0,8.268419781025072,2.952863698092806
strong,465,248.89,1672.33,0,2,8,39,31023,115736,6.7190296226468735,31023,37,94.5,-53.5,12.497750856720302,3.5739671676263707
big,465,248.14,1577.02,0,0,2,19,20144,115383,6.355487786102365,20144,19,47.5,-28.5,6.533828380161512,2.318896709940631
great,465,247.22,1312.72,0,1,4,23,15713,114959,5.309858783830802,15713,22,56.0,-32.0,8.606760912106637,2.7817042039211204
small,465,245.48,1758.65,0,1,5,26,27298,114150,7.16400786137362,27298,25,63.5,-36.5,8.879908900812595,2.892288923047727
expensive,465,244.2,2068.86,0,0,2,11,34755,113551,8.47214140159034,34755,11,27.5,-16.5,5.067547563575151,2.063649232687032
little,465,242.07,2831.43,0,0,1,6,55284,112562,11.69679398170677,55284,6,15.0,-9.0,3.2986421757787627,1.7254565130399715
low,465,233.18,1307.11,0,2,9,44,20551,108428,5.605637712645665,20551,42,107.0,-61.0,13.708201332473129,3.7780615640172335
interesting,465,231.85,1847.46,0,0,3,18,24490,107812,7.968199328840528,24490,18,45.0,-27.0,6.659319775228152,2.526193294502855
powerful,465,227.37,2253.87,0,0,3,14,40490,105728,9.912708028112503,40490,14,35.0,-21.0,6.189161837127646,2.4146833348172088
large,465,218.74,1321.24,0,1,4,33,20169,101713,6.040310895119552,20169,32,81.0,-47.0,9.52652494900871,2.9116307723908275
successful,465,215.23,1601.25,0,1,5,34,29043,100080,7.439837861869025,29043,33,83.5,-48.5,9.458719433161544,2.815382453010604
recent,465,207.59,3590.43,0,0,0,1,75985,96531,17.295475643513598,75985,1,2.5,-1.5,1.6409235190274234,1.2185948414484742
simple,465,204.88,1394.54,0,0,4,19,19548,95267,6.806776063889781,19548,19,47.5,-28.5,7.370873271059601,2.6025815686344385
enough,465,202.48,2527.95,0,0,1,11,53276,94154,12.48485266903243,53276,11,27.5,-16.5,4.715060046429809,1.9066174431093235
able,465,202.38,1689.03,0,0,2,21,34362,94105,8.34600129019089,34362,21,52.5,-31.5,6.313770733715085,2.0989266567791875
interested,465,182.73,1152.4,0,0,3,19,15650,84971,6.3064391996897635,15650,19,47.5,-28.5,7.0483292474491135,2.389724224439731
serious,465,178.68,1529.43,0,0,2,10,23324,83084,8.559816776757417,23324,10,25.0,-15.0,5.050479562981426,2.1907645072244364
possible,465,175.86,1077.41,0,0,2,15,19077,81776,6.126434103611428,19077,15,37.5,-22.5,5.766335632156935,2.029651242159222
excited,465,174.72,1309.73,0,0,1,7,17872,81243,7.4963454955174775,17872,7,17.5,-10.5,4.465984879869829,1.9097466327769672
new,465,168.59,986.73,0,0,2,15,10017,78395,5.8527999615907556,10017,15,37.5,-22.5,6.23448515885876,2.3228175541007077
dangerous,465,166.39,1144.24,0,1,4,16,16495,77370,6.876946082869386,16495,15,38.5,-21.5,7.011148081141675,2.722160105855393
comfortable,465,156.13,1407.93,0,0,2,12,27266,72600,9.017752764302307,27266,12,30.0,-18.0,5.141753015756436,2.071665794624715
few,465,155.74,1868.69,0,0,1,5,38626,72417,11.999147168997341,38626,5,12.5,-7.5,3.0721098427158315,1.648926803807882
true,465,155.08,1003.69,0,0,3,21,17942,72114,6.471943575899063,17942,21,52.5,-31.5,7.25871160395793,2.495187322535616
aware,465,154.96,1022.96,0,0,3,17,14568,72057,6.601369168386982,14568,17,42.5,-25.5,6.969114313219501,2.4884596463622426
nice,465,151.86,1357.73,0,0,1,7,24453,70615,8.94066172037481,24453,7,17.5,-10.5,3.965465615975025,1.7988117648885609
long,465,149.67,1246.78,0,0,3,20,24020,69596,8.330242430660212,24020,20,50.0,-30.0,6.6691094592083715,2.415766054301981
concerned,465,146.51,799.96,0,0,2,18,12077,68127,5.4601263051259465,12077,18,45.0,-27.0,6.39761849232943,2.2588257599502626
beautiful,465,145.64,1189.95,0,0,3,17,23030,67723,8.1704290772203,23030,17,42.5,-25.5,7.133114300441397,2.5589388431449955
worth,465,142.86,1047.51,0,0,1,9,14707,66432,7.332176944297592,14707,9,22.5,-13.5,4.186148128701546,1.7568996449639698
open,465,132.44,812.01,0,1,4,23,12715,61586,6.1310229242253635,12715,22,56.0,-32.0,7.562982057297847,2.6617564325452054
young,465,130.62,951.09,0,0,2,10,14128,60738,7.281384766949406,14128,10,25.0,-15.0,4.871696049377835,2.0882760235735836
significant,465,128.41,1111.85,0,0,2,12,21340,59709,8.65885063796852,21340,12,30.0,-18.0,5.017812696606122,2.1048653804899233
