ADV,ADJ,p1_counts,p1_counts,ratio_p1,ratio_p2,total
now,surprising,3,1,0.75,0.25,4
completely,empty,3,1,0.75,0.25,4
as,accurate,3,1,0.75,0.25,4
still,effective,3,1,0.75,0.25,4
always,sure,3,1,0.75,0.25,4
just,true,6,2,0.75,0.25,8
otherwise,able,3,1,0.75,0.25,4
furthermore,obvious,3,1,0.75,0.25,4
always,perfect,3,1,0.75,0.25,4
additionally,intrusive,3,1,0.75,0.25,4
so,blissful,3,1,0.75,0.25,4
ago,respectable,3,1,0.75,0.25,4
as,heroic,3,1,0.75,0.25,4
always,final,3,1,0.75,0.25,4
that,straightforward,9,3,0.75,0.25,12
fully,compatible,6,2,0.75,0.25,8
even,certain,6,2,0.75,0.25,8
as,sensitive,12,4,0.75,0.25,16
as,crucial,3,1,0.75,0.25,4
entirely,believable,6,2,0.75,0.25,8
just,smart,3,1,0.75,0.25,4
as,bad,21,7,0.75,0.25,28
even,innocent,3,1,0.75,0.25,4
quite,same,3,1,0.75,0.25,4
often,advantageous,3,1,0.75,0.25,4
really,frustrated,3,1,0.75,0.25,4
sexually,explicit,6,2,0.75,0.25,8
far,responsible,3,1,0.75,0.25,4
obviously,hostile,6,2,0.75,0.25,8
again,necessary,3,1,0.75,0.25,4
that,concerned,3,1,0.75,0.25,4
here,exciting,3,1,0.75,0.25,4
just,vital,3,1,0.75,0.25,4
really,new,6,2,0.75,0.25,8
here,critical,3,1,0.75,0.25,4
particularly,heavy,9,3,0.75,0.25,12
normally,available,3,1,0.75,0.25,4
certainly,correct,3,1,0.75,0.25,4
now,enough,3,1,0.75,0.25,4
nearly,gritty,3,1,0.75,0.25,4
however,new,6,2,0.75,0.25,8
real,comfortable,3,1,0.75,0.25,4
now,sure,6,2,0.75,0.25,8
as,scrupulous,6,2,0.75,0.25,8
exactly,excruciating,3,1,0.75,0.25,4
elsewhere,able,3,1,0.75,0.25,4
really,necessary,9,3,0.75,0.25,12
quite,prepared,3,1,0.75,0.25,4
as,large,3,1,0.75,0.25,4
as,breathtaking,3,1,0.75,0.25,4
very,optimistic,3,1,0.75,0.25,4
clearly,expensive,6,2,0.75,0.25,8
really,theatrical,3,1,0.75,0.25,4
quite,flashy,3,1,0.75,0.25,4
even,workable,6,2,0.75,0.25,8
just,right,33,11,0.75,0.25,44
as,edgy,6,2,0.75,0.25,8
very,impressive,3,1,0.75,0.25,4
either,happy,6,2,0.75,0.25,8
so,lucky,15,5,0.75,0.25,20
so,congenial,6,2,0.75,0.25,8
that,pleasant,6,2,0.75,0.25,8
real,sharp,3,1,0.75,0.25,4
then,worried,18,6,0.75,0.25,24
always,simple,6,2,0.75,0.25,8
so,risky,6,2,0.75,0.25,8
also,worried,3,1,0.75,0.25,4
as,momentous,3,1,0.75,0.25,4
as,wide,3,1,0.75,0.25,4
plainly,american,12,4,0.75,0.25,16
real,popular,3,1,0.75,0.25,4
seems,nagging,6,2,0.75,0.25,8
as,annoying,3,1,0.75,0.25,4
enough,close,3,1,0.75,0.25,4
simply,true,21,7,0.75,0.25,28
enough,radical,3,1,0.75,0.25,4
only,naive,3,1,0.75,0.25,4
certainly,many,3,1,0.75,0.25,4
yet,comfortable,3,1,0.75,0.25,4
all,one-size-fits,6,2,0.75,0.25,8
apparently,recognizable,3,1,0.75,0.25,4
exactly,clear,3,1,0.75,0.25,4
just,ready,6,2,0.75,0.25,8
so,desperate,3,1,0.75,0.25,4
enough,persistent,3,1,0.75,0.25,4
very,calculating,3,1,0.75,0.25,4
second,convinced,12,4,0.75,0.25,16
factually,true,3,1,0.75,0.25,4
mentally,strong,3,1,0.75,0.25,4
too,long,21,7,0.75,0.25,28
surely,bashful,6,2,0.75,0.25,8
quite,dead,6,2,0.75,0.25,8
so,efficient,12,4,0.75,0.25,16
always,lucky,3,1,0.75,0.25,4
always,congenial,6,2,0.75,0.25,8
that,crazy,6,2,0.75,0.25,8
ultimately,important,6,2,0.75,0.25,8
really,abreast,6,2,0.75,0.25,8
sometimes,concerned,3,1,0.75,0.25,4
quite,blind,3,1,0.75,0.25,4
primarily,domestic,12,4,0.75,0.25,16
proportionally,overwhelming,3,1,0.75,0.25,4
real,vocal,3,1,0.75,0.25,4
as,frequent,3,1,0.75,0.25,4
directly,responsible,3,1,0.75,0.25,4
absolutely,boring,6,2,0.75,0.25,8
even,aware,12,4,0.75,0.25,16
exactly,fearsome,3,1,0.75,0.25,4
even,close,15,5,0.75,0.25,20
comparatively,bad,3,1,0.75,0.25,4
entirely,appealing,3,1,0.75,0.25,4
so,willing,6,2,0.75,0.25,8
always,happy,3,1,0.75,0.25,4
too,disappointed,3,1,0.75,0.25,4
as,afraid,6,2,0.75,0.25,8
always,high,30,10,0.75,0.25,40
just,embarrassing,3,1,0.75,0.25,4
always,necessary,6,2,0.75,0.25,8
as,certain,3,1,0.75,0.25,4
blatantly,violent,3,1,0.75,0.25,4
that,clear,12,4,0.75,0.25,16
very,effective,3,1,0.75,0.25,4
as,expensive,3,1,0.75,0.25,4
only,dimwitted,9,3,0.75,0.25,12
thus,incompatible,3,1,0.75,0.25,4
