ADV,ADJ,p1_counts
b'all',b'short-term',6
b'as',b'bad',803
b'very',b'difficult',4174
b'very',b'similar',697
b'as',b'relentless',19
b'too',b'late',4116
b'as',b'adventurous',11
b'just',b'grateful',89
b'still',b'capable',159
b'only',b'5-7-3',1
b'too',b'perfect',62
b'too',b'hip',8
b'already',b'crazy',2
b'now',b'sure-footed',1
b'as',b'convincing',31
b'as',b'good',3726
b'always',b'weak',1
b'predominantly',b'black',89
b'also',b'noteworthy',45
b'always',b'unhappy',6
b'probably',b'right',424
b'always',b'funny',27
b'too',b'gruff',1
b'too',b'costly',374
b'too',b'high',2780
b'very',b'fair',99
b'especially',b'impressive',76
b'terribly',b'abused',2
b'still',b'concerned',262
b'all',b'right',1726
b'all',b'happy',29
b'really',b'unique',23
b'very',b'good',3904
b'too',b'quick',373
b'financially',b'responsible',21
b'so',b'optimistic',99
b'too',b'small',1969
b'vastly',b'different',194
b'often',b'hard',218
b'often',b'ambiguous',7
b'as',b'aggressive',161
b'equally',b'important',209
b'so',b'controversial',97
b'very',b'tough',636
b'very',b'happy',2331
b'too',b'generous',93
b'clearly',b'visible',143
b'so',b'broad',186
b'quite',b'useful',35
b'only',b'advisory',17
b'too',b'comprehensive',1
b'so',b'enraged',39
b'partly',b'fluid',2
b'as',b'revolutionary',12
b'almost',b'certain',1203
b'no',b'good',561
b'as',b'much',1429
b'very',b'conservative',239
b'increasingly',b'conservative',6
b'hardly',b'unique',144
b'quite',b'unnerved',1
b'only',b'natural',541
b'really',b'wonderful',64
b'so',b'cool',233
b'just',b'frustrated',28
b'very',b'flattering',70
b'too',b'exclusionary',2
b'so',b'bleak',39
b'totally',b'different',435
b'always',b'interested',152
b'now',b'bleak',4
b'fairly',b'new',74
b'probably',b'counterproductive',6
b'occasionally',b'guilty',2
b'clearly',b'premature',6
b'so',b'strong',1479
b'practically',b'impossible',63
b'very',b'funny',311
b'too',b'low',1237
b'very',b'typical',31
b'so',b'extreme',111
b'so',b'great',1559
b'just',b'ornery',4
b'as',b'nettlesome',1
b'perfectly',b'normal',135
b'so',b'worried',298
b'too',b'old',1295
b'very',b'well-known',19
b'barely',b'aware',28
b'otherwise',b'upbeat',1
b'once',b'esoteric',3
b'very',b'exciting',545
b'still',b'possible',700
b'fairly',b'substantial',15
b'relatively',b'strong',64
b'excruciatingly',b'slow',19
b'unusually',b'high',161
b'extraordinarily',b'low',13
b'so',b'mixed',9
b'particularly',b'strong',377
b'also',b'good',400
b'heavily',b'dependent',191
b'so',b'frustrated',185
b'particularly',b'acute',219
b'very',b'touching',37
b'so',b'good',2197
b'particularly',b'compelling',16
b'hugely',b'talented',1
b'appropriately',b'inept',1
b'all',b'shocked',13
b'too',b'rosy',24
b'as',b'wrong',48
b'really',b'sad',173
b'pretty',b'careful',16
b'pretty',b'likely',15
b'ever',b'convinced',1
b'real',b'hard',166
b'so',b'p.c.',4
b'well',b'aware',1590
b'very',b'careful',919
b'very',b'serious',626
b'really',b'important',799
b'so',b'domineering',5
b'very',b'different',1849
b'as',b'visceral',2
b'very',b'hard',2470
b'ever',b'present',50
b'very',b'normal',35
b'rarely',b'straightforward',4
b'still',b'sound',43
b'almost',b'unreasonable',3
b'even',b'willing',102
b'occasionally',b'tedious',1
b'exceptionally',b'warm',2
b'first',b'online',3
b'very',b'real',343
b'largely',b'unwilling',8
b'quietly',b'brutal',3
b'financially',b'healthy',40
b'startlingly',b'humble',4
b'mostly',b'composites',4
b'too',b'alarmist',6
b'so',b'complicated',180
b'genetically',b'susceptible',12
b'so',b'different',838
b'largely',b'unknown',118
b'gruesomely',b'clear',3
b'very',b'angry',306
b'nearly',b'impossible',881
b'highly',b'questionable',37
b'completely',b'deviated',2
b'indeed',b'corrupt',4
b'permanently',b'unconscious',3
b'so',b'sick',233
b'flatly',b'right',3
b'too',b'wonky',3
b'chronically',b'high',8
b'almost',b'sure',204
b'insufficiently',b'deferential',6
b'too',b'huge',19
b'fairly',b'obvious',98
b'pretty',b'schlocky',3
b'even',b'true',28
b'indeed',b'prelude',3
b'incredibly',b'damning',4
b'quite',b'touching',9
b'initially',b'tragic',3
b'especially',b'good',212
b'all',b'positive',61
b'that',b'important',123
b'just',b'one-dimensional',3
b'so',b'consistent',58
b'virtually',b'ideal',4
b'definitely',b'possible',25
b'too',b'big',1261
b'pretty',b'important',100
b'just',b'natural',56
b'very',b'important',4514
b'immediately',b'able',8
b'mostly',b'concerned',41
b'equally',b'intriguing',7
b'very',b'lucky',459
b'so',b'exciting',228
b'extremely',b'expensive',76
b'so',b'special',242
b'still',b'weak',200
b'very',b'disappointed',776
b'perfectly',b'adequate',41
b'very',b'discombobulating',2
b'therefore',b'unable',13
b'especially',b'fierce',16
b'sometimes',b'hostile',4
b'very',b'strong',1386
b'very',b'healthy',151
b'practically',b'unaffected',3
b'so',b'difficult',563
b'relatively',b'slow',62
b'very',b'revealing',23
b'notoriously',b'fickle',28
b'pretty',b'depressed',15
b'very',b'reticent',5
b'indeed',b'empty',3
b'simply',b'blasphemous',4
b'as',b'crucial',65
b'barely',b'distinguishable',1854
b'nearly',b'universal',44
b'openly',b'critical',68
b'exceptionally',b'open',3
b'still',b'high',257
b'quite',b'long-term',4
b'as',b'such',7
b'so',b'big',1018
b'just',b'fine',924
b'as',b'intense',92
b'truly',b'remarkable',50
b'technically',b'sound',15
b'too',b'much',3284
b'too',b'strong',526
b'too',b'sleepy',3
b'very',b'cautious',344
b'totally',b'comfortable',27
b'equally',b'fortunate',1
b'also',b'proud',75
b'too',b'busy',2244
b'as',b'prevalent',44
b'so',b'nervous',315
b'very',b'significant',245
b'always',b'tough',126
b'just',b'halfway',5
b'still',b'outstanding',66
b'too',b'dense',17
b'so',b'far-fetched',20
b'very',b'glad',190
b'too',b'confrontational',15
b'really',b'nice',313
b'too',b'high-pressure',2
b'too',b'sensitive',99
b'as',b'hot',139
b'highly',b'successful',130
b'always',b'nice',221
b'especially',b'gratifying',26
b'real',b'upset',22
b'also',b'unable',54
b'highly',b'honored',5
b'truly',b'indebted',1
b'very',b'emotional',240
b'very',b'respectful',68
b'very',b'helpful',466
b'pretty',b'amazing',213
b'no',b'different',2206
b'real',b'positive',19
b'very',b'frustrating',437
b'almost',b'over',203
b'too',b'early',4059
b'rarely',b'consistent',2
b'too',b'nice',142
b'still',b'hard',291
b'just',b'fortunate',50
b'just',b'shocked',53
b'only',b'sorry',23
b'financially',b'prudent',12
b'player-development',b'oriented',1
b'as',b'successful',324
b'pretty',b'neat',102
b'very',b'irritable',2
b'very',b'effective',423
b'also',b'important',770
b'pretty',b'happy',253
b'pretty',b'unique',23
b'just',b'glad',823
b'as',b'heinous',4
b'especially',b'popular',219
b'that',b'simple',542
b'very',b'disturbed',74
b'as',b'demanding',24
b'extremely',b'important',548
b'almost',b'unthinkable',64
b'too',b'stark',13
b'long',b'overdue',741
b'hardly',b'angry',1
b'virtually',b'empty',70
b'as',b'nonconfrontational',2
b'nearly',b'identical',191
b'openly',b'skeptical',38
b'equally',b'unexplicit',1
b'so',b'obvious',267
b'as',b'obvious',71
b'so',b'afraid',302
b'somewhat',b'jaded',2
b'too',b'little',463
b'so',b'bent',25
b'so',b'large',509
b'hopelessly',b'flawed',5
b'highly',b'unlikely',841
b'perfectly',b'proper',20
b'especially',b'useful',173
b'unusually',b'tense',2
b'somewhat',b'true',5
b'much',b'gut-wrenching',1
b'well',b'equipped',4
b'as',b'vulnerable',77
b'typically',b'one-sixth',1
b'really',b'high',73
b'really',b'happy',432
b'unfailingly',b'polite',40
b'so',b'short',225
b'also',b'ambitious',3
b'so',b'ambitious',22
b'highly',b'unusual',429
b'also',b'optimistic',78
b'very',b'slow',235
b'virtually',b'vacant',4
b'completely',b'out',5
b'suddenly',b'worthless',2
b'entirely',b'dead',7
b'too',b'aggressive',240
b'as',b'political',31
b'too',b'narrow',232
b'so',b'vague',119
b'always',b'volatile',5
b'especially',b'important',812
b'almost',b'recession-proof',2
b'quite',b'common',139
b'so',b'hard',1049
b'now',b'safe',66
b'socially',b'responsible',41
b'very',b'nice',597
b'also',b'useful',68
b'so',b'eager',495
b'constantly',b'aware',26
b'essentially',b'exempt',2
b'mighty',b'upset',8
b'largely',b'responsible',522
b'disappointingly',b'low',4
b'awfully',b'hard',113
b'as',b'flat',84
b'very',b'friendly',163
b'just',b'happy',869
b'too',b'tight',214
b'still',b'cold',23
b'too',b'hot',385
b'magnificently',b'visible',5
b'as',b'tough',296
b'thoroughly',b'interwoven',3
b'totally',b'disgusted',9
b'still',b'confident',142
b'now',b'close',68
b'downright',b'giddy',27
b'so',b'skeptical',22
b'very',b'close',1380
b'always',b'multiple',2
b'pretty',b'close',425
b'completely',b'serious',6
b'as',b'loyal',30
b'particularly',b'attractive',134
b'decidedly',b'unimpressive',14
b'as',b'strong',981
b'often',b'unwilling',23
b'relatively',b'new',343
b'hardly',b'impressive',11
b'extremely',b'cheap',32
b'absolutely',b'material',2
b'quite',b'expensive',57
b'perfectly',b'comfortable',38
b'highly',b'tentative',2
b'extremely',b'tentative',2
b'quite',b'serious',65
b'only',b'good',110
b'increasingly',b'willing',66
b'well',b'worth',679
b'so',b'high',1406
b'simply',b'self-aggrandizement',2
b'really',b'big',139
b'very',b'advanced',12
b'just',b'excited',99
b'so',b'beautiful',362
b'totally',b'unbelievable',13
b'very',b'grateful',308
b'distractingly',b'uneven',1
b'too',b'expensive',1560
b'needlessly',b'costly',1
b'so',b'quick',345
b'too',b'embarrassed',159
b'really',b'upset',148
b'usually',b'resistant',5
b'still',b'difficult',158
b'so',b'numerous',74
b'so',b'young',409
b'just',b'average',46
b'completely',b'different',432
b'that',b'tough',31
b'readily',b'apparent',129
b'pretty',b'funny',161
b'very',b'active',351
b'particularly',b'pleased',165
b'still',b'sluggish',52
b'very',b'fortunate',436
b'just',b'unbelievable',217
b'almost',b'impossible',1577
b'awfully',b'quiet',13
b'really',b'sick',85
b'as',b'unconvinced',2
b'very',b'clear',1064
b'firmly',b'committed',64
b'as',b'scarce',79
b'absolutely',b'nuts',5
b'as',b'significant',83
b'hardly',b'grand',1
b'almost',b'uncontestable',1
b'increasingly',b'skeptical',38
b'so',b'popular',985
b'too',b'rich',147
b'practically',b'unheard',21
b'very',b'sincere',45
b'seriously',b'ill',270
b'always',b'instantaneous',2
b'so',b'stunning',35
b'so',b'simple',387
