ADV,ADJ,be-adv-adj_with-not_counts
as,flat,2
only,good,58
that,fine,1
too,helpful,2
as,majestic,2
entirely,stupid,1
really,aware,23
that,important,281
so,easy,593
particularly,articulate,1
even,close,331
too,unhappy,9
that,simple,385
very,democratic,5
necessarily,mine,2
so,sure,2010
invariably,good,1
so,picky,4
truly,happy,2
as,simplistic,5
as,much,295
as,interested,105
directly,confrontational,1
completely,unprecedented,5
entirely,askew,1
totally,silent,1
really,sure,245
particularly,high,13
quite,sure,576
quite,ready,362
even,possible,23
too,fashionable,1
as,bombastic,2
so,much,872
that,grim,2
any,different,190
so,extreme,8
as,visible,33
as,great,313
so,bad,977
as,optimistic,103
necessarily,rosy,4
real,positive,3
strictly,gang-affiliated,2
as,buoyant,14
very,supportive,14
as,special,34
very,different,129
always,friendly,1
completely,clear,38
too,popular,22
as,severe,176
always,easy,499
so,concentrated,1
always,fair,33
as,close,99
as,benign,16
nearly,funny,1
too,low,5
too,early,211
as,effective,252
very,good,1141
as,valuable,33
quite,good,51
bit,surprised,19
as,courteous,2
as,committed,35
entirely,true,73
so,squeamish,9
back,east,1
only,wanton,1
purely,medical,1
entirely,accurate,45
as,high,422
all,bad,470
as,conventional,1
merely,fanciful,1
directly,traceable,1
particularly,subtle,2
very,complex,3
so,presumptuous,3
always,agreeable,1
as,bad,1138
really,violent,2
so,undermanned,1
as,excited,30
as,robust,198
yet,available,325
too,difficult,110
so,upset,15
much,different,464
really,nervous,12
very,likely,110
as,good,1699
sufficiently,strong,6
as,hard,129
particularly,lavish,1
quite,fit,2
exactly,adored,2
very,optimistic,47
too,quick,30
so,classic,1
very,complicated,13
very,protective,1
as,biting,4
that,close,78
as,confusing,9
yet,permanent,6
that,fat,7
very,serious,22
so,good,416
as,galling,1
yet,ready,347
as,sure,37
immediately,clear,494
as,ready,33
as,simple,262
very,comfortable,33
sufficiently,interested,3
as,healthy,44
as,large,171
quite,representative,1
very,open,7
as,stable,20
so,troubling,6
necessarily,illegal,15
as,extensive,37
too,pleased,32
unduly,legalistic,1
as,sophisticated,50
always,unfair,1
as,afraid,29
too,happy,225
too,high,65
that,bad,675
as,conservative,29
really,important,34
as,important,471
necessarily,unfavorable,1
as,unfettered,1
so,blatant,8
that,complex,8
that,fanatical,1
as,accurate,53
even,sure,447
as,bizarre,6
as,commanding,2
too,sharp,5
very,talented,3
even,concerned,6
politically,correct,126
too,much,175
so,lucky,484
totally,cynical,1
frankly,unanswerable,6
really,loyal,1
now,likely,1
as,strange,19
entirely,unprecedented,2
as,exciting,96
as,high-flying,1
merely,materialistic,1
quite,right,206
as,spunky,1
too,late,569
entirely,unexpected,40
yet,clear,513
as,obvious,52
as,likely,101
as,worried,51
as,young,31
as,powerful,75
as,strict,31
very,flattering,7
really,my,1
so,eager,58
as,resistant,4
that,different,408
so,savvy,2
always,pure,1
just,out,1
sexually,active,15
that,difficult,198
relatively,easy,1
yet,ripe,16
very,important,58
very,balanced,2
that,uncommon,63
exactly,neutral,1
that,hard,283
as,sumptuous,1
as,likable,8
very,smart,70
yet,eligible,11
as,explicit,4
as,attractive,79
heavily,armed,1
particularly,surprised,19
too,tough,29
so,little,17
necessarily,friendly,2
as,accessible,25
so,annoying,7
even,first,1
criminally,responsible,8
so,flexible,1
as,unusual,18
completely,candid,9
singularly,responsible,2
very,sophisticated,20
financially,burdensome,1
inherently,good,4
very,aerial,1
as,impressive,74
