hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
apw_eng_20080215_0423_12:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080215_0423_12,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080215_0423_12:3_discard,discard
apw_eng_20080215_0306_12:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080215_0306_12,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080215_0306_12:3_discard,discard
apw_eng_20080215_0190_10:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080215_0190_10,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080215_0190_10:3_discard,discard
apw_eng_20080215_0147_10:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080215_0147_10,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080215_0147_10:3_discard,discard
apw_eng_20080214_1652_10:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080214_1652_10,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080214_1652_10:3_discard,discard
apw_eng_20080214_1642_10:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080214_1642_10,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080214_1642_10:3_discard,discard
apw_eng_20080214_1484_9:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080214_1484_9,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates mixed it up almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the party 's conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system .",apw_eng_20080214_1484_9:3_discard,discard
apw_eng_20100521_0236_4:11,neg-ext-subj,immediately_available,immediately,available,Neither of the rival factions nor the state government were immediately available to comment on the report .,apw_eng_20100521_0236_4,11,apw_eng_201005,Jesus Martinez Flores says Timoteo Alejandro Ramirez and his wife Cleriberta Castro died in the attack .,"Disputes in the community have raged for years , and in 2007 some residents declared autonomy similar to that practiced by the leftist Zapatista rebels in Chiapas .",apw_eng_20100521_0236_4:11_discard,discard
apw_eng_20070507_0172_14:17,neg-ext-subj,very_permanent,very,permanent,"-LBQ-  The opinions voters express are not at all inconsequential , but neither are they necessarily very permanent .  -RDQ-",apw_eng_20070507_0172_14,17,apw_eng_200705,"-LBQ-  Voters are still going through the sorting out process ,  -RDQ-  said Geoffrey Garin , a Democratic pollster not aligned with any candidate .","For months , Clinton has enjoyed a healthy lead over her closest competitor , Obama , the Illinois senator , leading him in some polls by 2-to-1 margins or more .",apw_eng_20070507_0172_14:17_discard,discard
apw_eng_19980508_0759_4:3,neg-ext-subj,particularly_brilliant,particularly,brilliant,"Neither was particularly brilliant , scattering errors and rarely mixing speeds .",apw_eng_19980508_0759_4,3,apw_eng_199805,"The match started similarly to their previous meeting , in the second round of the Australian Open in January .","-LBQ-  For sure I think we both had a bad day ,  -RDQ-  Venus said .",apw_eng_19980508_0759_4:3_discard,discard
apw_eng_19980508_0550_4:3,neg-ext-subj,particularly_brilliant,particularly,brilliant,"Neither was particularly brilliant , scattering errors and rarely mixing speeds .",apw_eng_19980508_0550_4,3,apw_eng_199805,"The match started similarly to their previous meeting , in the second round of the Australian Open in January .","-LBQ-  For sure I think we both had a bad day ,  -RDQ-  Venus said .",apw_eng_19980508_0550_4:3_discard,discard
