hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
nyt_eng_19990629_0069_4:4,neg-ext-subj,very_enlightening,very,enlightening,Neither perspective is very enlightening .,nyt_eng_19990629_0069_4,4,nyt_eng_199906,"Although journalists such as Robert D. Kaplan , who wrote  -LBQ-  Balkan Ghosts ,  -RDQ-  tend to regard Balkan violence as inherent in Balkan cultures , it is postmodern orthodoxy in the academy to insist that it is  -LBQ-  socially constructed .  -RDQ-","State-imposed violence is quite different from the violent actions of individuals , whether acting on state orders or on their own initiative .",nyt_eng_19990629_0069_4:4_discard,discard
nyt_eng_19990624_0175_4:4,neg-ext-subj,very_enlightening,very,enlightening,Neither perspective is very enlightening .,nyt_eng_19990624_0175_4,4,nyt_eng_199906,"Although journalists such as Robert D. Kaplan , who wrote  -LBQ-  Balkan Ghosts ,  -RDQ-  tend to regard Balkan violence as inherent in Balkan cultures , it is postmodern orthodoxy in the academy to insist that it is  -LBQ-  socially constructed .  -RDQ-","State-imposed violence is quite different from the violent actions of individuals , whether acting on state orders or on their own initiative .",nyt_eng_19990624_0175_4:4_discard,discard
nyt_eng_19990624_0174_4:4,neg-ext-subj,very_enlightening,very,enlightening,Neither perspective is very enlightening .,nyt_eng_19990624_0174_4,4,nyt_eng_199906,"Although journalists such as Robert D. Kaplan , who wrote  -LBQ-  Balkan Ghosts ,  -RDQ-  tend to regard Balkan violence as inherent in Balkan cultures , it is postmodern orthodoxy in the academy to insist that it is  -LBQ-  socially constructed .  -RDQ-","State-imposed violence is quite different from the violent actions of individuals , whether acting on state orders or on their own initiative .",nyt_eng_19990624_0174_4:4_discard,discard
nyt_eng_19990623_0227_4:4,neg-ext-subj,very_enlightening,very,enlightening,Neither perspective is very enlightening .,nyt_eng_19990623_0227_4,4,nyt_eng_199906,"Although journalists such as Robert D. Kaplan , who wrote  -LBQ-  Balkan Ghosts ,  -RDQ-  tend to regard Balkan violence as inherent in Balkan cultures , it is postmodern orthodoxy in the academy to insist that it is  -LBQ-  socially constructed .  -RDQ-","State-imposed violence is quite different from the violent actions of individuals , whether acting on state orders or on their own initiative .",nyt_eng_19990623_0227_4:4_discard,discard
nyt_eng_19990623_0226_4:4,neg-ext-subj,very_enlightening,very,enlightening,Neither perspective is very enlightening .,nyt_eng_19990623_0226_4,4,nyt_eng_199906,"Although journalists such as Robert D. Kaplan , who wrote  -LBQ-  Balkan Ghosts ,  -RDQ-  tend to regard Balkan violence as inherent in Balkan cultures , it is postmodern orthodoxy in the academy to insist that it is  -LBQ-  socially constructed .  -RDQ-","State-imposed violence is quite different from the violent actions of individuals , whether acting on state orders or on their own initiative .",nyt_eng_19990623_0226_4:4_discard,discard
nyt_eng_19970414_0683_6:5,neg-ext-subj,very_popular,very,popular,"Neither candidate was ever very popular , meaning that an election that no one much wanted has become an election that will not go away .",nyt_eng_19970414_0683_6,5,nyt_eng_199704,"Into the mix now add last November 's U.S. Senate election between Democrat Mary Landrieu and Republican Woody Jenkins , a race narrowly won by Landrieu but quickly challenged by Jenkins on allegations of widespread voting impropriety .","-LBQ-  It 's a sad tale of woe for Louisiana ,  -RDQ-  says pollster Bernie Pinsonat .",nyt_eng_19970414_0683_6:5_discard,discard
nyt_eng_19960730_0609_18:4,neg-ext-subj,particularly_convincing,particularly,convincing,Neither argument is particularly convincing .,nyt_eng_19960730_0609_18,4,nyt_eng_199607,It has said that letting its member banks work with AMEX would be analogous to McDonald 's allowing its franchisees to sell Burger King products as well _ a preposterous concept .,"Restricting distributors to handling only a single company 's products often does no harm to competition , and may even do some good .",nyt_eng_19960730_0609_18:4_discard,discard
nyt_eng_19960730_0608_18:4,neg-ext-subj,particularly_convincing,particularly,convincing,Neither argument is particularly convincing .,nyt_eng_19960730_0608_18,4,nyt_eng_199607,It has said that letting its member banks work with AMEX would be analogous to McDonald 's allowing its franchisees to sell Burger King products as well _ a preposterous concept .,"Restricting distributors to handling only a single company 's products often does no harm to competition , and may even do some good .",nyt_eng_19960730_0608_18:4_discard,discard
nyt_eng_19960729_0048_18:4,neg-ext-subj,particularly_convincing,particularly,convincing,Neither argument is particularly convincing .,nyt_eng_19960729_0048_18,4,nyt_eng_199607,It has said that letting its member banks work with AMEX would be analogous to McDonald 's allowing its franchisees to sell Burger King products as well _ a preposterous concept .,"Restricting distributors to handling only a single company 's products often does no harm to competition , and may even do some good .",nyt_eng_19960729_0048_18:4_discard,discard
nyt_eng_19960729_0036_18:4,neg-ext-subj,particularly_convincing,particularly,convincing,Neither argument is particularly convincing .,nyt_eng_19960729_0036_18,4,nyt_eng_199607,It has said that letting its member banks work with AMEX would be analogous to McDonald 's allowing its franchisees to sell Burger King products as well _ a preposterous concept .,"Restricting distributors to handling only a single company 's products often does no harm to competition , and may even do some good .",nyt_eng_19960729_0036_18:4_discard,discard
nyt_eng_19960729_0026_18:4,neg-ext-subj,particularly_convincing,particularly,convincing,Neither argument is particularly convincing .,nyt_eng_19960729_0026_18,4,nyt_eng_199607,It has said that letting its member banks work with AMEX would be analogous to McDonald 's allowing its franchisees to sell Burger King products as well _ a preposterous concept .,"Restricting distributors to handling only a single company 's products often does no harm to competition , and may even do some good .",nyt_eng_19960729_0026_18:4_discard,discard
nyt_eng_19960530_0468_18:7,neg-ext-subj,too_pleased,too,pleased,Chances are neither audience will be too pleased with the results .,nyt_eng_19960530_0468_18,7,nyt_eng_199605,"On the other hand , it 's this talking-dragon kids ' movie , with a cuddly special effects reptile , a lot of rollicking , even slapstick , humor and a knight hero so modern he could have wandered over from the set of  -LBQ-  Apollo 13 .  -RDQ-",Adults will quickly tire of the dragon antics ; kids will be bored by all the moralizing and faux-metaphysics .,nyt_eng_19960530_0468_18:7_discard,discard
nyt_eng_19950509_0395_10:4,neg-ext-subj,very_happy,very,happy,Neither side is very happy .,nyt_eng_19950509_0395_10,4,nyt_eng_199505,"Skirmishes might get settled , but long-running conflicts drag out year-after-year .","For their latest rendition of the cry-yen syndrome , American officials are ready to impose a bunch of tariffs on Japanese cars and auto parts coming into the United States _ punishment for Japan 's refusal to encourage their people to buy more American-made products .",nyt_eng_19950509_0395_10:4_discard,discard
nyt_eng_19981022_0193_42:10,neg-ext-subj,completely_right,completely,right,The difficulty for voters is that neither answer is completely right and neither is completely wrong .,nyt_eng_19981022_0193_42,10,nyt_eng_199810,"This is why managed care is a genuinely confusing issue  -COL-  Should voters believe the anecdotes , which are real and horrifying , or should they accept the evidence that people are mostly happy with their own insurance , happy to be paying less , and as healthy as they have ever been ? Both parties in the '98 campaign offer an easy answer to that question .",,nyt_eng_19981022_0193_42:10_discard,discard
nyt_eng_19981020_0109_42:10,neg-ext-subj,completely_right,completely,right,The difficulty for voters is that neither answer is completely right and neither is completely wrong .,nyt_eng_19981020_0109_42,10,nyt_eng_199810,"This is why managed care is a genuinely confusing issue  -COL-  Should voters believe the anecdotes , which are real and horrifying , or should they accept the evidence that people are mostly happy with their own insurance , happy to be paying less , and as healthy as they have ever been ? Both parties in the '98 campaign offer an easy answer to that question .",,nyt_eng_19981020_0109_42:10_discard,discard
nyt_eng_19950910_0152_18:24,neg-ext-subj,totally_right,totally,right,"Farmer 's case , and that of the 16 other men charged so far under the law , suggests that neither side was totally right or wrong and that it is too early to tell whether the law will have more than a symbolic effect in reducing crime .",nyt_eng_19950910_0152_18,24,nyt_eng_199509,"Opponents have long dismissed the three-strikes concept as political posturing that is bound to prove ineffective , not only because it does not address the root causes of violence , but also because the majority of violent crimes do not fall under federal jurisdiction .",The law has caused some prosecutors to find creative ways to apply it to cases that would otherwise fall to state courts .,nyt_eng_19950910_0152_18:24_discard,discard
nyt_eng_19950313_0255_40:4,neg-ext-subj,as_extreme,as,extreme,Neither side is as extreme as the other pretends .,nyt_eng_19950313_0255_40,4,nyt_eng_199503,"The more serious debate is not over whether America should intervene abroad , but how  -COL-  sparingly and on its own terms -LRB- the  -LBQ-  unilateralist  -RDQ-  way favored by Dole and , on the limited available evidence , probably by Gingrich too -RRB- , or mainly through the U.N. -LRB- Clinton 's  -LBQ-  multilateralist  -RDQ-  approach -RRB- ?","The chances of sensible debate have risen with the entry into the presidential race of Dick Lugar , a moderate Republican senator who is basing his campaign on his foreign-policy expertise .",nyt_eng_19950313_0255_40:4_discard,discard
nyt_eng_19950313_0253_40:4,neg-ext-subj,as_extreme,as,extreme,Neither side is as extreme as the other pretends .,nyt_eng_19950313_0253_40,4,nyt_eng_199503,"The more serious debate is not over whether America should intervene abroad , but how  -COL-  sparingly and on its own terms -LRB- the  -LBQ-  unilateralist  -RDQ-  way favored by Dole and , on the limited available evidence , probably by Gingrich too -RRB- , or mainly through the U.N. -LRB- Clinton 's  -LBQ-  multilateralist  -RDQ-  approach -RRB- ?","The chances of sensible debate have risen with the entry into the presidential race of Dick Lugar , a moderate Republican senator who is basing his campaign on his foreign-policy expertise .",nyt_eng_19950313_0253_40:4_discard,discard
nyt_eng_19950313_0213_40:4,neg-ext-subj,as_extreme,as,extreme,Neither side is as extreme as the other pretends .,nyt_eng_19950313_0213_40,4,nyt_eng_199503,"The more serious debate is not over whether America should intervene abroad , but how  -COL-  sparingly and on its own terms -LRB- the  -LBQ-  unilateralist  -RDQ-  way favored by Dole and , on the limited available evidence , probably by Gingrich too -RRB- , or mainly through the U.N. -LRB- Clinton 's  -LBQ-  multilateralist  -RDQ-  approach -RRB- ?","The chances of sensible debate have risen with the entry into the presidential race of Dick Lugar , a moderate Republican senator who is basing his campaign on his foreign-policy expertise .",nyt_eng_19950313_0213_40:4_discard,discard
nyt_eng_19950313_0204_40:4,neg-ext-subj,as_extreme,as,extreme,Neither side is as extreme as the other pretends .,nyt_eng_19950313_0204_40,4,nyt_eng_199503,"The more serious debate is not over whether America should intervene abroad , but how  -COL-  sparingly and on its own terms -LRB- the  -LBQ-  unilateralist  -RDQ-  way favored by Dole and , on the limited available evidence , probably by Gingrich too -RRB- , or mainly through the U.N. -LRB- Clinton 's  -LBQ-  multilateralist  -RDQ-  approach -RRB- ?","The chances of sensible debate have risen with the entry into the presidential race of Dick Lugar , a moderate Republican senator who is basing his campaign on his foreign-policy expertise .",nyt_eng_19950313_0204_40:4_discard,discard
