hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19990930_0414_20:11,neg-ext-subj,as_good,as,good,"-LBQ-  Nothing 's forever ,  -RDQ-  Jarrett said ,  -LBQ-  as good as things seem that they may be .",nyt_eng_19990930_0414_20,11,nyt_eng_199909,"Before it was official , Cup points leader Dale Jarrett compared the departure of Evernham with other heralded breakups in sports .",It 's not just this sport ; you see it everywhere .
nyt_eng_19990927_0442_47:30,neg-ext-subj,particularly_positive,particularly,positive,"-LBQ-  If anything , the disease we are dealing with now is somewhat less severe than the one we were dealing with before , so nothing about this is particularly positive , but I guess that 's movement in the right direction .  -RDQ-",nyt_eng_19990927_0442_47,30,nyt_eng_199909,"-LBQ-  This is question of two very , very rare diseases and there was just some confusion about it but it has no impact at all ,  -RDQ-  said city Health Commissioner Neal L. Cohen .",
nyt_eng_19990925_0176_5:3,neg-ext-subj,as_heartbreaking,as,heartbreaking,Nothing is as heartbreaking as the $ 8 million in post-season bowl revenue Notre Dame missed out on when a kicker missed an extra point .,nyt_eng_19990925_0176_5,3,nyt_eng_199909,"The lures have worked ever since , although most of the prizes seem to be going to coaches and schools .","In remarkably clear and clear-eyed prose -LRB- even his charts are readable -RRB- , Zimbalist follows the money instead of the ball in the emotion-charged world of college sports ."
nyt_eng_19990921_0177_27:12,neg-ext-subj,as_good,as,good,I 've long resented people who possess a  -LBQ-  Nothing 's as good as it used to be  -RDQ-  attitude ; but am I also living too much in the past ? Most passengers from the Galaxy flocked into as many jewelry stores and T-shirt shops as time permitted .,nyt_eng_19990921_0177_27,12,nyt_eng_199909,Maybe I 'm jaded .,I heard few complaints .
nyt_eng_19990916_0223_29:5,neg-ext-subj,scriabin_interested,scriabin,interested,Not for nothing was Scriabin interested in color theory and how colors affected the psyche .,nyt_eng_19990916_0223_29,5,nyt_eng_199909,"Michael Yeargan 's stationary set is a blue room with peeling paint whose atmosphere changes wonderfully with Stephen Strawbridge 's lighting and the emotionally coded music , mostly Scriabin preludes and a Rachmaninoff prelude as an epilogue .","O'Riley plays Scriabin 's  -LBQ-  Flammes Sombres ,  -RDQ-  in this episode , and  -LBQ-  Vers la Flamme  -RDQ-  is the piece played at the end of the fifth tale ."
nyt_eng_19990915_0329_34:6,neg-ext-subj,as_simple,as,simple,"Indeed , nothing is ever as simple as it seems .",nyt_eng_19990915_0329_34,6,nyt_eng_199909,-LBQ-  -LRB- People -RRB- who can on-the-fly handle things having to be cut or extended because it 's live television .  -RDQ-,Especially not the devoutly Mormon Osmonds .
nyt_eng_19990907_0130_17:21,neg-ext-subj,as_intriguing,as,intriguing,But the allure of the untried thing proved strong for a performer who says of himself  -COL-   -LBQ-  Nothing is as intriguing to me as something I have n't attempted yet .  -RDQ-,nyt_eng_19990907_0130_17,21,nyt_eng_199909,"Short acknowledged in some Hollywood eyes ,  -LBQ-  celebrity talk was n't the coolest thing to be doing .  -RDQ-","-LBQ-  I 've really dabbled in a lot of forms of show business ; this is one I have n't ,  -RDQ-  Short said ."
nyt_eng_19990905_0090_53:7,neg-ext-subj,too_low,too,low,We all know that nothing is too low for television at its worst .,nyt_eng_19990905_0090_53,7,nyt_eng_199909,And on top of everything else they have a name like  -LBQ-  The Sopranos .  -RDQ-,"It turns out that under the right circumstances , more can be done than most of us thought possible ."
nyt_eng_19990903_0015_45:4,neg-ext-subj,nationally_dominant,nationally,dominant,-LBQ-  Nothing is nationally dominant anymore .,nyt_eng_19990903_0015_45,4,nyt_eng_199909,I see ESPN as already having peaked .,"If I 'm planning ESPN , I 'd have ESPN , ESPN2 and ESPNEWS divide into an East , Central and West time zone ."
nyt_eng_19951031_0475_11:29,neg-ext-subj,too_intimate,too,intimate,"Under the proddings of their masters and mistresses of ceremonies _ Jenny or Jerry or Sally or Ricki or whoever _ the participants tell all ; nothing is too intimate to spill , and they are grimly , hilariously earnest about spilling it .",nyt_eng_19951031_0475_11,29,nyt_eng_199510,"By any reasonable standard , the programs , combinations of party games and confrontation therapy , are repulsive ; they make the reformed  -LBQ-  Oprah  -RDQ-  seem like a fount of edification .","These are freak shows , with exhibitions of dysfunction in many forms , often with a sexual twist , run by shameless hucksters who are never more disgusting than when they are pretending to sympathize with the poor creatures they are displaying to a studio audience that is encouraged to whoop encouragement and howl displeasure ."
nyt_eng_19951031_0128_2:16,neg-ext-subj,so_revolting,so,revolting,Then this  -COL-   -LBQ-  Nothing I have ever seen in Art or Nature was quite so revolting .  -RDQ-,nyt_eng_19951031_0128_2,16,nyt_eng_199510,"In his 1930 travel book ,  -LBQ-  Labels ,  -RDQ-  Evelyn Waugh described a sunset view of Mount Etna , the picture-postcard volcano repeating itself in a wisp of smoke ,  -LBQ-  the whole horizon behind radiant with pink light , fading gently into a gray pastel sky .  -RDQ-","Observing the same scene in  -LBQ-  The Pillars of Hercules  -COL-  A Grand Tour of the Mediterranean  -RDQ-  -LRB- 509 pages ; Putnam ; $ 27.50 -RRB- , Paul Theroux quotes Waugh and comments  -COL-   -LBQ-  Sudden and strange , the description is marvelous for its utter perversity ."
nyt_eng_19951026_0022_32:17,neg-ext-subj,nearly_undecipherable,nearly,undecipherable,Doing so close to nothing that the space between what he 's doing and nothing is nearly undecipherable .,nyt_eng_19951026_0022_32,17,nyt_eng_199510,And one putting .,Golf is a serene game .
nyt_eng_19951025_0240_20:40,neg-ext-subj,as_interesting,as,interesting,"Through death , divorce and a seance in a cemetery , the girls learn most of the lessons that will supposedly guide them through life , but the truth is that nothing that happens in this movie is half as interesting as the girls ' performances .",nyt_eng_19951025_0240_20,40,nyt_eng_199510,"With Cloris Leachman as Samantha 's hilariously high-speed grandmother , Glatter stages the fastest lemonade party in history .","So while you may enjoy many moments throughout the film , the ultimate feeling you experience leaving the theater is letdown ."
nyt_eng_19951024_0398_28:4,neg-ext-subj,as_simple,as,simple,-LBQ-  Nothing is as simple as it may seem when it comes to politics in Washington these days .  -RDQ-,nyt_eng_19951024_0398_28,4,nyt_eng_199510,"-LBQ-  A new negotiation with Quebec will put pressure on the Clinton administration to bring changes in the existing structure ,  -RDQ-  Merkin said .","For his part , Laurent Beaudoin , chairman of Montreal-based transportation equipment-maker Bombardier Inc. raised secessionist anger throughout the referendum campaign for his outspoken opposition to separation on economic grounds ."
nyt_eng_19951019_0580_4:26,neg-ext-subj,so_important,so,important,"Both sides tailored their arguments to fit the public 's view , as expressed in opinion polls , that almost nothing the government does is so important as sustaining Medicare .",nyt_eng_19951019_0580_4,26,nyt_eng_199510,"That explains why the speeches Thursday were more tactical than explanatory , concerned more with resonance than truth .",They had to stretch to do so .
nyt_eng_19951019_0186_4:3,neg-ext-subj,too_trivial,too,trivial,"Nothing is too trivial , it seems , or too far-fetched to be compared with the devil incarnate .",nyt_eng_19951019_0186_4,3,nyt_eng_199510,"But like no other spectre in history , Hitler walks the earth undead in the hearts and hyperbole of those who seek a standard bearer for evil .",A name that should be spoken in hushed tones and burn the lips of the speaker is tossed about as shorthand for myriad offenses ranging from political disagreements to brutish police procedures .
nyt_eng_19951017_0010_13:5,neg-ext-subj,truly_equal,truly,equal,"However , nothing was truly equal in the minds of many blacks .",nyt_eng_19951017_0010_13,5,nyt_eng_199510,"Robinson , a humble man , had strong convictions and did n't back down from the challenge at a time when this country was living in separate but equal times .","Some might argue that Joe Louis defeating German Max Schmeling for the heavyweight boxing title , or sprinter Jesse Owens winning four Olympic gold medals at the 1936 Games in Berlin had a greater impact ."
