hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19990228_0084_27:8,neg-mit,as_sexy,as,sexy,"For some people , few things are as sexy as a new Internet stock .",nyt_eng_19990228_0084_27,8,nyt_eng_199902,"Cars , Sex and Stocks on One Web Site","At least that 's the assumption of Joseph Preston , a 28-year-old entrepreneur in Bethesda , Md. . Preston plans to file documents with the Securities and Exchange Commission on Monday stating his intention to raise $ 7.5 million in a stock offering for Efox.net ."
nyt_eng_19990218_0350_44:29,neg-mit,particularly_annoying,particularly,annoying,A few nits to pick  -COL-  The gear selector likes to slide past drive to third when you engage the transmission and the seat belt warning chimes are particularly annoying .,nyt_eng_19990218_0350_44,29,nyt_eng_199902,All the  -LBQ-  mechanicals  -RDQ-  work just fine and the front-wheel drive proves just fine in this winter 's minor snows .,Our 23.9 miles per gallon on a test tank falls right in the EPA range of 20-29 mpg .
nyt_eng_19990209_0181_23:6,neg-mit,increasingly_shallow,increasingly,shallow,His few more breaths were increasingly shallow until they stopped and he lay still .,nyt_eng_19990209_0181_23,6,nyt_eng_199902,"At one point , his chest heaved and he seemed to gasp for air .",Siripongs was the fourth killer in California to die by lethal injection .
nyt_eng_19990202_0085_33:4,neg-mit,as_romantic,as,romantic,"Few destinations are as romantic as France , and Air France provides all the goodies with its Paris Honeymoon Package starting at $ 899 a person out of New York or Boston .",nyt_eng_19990202_0085_33,4,nyt_eng_199902,Especially if the day leads to a honeymoon .,"Air fare , accommodations , breakfasts , a Seine river cruise and a lot more are included ."
nyt_eng_19990201_0162_30:7,neg-mit,fiercely_candid,fiercely,candid,"Few contemporary writers can be so fiercely candid and acute as Miller about the emotional fear-rides of parenting , or about the payback for living through it .",nyt_eng_19990201_0162_30,7,nyt_eng_199902,"With his gentle restraint and abiding quiet , Daniel is in line for being the finest character in the novel , as well as the finest man ; the mother-daughter torments and glories , particularly between Jo and her wild child , Cass , are evocatively rendered .","And Daniel 's faith , while hardly contagious to his wife or daughters , provides a semblance of sanity -LRB- and a moral reference point -RRB- within the realm of private suffering that life often presents ."
nyt_eng_19960530_0260_17:6,neg-mit,almost_grudging,almost,grudging,The few wall texts are almost grudging in their brevity .,nyt_eng_19960530_0260_17,6,nyt_eng_199605,The show itself is an unadulterated visual experience .,Ditto for the labels .
nyt_eng_19960529_0775_31:11,neg-mit,very_active,very,active,"-LBQ-  In Washington , the next few months will be very active , as we have just received jurisdiction over the travel office matter ,  -RDQ-  Starr spokeswoman Debbie Gershman said Wednesday .",nyt_eng_19960529_0775_31,11,nyt_eng_199605,Prosecutors still have the option of granting the McDougals immunity against further prosecution and asking them about Hillary Clinton 's actions in the Whitewater land deal in which the two families were partners .,"As a backdrop , the Senate Whitewater Committee is expected to release a report soon detailing findings from its yearlong probe ."
nyt_eng_19960519_0321_10:5,neg-mit,also_likely,also,likely,A few showers are also likely in the Dakotas as a jet stream disturbances crosses the region .,nyt_eng_19960519_0321_10,5,nyt_eng_199605,Showery rains are expected behind the front near the western Great Lakes as cooler air arrives .,"In the Northwest , a weakening but persistent stream of cool , moist air from the Pacific will trigger showers near the coast and along west-facing mountain slopes ."
nyt_eng_19960513_0357_19:4,neg-mit,as_adept,as,adept,"Few singers are as adept as Oldham at freezing time into a single , poignant moment .",nyt_eng_19960513_0357_19,4,nyt_eng_199605,"-LBQ-  Arise Therefore  -RDQ-  -LRB- Drag City -RRB- blends imagery from the book of Revelation , Flannery O'Connor novels and old-time string-band ballads to produce Oldham 's quietest roots-music abstraction yet .","-LBQ-  A little cash was took off me\/While I lay there comfortably ,  -RDQ-  he sings in  -LBQ-  No Gold Digger .  -RDQ-"
nyt_eng_19960513_0064_4:18,neg-mit,as_craven,as,craven,"The history of American politics is not exactly unblemished by pandering , but few examples are quite as craven as this one .",nyt_eng_19960513_0064_4,18,nyt_eng_199605,"It is , in plain fact , degenerate .","Market forces , including the usual anticipated summertime increase in driving , are pushing up gasoline prices , as they do every year about this time ."
