hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
apw_eng_19990619_0852_9:3,unknown-polarity,really_excited,really,excited,"Everyone was really excited to go for a dive ,  -RDQ-  Wikheim said .",apw_eng_19990619_0852_9,3,apw_eng_199906,-LBQ-  They just started streaming down .,The dive even had a public service angle .,apw_eng_19990619_0852_9:3_discard,discard
apw_eng_20091119_0535_14:5,unknown-polarity,very_focused,very,focused,-LBQ-  Everyone is now very focused on this game .  -RDQ-,apw_eng_20091119_0535_14,5,apw_eng_200911,"-LBQ-  This is now the game of the games in the first half of the season ,  -RDQ-  Bayern 's general manager Uli Hoeness said .","Goalkeeper Joerg Butt , who played more than 200 games for Leverkusen earlier in his career , said Bayern was in a  -LBQ-  serious situation .  -RDQ-",apw_eng_20091119_0535_14:5_discard,discard
apw_eng_20091103_0938_18:4,unknown-polarity,profoundly_grateful,profoundly,grateful,"-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea ,  -RDQ-  the family said in a statement .",apw_eng_20091103_0938_18,4,apw_eng_200911,Mann 's family members said they were  -LBQ-  overjoyed at the prospect of finally welcoming Simon home after 5 1\/2 long years away .  -RDQ-,Obono said Mann was at a Malabo hotel with a brother and sister who flew out to take him home .,apw_eng_20091103_0938_18:4_discard,discard
apw_eng_20091103_0903_18:4,unknown-polarity,profoundly_grateful,profoundly,grateful,"-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea ,  -RDQ-  the family said in a statement .",apw_eng_20091103_0903_18,4,apw_eng_200911,Mann 's family members said they were  -LBQ-  overjoyed at the prospect of finally welcoming Simon home after 5 1\/2 long years away .  -RDQ-,Obono said Mann was at a Malabo hotel with a brother and sister who flew out to take him home .,apw_eng_20091103_0903_18:4_discard,discard
apw_eng_20091103_0725_22:4,unknown-polarity,profoundly_grateful,profoundly,grateful,-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea .  -RDQ-,apw_eng_20091103_0725_22,4,apw_eng_200911,"-LBQ-  The family is absolutely delighted that Simon has been pardoned and is to be released shortly ,  -RDQ-  they said in a statement , according to Britain 's Press Association .","Mann , a former officer in Britain 's elite SAS and the alleged coup plot ringleader , was educated at Eton , a prestigious private school in Britain whose alumni also include Princes William and Harry .",apw_eng_20091103_0725_22:4_discard,discard
apw_eng_20091103_0689_22:4,unknown-polarity,profoundly_grateful,profoundly,grateful,-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea .  -RDQ-,apw_eng_20091103_0689_22,4,apw_eng_200911,"-LBQ-  The family is absolutely delighted that Simon has been pardoned and is to be released shortly ,  -RDQ-  they said in a statement , according to Britain 's Press Association .","Mann , a former officer in Britain 's elite SAS and the alleged coup plot ringleader , was educated at Eton , a prestigious private school in Britain whose alumni also include Princes William and Harry .",apw_eng_20091103_0689_22:4_discard,discard
apw_eng_20091103_0682_22:4,unknown-polarity,profoundly_grateful,profoundly,grateful,-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea .  -RDQ-,apw_eng_20091103_0682_22,4,apw_eng_200911,"-LBQ-  The family is absolutely delighted that Simon has been pardoned and is to be released shortly ,  -RDQ-  they said in a statement , according to Britain 's Press Association .","Mann , a former officer in Britain 's elite SAS and the alleged coup plot ringleader , was educated at Eton , a prestigious private school in Britain whose alumni also include Princes William and Harry .",apw_eng_20091103_0682_22:4_discard,discard
apw_eng_20091103_0555_22:4,unknown-polarity,profoundly_grateful,profoundly,grateful,-LBQ-  Everyone is profoundly grateful to the president and the government of Equatorial Guinea .  -RDQ-,apw_eng_20091103_0555_22,4,apw_eng_200911,"-LBQ-  The family is absolutely delighted that Simon has been pardoned and is to be released shortly ,  -RDQ-  they said in a statement , according to Britain 's Press Association .","Mann , a former officer in Britain 's elite SAS and the alleged coup plot ringleader , was educated at Eton , a prestigious private school in Britain whose alumni also include Princes William and Harry .",apw_eng_20091103_0555_22:4_discard,discard
apw_eng_19960908_0870_22:12,unknown-polarity,pretty_calm,pretty,calm,"-LBQ-  We 've been hit so many times that everyone is pretty calm here ,  -RDQ-  he said .",apw_eng_19960908_0870_22,12,apw_eng_199609,"At the Gannet Hardware store in Gallows Bay , St. Croix , manager Phil Crosier saw only a brief run on supplies .",-LBQ-  It 's not like the frenzies of years ago .,apw_eng_19960908_0870_22:12_discard,discard
apw_eng_19960908_0654_24:12,unknown-polarity,pretty_calm,pretty,calm,"-LBQ-  We 've been hit so many times that everyone is pretty calm here ,  -RDQ-  he said .",apw_eng_19960908_0654_24,12,apw_eng_199609,"At the Gannet Hardware store in Gallows Bay , St. Croix , manager Phil Crosier said after a brief surge in sales everything got back to normal .",-LBQ-  It 's not like the frenzies of years ago .,apw_eng_19960908_0654_24:12_discard,discard
