hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
nyt_eng_19961129_0159_17:25,unknown-polarity,so_lucky,so,lucky,"-LBQ-  I do n't know Asa , but when I meet him I 'll say , ` Enjoy every moment because everybody is n't so lucky to serve with their brother .",nyt_eng_19961129_0159_17,25,nyt_eng_199611,Sander Levin said he will have some advice for his new House colleague .,Just make sure you do your own thing .  -RDQ-  ',nyt_eng_19961129_0159_17:25_discard,discard
nyt_eng_19961126_0620_15:4,unknown-polarity,frankly_fat,frankly,fat,-LBQ-  Everybody was frankly fat and happy .  -RDQ-,nyt_eng_19961126_0620_15,4,nyt_eng_199611,"-LBQ-  We were the one industrial powerhouse in the world that had survived World War II unscathed , and , as a consequence , just about anything we made someone bought ,  -RDQ-  said Don Blohowiak , an expert on change in the workplace .","Millions of people entered the work force , enjoyed an annual raise , saw health care get better and watched hours get shorter .",nyt_eng_19961126_0620_15:4_discard,discard
nyt_eng_19961118_0398_17:25,unknown-polarity,so_lucky,so,lucky,"-LBQ-  I do n't know Asa , but when I meet him I 'll say , ` Enjoy every moment because everybody is n't so lucky to serve with their brother .",nyt_eng_19961118_0398_17,25,nyt_eng_199611,Sander Levin said he will have some advice for his new House colleague .,Just make sure you do your own thing .  -RDQ-  ',nyt_eng_19961118_0398_17:25_discard,discard
nyt_eng_19961118_0397_17:25,unknown-polarity,so_lucky,so,lucky,"-LBQ-  I do n't know Asa , but when I meet him I 'll say , ` Enjoy every moment because everybody is n't so lucky to serve with their brother .",nyt_eng_19961118_0397_17,25,nyt_eng_199611,Sander Levin said he will have some advice for his new House colleague .,Just make sure you do your own thing .  -RDQ-  ',nyt_eng_19961118_0397_17:25_discard,discard
nyt_eng_19961107_0675_47:4,unknown-polarity,so_friendly,so,friendly,-LBQ-  Everybody was so friendly .,nyt_eng_19961107_0675_47,4,nyt_eng_199611,"-LBQ-  I never dreamed they 'd have a party just for me ,  -RDQ-  said Tuttle , who went with O'Brien .",I ate vanilla ice cream .,nyt_eng_19961107_0675_47:4_discard,discard
nyt_eng_19961208_0024_7:12,unknown-polarity,so_afraid,so,afraid,"-LBQ-  This is political correctness , the way that everybody 's so afraid to talk about anything national in education .",nyt_eng_19961208_0024_7,12,nyt_eng_199612,"-LBQ-  Talk about political correctness ,  -RDQ-  said Bruce Alberts , president of the National Academy of Sciences .",Everyone is still afraid of saying the truth  -COL-  that we 'll get nowhere as a nation until we make use of all our resources and that there are some things all students should know regardless of what state they live in .  -RDQ-,nyt_eng_19961208_0024_7:12_discard,discard
nyt_eng_19961207_0226_7:12,unknown-polarity,so_afraid,so,afraid,"-LBQ-  This is political correctness , the way that everybody 's so afraid to talk about anything national in education .",nyt_eng_19961207_0226_7,12,nyt_eng_199612,"-LBQ-  Talk about political correctness ,  -RDQ-  said Bruce Alberts , president of the National Academy of Sciences .",Everyone is still afraid of saying the truth  -COL-  that we 'll get nowhere as a nation until we make use of all our resources and that there are some things all students should know regardless of what state they live in .  -RDQ-,nyt_eng_19961207_0226_7:12_discard,discard
nyt_eng_19961207_0062_7:12,unknown-polarity,so_afraid,so,afraid,"-LBQ-  This is political correctness , the way that everybody 's so afraid to talk about anything national in education .",nyt_eng_19961207_0062_7,12,nyt_eng_199612,"-LBQ-  Talk about political correctness ,  -RDQ-  said Bruce Alberts , president of the National Academy of Sciences .",Everyone is still afraid of saying the truth  -COL-  that we 'll get nowhere as a nation until we make use of all our resources and that there are some things all students should know regardless of what state they live in .  -RDQ-,nyt_eng_19961207_0062_7:12_discard,discard
nyt_eng_19961202_0200_17:25,unknown-polarity,so_lucky,so,lucky,"-LBQ-  I do n't know Asa , but when I meet him I 'll say , ` Enjoy every moment because everybody is n't so lucky to serve with their brother .",nyt_eng_19961202_0200_17,25,nyt_eng_199612,Sander Levin said he will have some advice for his new House colleague .,Just make sure you do your own thing .  -RDQ-  ',nyt_eng_19961202_0200_17:25_discard,discard
nyt_eng_19961202_0185_17:25,unknown-polarity,so_lucky,so,lucky,"-LBQ-  I do n't know Asa , but when I meet him I 'll say , ` Enjoy every moment because everybody is n't so lucky to serve with their brother .",nyt_eng_19961202_0185_17,25,nyt_eng_199612,Sander Levin said he will have some advice for his new House colleague .,Just make sure you do your own thing .  -RDQ-  ',nyt_eng_19961202_0185_17:25_discard,discard
nyt_eng_19961202_0138_15:4,unknown-polarity,frankly_fat,frankly,fat,-LBQ-  Everybody was frankly fat and happy .  -RDQ-,nyt_eng_19961202_0138_15,4,nyt_eng_199612,"-LBQ-  We were the one industrial powerhouse in the world that had survived World War II unscathed , and , as a consequence , just about anything we made someone bought ,  -RDQ-  said Don Blohowiak , an expert on change in the workplace .","Millions of people entered the work force , enjoyed an annual raise , saw health care get better and watched hours get shorter .",nyt_eng_19961202_0138_15:4_discard,discard
nyt_eng_19980411_0098_14:4,unknown-polarity,so_happy,so,happy,"-LBQ-  Everybody was so happy and excited to be playing pro ball _ all the hype , the fans , the big time _ nobody was going to complain ,  -RDQ-  one prominent WNBA player said .",nyt_eng_19980411_0098_14,4,nyt_eng_199804,"Indeed , the fear of reprisal on the question of unionizing is so great that players refuse to be identified by name in speaking about it .",-LBQ-  We 're willing to do what it takes to see the league succeed .,nyt_eng_19980411_0098_14:4_discard,discard
nyt_eng_19981123_0155_50:15,unknown-polarity,so_happy,so,happy,"-LBQ-  Whenever the holidays come , I ca n't understand how everybody can be so happy when my life feels so empty ,  -RDQ-  said Tenenoff , whose children now are 14 , 9 and 7 .",nyt_eng_19981123_0155_50,15,nyt_eng_199811,"Meanwhile , the three women ca n't help but hold out hope their husbands will come home to them , even after nearly six years of not knowing their fates .","-LBQ-  Still , not a day goes by that I do n't wonder whether that day will be the one when Rick comes home to us .  -RDQ-",nyt_eng_19981123_0155_50:15_discard,discard
nyt_eng_19981104_0263_1:8,unknown-polarity,suddenly_tired,suddenly,tired,-LBQ-  It was as if everybody were suddenly tired of doing things that had meaning .,nyt_eng_19981104_0263_1,8,nyt_eng_199811,,"They wanted to sit down , in the grass or around a heap of smoldering logs , and listen to stories .  -RDQ-",nyt_eng_19981104_0263_1:8_discard,discard
nyt_eng_19980203_0403_13:4,unknown-polarity,so_good,so,good,Everybody has been so good to me .,nyt_eng_19980203_0403_13,4,nyt_eng_199802,"Ron , give Peggy a hug for me .",I love all of you very much .,nyt_eng_19980203_0403_13:4_discard,discard
nyt_eng_19980203_0350_5:4,unknown-polarity,so_good,so,good,Everybody has been so good to me .,nyt_eng_19980203_0350_5,4,nyt_eng_199802,"Ron , give Peggy a hug for me .",I love all of you very much .,nyt_eng_19980203_0350_5:4_discard,discard
nyt_eng_19950816_0402_4:6,unknown-polarity,so_cool,so,cool,Everybody in that club is so cool .  -RDQ-,nyt_eng_19950816_0402_4,6,nyt_eng_199508,-LBQ-  Owning a bus puts you into this big club with all the other owners .,"Once a hallmark of the counterculture , the VW , especially the VW Type II -LRB- buses and campers -RRB- , is making a comeback .",nyt_eng_19950816_0402_4:6_discard,discard
