part,category,total_hits
Nyt2,NEGmirror,14761
Nyt1,NEGmirror,10796
Pcc19,NEGmirror,9181
Pcc06,NEGmirror,9061
Pcc08,NEGmirror,8958
Pcc12,NEGmirror,8921
Pcc22,NEGmirror,8840
Pcc20,NEGmirror,8818
Pcc05,NEGmirror,8813
Pcc18,NEGmirror,8764
Pcc23,NEGmirror,8745
Pcc03,NEGmirror,8739
Pcc24,NEGmirror,8714
Pcc16,NEGmirror,8685
Pcc04,NEGmirror,8679
Pcc28,NEGmirror,8675
Pcc07,NEGmirror,8673
Pcc14,NEGmirror,8640
Pcc26,NEGmirror,8619
Pcc10,NEGmirror,8597
Pcc02,NEGmirror,8585
Pcc25,NEGmirror,8582
Pcc09,NEGmirror,8569
Pcc13,NEGmirror,8562
Pcc11,NEGmirror,8552
Pcc00,NEGmirror,8541
Pcc29,NEGmirror,8500
Pcc01,NEGmirror,8498
Pcc21,NEGmirror,8480
Pcc15,NEGmirror,8447
Pcc27,NEGmirror,8422
Pcc17,NEGmirror,8410
Apw,NEGmirror,5320
PccVa,NEGmirror,297
PccTe,NEGmirror,291
